Municipio,Cluster,EL_network_access,FG_network_access,Gas_turbine,Diesel_genset,Population_density,GDP,Cp_PV,Cp_Wind,Temp,Altitude,Relative_humidity,Num_vehicles,EL_demand
Exaltación,0,1.0,0.0,0,0,0.32,2432.0,17.4,22.2,26.27413356164384,141.0,79.13,0.1209,0.0
Ixiamas,0,1.0,0.0,0,0,0.33,2258.0,17.1,24.2,23.976595776255703,265.0,78.74,0.2101,0.758
Reyes,0,1.0,0.0,0,0,0.89,1974.0,17.4,19.7,25.36603219178082,190.0,80.49,0.2233,1.125
Santa_Rosa_Beni,0,1.0,0.0,0,0,0.9,2249.0,17.1,24.9,27.01213287671233,156.0,75.82,0.2031,0.844
Bolpebra,1,0.0,0.0,0,0,0.92,5329.0,18.0,18.4,25.7864299086758,233.0,82.07,0.3054,0.0
Guayaramerín,2,0.0,1.0,0,0,6.27,2081.0,17.8,15.3,26.520298630136985,129.0,82.74,0.2361,1.163
Puerto_Gonzalo_Moreno,2,0.0,0.0,0,0,9.29,1339.0,17.8,16.2,26.41126906392694,135.0,81.64,0.1254,0.593
Riberalta,2,0.0,1.0,0,0,11.02,1895.0,17.8,16.0,26.411253538812787,137.0,85.32,0.2232,0.876
Bella_Flor,3,0.0,0.0,0,0,0.63,3586.0,17.8,16.8,25.97209828767124,198.0,84.05,0.297,0.59
Filadelfia,3,0.0,0.0,0,0,0.67,3371.0,17.8,17.5,25.703714611872147,264.0,83.97,0.2697,1.059
Ingavi,3,0.0,0.0,0,0,0.48,1498.0,17.7,16.7,26.146785730593606,154.0,83.59,0.1984,0.0
Nueva_Esperanza,3,0.0,0.0,0,0,0.38,2523.0,17.6,14.6,25.832038470319635,111.0,83.82,0.2545,0.4
Porvenir,3,0.0,0.0,0,0,0.82,1988.0,17.8,17.4,25.75013767123288,223.0,83.68,0.1961,0.996
Puerto_Rico,3,0.0,0.0,0,0,1.36,2345.0,17.8,16.6,26.066693493150684,177.0,82.97,0.2176,0.864
San_Lorenzo,3,0.0,0.0,0,0,2.9,2020.0,17.6,13.3,26.24041529680365,153.0,75.48,0.1556,0.662
San_Pedro,3,0.0,0.0,0,0,5.75,1472.0,17.9,17.7,25.884457648401824,204.0,71.62,0.1241,0.159
Santa_Rosa_Pando,3,0.0,0.0,0,0,0.73,3044.0,17.9,16.4,26.25191757990868,142.0,83.5,0.2451,0.0
Santos_Mercado,3,0.0,0.0,0,0,0.33,2407.0,17.7,15.6,28.16008196721312,120.0,83.01,0.2086,0.0
Sena,3,0.0,0.0,0,0,1.34,1243.0,17.7,15.7,27.54202527322404,180.0,81.82,0.2262,0.937
Villa_Nueva,3,0.0,0.0,0,0,0.89,2708.0,17.8,16.7,27.881208333333333,159.0,84.37,0.1996,0.786
Cobija,4,0.0,1.0,0,0,120.56,1909.0,17.9,17.9,25.807366894977168,206.0,83.05,0.2796,1.537
