;ELECTRICITY;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2019-01-01 00:00:00+00:00;5.1324665414966365e-05;0.0;6.773822468018703e-06;0.00011415525114155255;0.0;0.1075;0.1075;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 01:00:00+00:00;6.604770092114235e-05;0.0;3.752117319803565e-06;0.00011415525114155255;0.0;0.092;0.092;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 02:00:00+00:00;7.40948714407357e-05;0.0;2.381343792301996e-06;0.00011415525114155255;0.0;0.078;0.078;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 03:00:00+00:00;7.397725517124403e-05;6.105495747100855e-07;8.304686334498558e-06;0.00011415525114155255;0.0;0.0645;0.0645;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 04:00:00+00:00;8.278342807853773e-05;9.208907234304287e-06;2.491405900349567e-05;0.00011415525114155255;0.0;0.053;0.053;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 05:00:00+00:00;0.00010765054192005607;2.4797886269590624e-05;6.933912806996988e-05;0.00011415525114155255;0.0;0.035;0.035;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 06:00:00+00:00;0.00012466198293332924;4.766402848109027e-05;0.00014308074046184263;0.00011415525114155255;0.0;0.016;0.016;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 07:00:00+00:00;0.00015153097707975682;7.35717520546521e-05;0.00019010727753671398;0.00011415525114155255;0.0;0.0095;0.0095;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 08:00:00+00:00;0.00014568411011516358;0.0001040492662464142;0.0001680948559271997;0.00011415525114155255;0.0;0.02;0.02;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 09:00:00+00:00;0.0001557931231594494;0.000130593277861957;0.00016509316207135685;0.00011415525114155255;0.0;0.0615;0.0615;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 10:00:00+00:00;0.0001628792616551345;0.00015974569773406465;0.00017910106673195683;0.00011415525114155255;0.012;0.068;0.068;0.0001;0.0001;0.0001;0.03066;0.0001
2019-01-01 11:00:00+00:00;0.00016648954039241454;0.00019736500873481332;0.00019611066524839965;0.00011415525114155255;0.101;0.0115;0.0115;0.0001;0.0001;0.0001;0.12783;0.0001
2019-01-01 12:00:00+00:00;0.00016523331690508446;0.00022620439744761768;0.00019511010062978537;0.00011415525114155255;0.2175;0.015;0.015;0.0001;0.0001;0.0001;0.253774;0.0001
2019-01-01 13:00:00+00:00;0.0001612266853817035;0.00024061851002640865;0.00018510445444364253;0.00011415525114155255;0.319;0.0315;0.0315;0.0001;0.0001;0.0001;0.370755;0.0001
2019-01-01 14:00:00+00:00;0.00017379191701386544;0.0002430756066875547;0.00019911235910424253;0.00011415525114155255;0.383;0.059;0.059;0.0001;0.0001;0.0001;0.449057;0.0001
2019-01-01 15:00:00+00:00;0.0001710447379086918;0.00024041505616274688;0.00021612195762068533;0.00011415525114155255;0.4125;0.074;0.074;0.0001;0.0001;0.0001;0.488679;0.0001
2019-01-01 16:00:00+00:00;0.00015914349765315855;0.00023352350186221383;0.0002241264745695996;0.00011415525114155255;0.415;0.0745;0.0745;0.0001;0.0001;0.0001;0.492925;0.0001
2019-01-01 17:00:00+00:00;0.00015874719640578862;0.00019017616869438102;0.00019811179448562822;0.00011415525114155255;0.367;0.068;0.068;0.0001;0.0001;0.0001;0.432547;0.0001
2019-01-01 18:00:00+00:00;0.00016024577893774145;0.0001540959609631119;0.0001370773527501569;0.00011415525114155255;0.3015;0.057;0.057;0.0001;0.0001;0.0001;0.353774;0.0001
2019-01-01 19:00:00+00:00;0.0001743865684491549;0.00012616942313067983;9.075121090831555e-05;0.00011415525114155255;0.232;0.0515;0.0515;0.0001;0.0001;0.0001;0.273585;0.0001
2019-01-01 20:00:00+00:00;0.00017955100011930755;9.957855991927375e-05;6.333574035828418e-05;0.00011415525114155255;0.148;0.0575;0.0575;0.0001;0.0001;0.0001;0.181604;0.0001
2019-01-01 21:00:00+00:00;0.0001591408790178245;7.171469457383575e-05;4.1123205825047075e-05;0.00011415525114155255;0.061;0.061;0.061;0.0001;0.0001;0.0001;0.086792;0.0001
2019-01-01 22:00:00+00:00;0.00011986259607343201;4.7794505184697165e-05;2.4613889617911387e-05;0.00011415525114155255;0.0;0.075;0.075;0.0001;0.0001;0.0001;0.012736;0.0001
2019-01-01 23:00:00+00:00;7.367000530396852e-05;2.258069318593357e-05;8.084562118403415e-06;0.00011415525114155255;0.0;0.0935;0.0935;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 00:00:00+00:00;5.112385688834262e-05;0.0;6.773822468018703e-06;0.00011415525114155255;0.0;0.084;0.084;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 01:00:00+00:00;6.454708653261983e-05;0.0;3.752117319803565e-06;0.00011415525114155255;0.0;0.0745;0.0745;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 02:00:00+00:00;7.056006802365147e-05;0.0;2.381343792301996e-06;0.00011415525114155255;0.0;0.065;0.065;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 03:00:00+00:00;7.874264067555106e-05;4.2794155843347636e-07;8.304686334498558e-06;0.00011415525114155255;0.0;0.055;0.055;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 04:00:00+00:00;8.462948686632976e-05;9.480032804312276e-06;2.491405900349567e-05;0.00011415525114155255;0.0;0.047;0.047;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 05:00:00+00:00;0.00010203599794699943;2.4135142952833204e-05;6.933912806996988e-05;0.00011415525114155255;0.0;0.0375;0.0375;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 06:00:00+00:00;0.00013039913625689133;4.193582163434313e-05;0.00014308074046184263;0.00011415525114155255;0.0;0.031;0.031;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 07:00:00+00:00;0.00013765071494317084;6.028426350038715e-05;0.00019010727753671398;0.00011415525114155255;0.0;0.028;0.028;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 08:00:00+00:00;0.00014206289099462992;8.740729524647867e-05;0.0001680948559271997;0.00011415525114155255;0.0;0.033;0.033;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 09:00:00+00:00;0.00015267594336814024;0.00011680493232298931;0.00016509316207135685;0.00011415525114155255;0.0;0.05;0.05;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 10:00:00+00:00;0.0001772197245966942;0.000152055782293057;0.00017910106673195683;0.00011415525114155255;0.0115;0.0455;0.0455;0.0001;0.0001;0.0001;0.030189;0.0001
2019-01-02 11:00:00+00:00;0.00016222570429632008;0.0001860546856974512;0.00019611066524839965;0.00011415525114155255;0.102;0.0035;0.0035;0.0001;0.0001;0.0001;0.128774;0.0001
2019-01-02 12:00:00+00:00;0.00017677218863118533;0.00022410166506289447;0.00019511010062978537;0.00011415525114155255;0.225;0.0075;0.0075;0.0001;0.0001;0.0001;0.261321;0.0001
2019-01-02 13:00:00+00:00;0.00017024123433286945;0.00022685632726580202;0.00018510445444364253;0.00011415525114155255;0.3425;0.0105;0.0105;0.0001;0.0001;0.0001;0.396226;0.0001
2019-01-02 14:00:00+00:00;0.00016473506605630957;0.00022802488279042346;0.00019911235910424253;0.00011415525114155255;0.4335;0.0085;0.0085;0.0001;0.0001;0.0001;0.509906;0.0001
2019-01-02 15:00:00+00:00;0.00016366935741799531;0.0002305550141718583;0.00021612195762068533;0.00011415525114155255;0.492;0.0085;0.0085;0.0001;0.0001;0.0001;0.588679;0.0001
2019-01-02 16:00:00+00:00;0.00015224817614120954;0.0002205438471780918;0.0002241264745695996;0.00011415525114155255;0.5235;0.008;0.008;0.0001;0.0001;0.0001;0.633962;0.0001
2019-01-02 17:00:00+00:00;0.00015576364181854656;0.00019177750709741524;0.00019811179448562822;0.00011415525114155255;0.529;0.007;0.007;0.0001;0.0001;0.0001;0.643868;0.0001
2019-01-02 18:00:00+00:00;0.00016473764836219643;0.0001597558165101766;0.0001370773527501569;0.00011415525114155255;0.475;0.005;0.005;0.0001;0.0001;0.0001;0.573585;0.0001
2019-01-02 19:00:00+00:00;0.0001750425885251038;0.0001321268108310925;9.075121090831555e-05;0.00011415525114155255;0.3645;0.005;0.005;0.0001;0.0001;0.0001;0.433491;0.0001
2019-01-02 20:00:00+00:00;0.00017677296832588408;0.00010612530476832172;6.333574035828418e-05;0.00011415525114155255;0.2235;0.007;0.007;0.0001;0.0001;0.0001;0.267453;0.0001
2019-01-02 21:00:00+00:00;0.0001535615302023652;7.638330967950211e-05;4.1123205825047075e-05;0.00011415525114155255;0.09;0.018;0.018;0.0001;0.0001;0.0001;0.119811;0.0001
2019-01-02 22:00:00+00:00;0.00011536574075780647;5.054346162072816e-05;2.4613889617911387e-05;0.00011415525114155255;0.003;0.0275;0.0275;0.0001;0.0001;0.0001;0.01934;0.0001
2019-01-02 23:00:00+00:00;7.323298011706663e-05;2.2637885103945198e-05;8.084562118403415e-06;0.00011415525114155255;0.0;0.0945;0.0945;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 00:00:00+00:00;4.743203559420913e-05;0.0;6.773822468018703e-06;0.00011415525114155255;0.0;0.1315;0.1315;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 01:00:00+00:00;5.8928584504854994e-05;0.0;3.752117319803565e-06;0.00011415525114155255;0.0;0.1285;0.1285;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 02:00:00+00:00;6.945785597587488e-05;0.0;2.381343792301996e-06;0.00011415525114155255;0.0;0.1075;0.1075;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 03:00:00+00:00;8.429139780328235e-05;2.9751980659072964e-07;8.304686334498558e-06;0.00011415525114155255;0.0;0.091;0.091;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 04:00:00+00:00;8.72829026056067e-05;6.897811671826777e-06;2.491405900349567e-05;0.00011415525114155255;0.0;0.069;0.069;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 05:00:00+00:00;0.00010192724094685314;2.3430917488380708e-05;6.933912806996988e-05;0.00011415525114155255;0.0;0.0625;0.0625;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 06:00:00+00:00;0.0001225656073848902;4.444518246622152e-05;0.00014308074046184263;0.00011415525114155255;0.0;0.058;0.058;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 07:00:00+00:00;0.00014574890422060027;6.706118737755031e-05;0.00019010727753671398;0.00011415525114155255;0.0;0.0585;0.0585;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 08:00:00+00:00;0.00014086150666430664;9.181064479652867e-05;0.0001680948559271997;0.00011415525114155255;0.0;0.0535;0.0535;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 09:00:00+00:00;0.00015876344222495378;0.00012538691435687186;0.00016509316207135685;0.00011415525114155255;0.0;0.0555;0.0555;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-03 10:00:00+00:00;0.00016704551241914447;0.00015496722187903676;0.00017910106673195683;0.00011415525114155255;0.011;0.0465;0.0465;0.0001;0.0001;0.0001;0.029717;0.0001
2019-01-03 11:00:00+00:00;0.00016608116175263104;0.0001924091132838717;0.00019611066524839965;0.00011415525114155255;0.0965;0.012;0.012;0.0001;0.0001;0.0001;0.123585;0.0001
2019-01-03 12:00:00+00:00;0.00017043236528460924;0.0002308005037005102;0.00019511010062978537;0.00011415525114155255;0.219;0.0415;0.0415;0.0001;0.0001;0.0001;0.256604;0.0001
2019-01-03 13:00:00+00:00;0.00017283432182713026;0.0002480734456375529;0.00018510445444364253;0.00011415525114155255;0.339;0.0495;0.0495;0.0001;0.0001;0.0001;0.392925;0.0001
2019-01-03 14:00:00+00:00;0.00017411815695049504;0.0002451833574204087;0.00019911235910424253;0.00011415525114155255;0.4255;0.053;0.053;0.0001;0.0001;0.0001;0.499057;0.0001
2019-01-03 15:00:00+00:00;0.00016537520957606006;0.00024011266112606918;0.00021612195762068533;0.00011415525114155255;0.4645;0.0545;0.0545;0.0001;0.0001;0.0001;0.550472;0.0001
2019-01-03 16:00:00+00:00;0.00015695929719202503;0.00023726936190151274;0.0002241264745695996;0.00011415525114155255;0.462;0.052;0.052;0.0001;0.0001;0.0001;0.548585;0.0001
2019-01-03 17:00:00+00:00;0.00015962140605074783;0.00020246199457914693;0.00019811179448562822;0.00011415525114155255;0.433;0.0475;0.0475;0.0001;0.0001;0.0001;0.513208;0.0001
2019-01-03 18:00:00+00:00;0.0001715154327620607;0.0001660789659350281;0.0001370773527501569;0.00011415525114155255;0.3695;0.032;0.032;0.0001;0.0001;0.0001;0.434906;0.0001
2019-01-03 19:00:00+00:00;0.00018145517455856093;0.00014131901290299827;9.075121090831555e-05;0.00011415525114155255;0.2605;0.0165;0.0165;0.0001;0.0001;0.0001;0.307075;0.0001
2019-01-03 20:00:00+00:00;0.00018056906217445978;0.00010889570126116207;6.333574035828418e-05;0.00011415525114155255;0.1625;0.0055;0.0055;0.0001;0.0001;0.0001;0.19717;0.0001
2019-01-03 21:00:00+00:00;0.00015347124398976494;7.807913225012591e-05;4.1123205825047075e-05;0.00011415525114155255;0.0635;0.0025;0.0025;0.0001;0.0001;0.0001;0.090094;0.0001
2019-01-03 22:00:00+00:00;0.00011337855767895224;5.2244555734953034e-05;2.4613889617911387e-05;0.00011415525114155255;0.0;0.0045;0.0045;0.0001;0.0001;0.0001;0.012736;0.0001
2019-01-03 23:00:00+00:00;6.855963791239735e-05;2.573174733094658e-05;8.084562118403415e-06;0.00011415525114155255;0.0;0.036;0.036;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 00:00:00+00:00;4.186858477773346e-05;0.0;6.773822468018703e-06;0.00011415525114155255;0.0;0.083;0.083;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 01:00:00+00:00;4.862552793104807e-05;0.0;3.752117319803565e-06;0.00011415525114155255;0.0;0.1005;0.1005;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 02:00:00+00:00;5.370707363829747e-05;0.0;2.381343792301996e-06;0.00011415525114155255;0.0;0.1095;0.1095;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 03:00:00+00:00;5.7730982458316345e-05;6.001188256080555e-07;8.304686334498558e-06;0.00011415525114155255;0.0;0.099;0.099;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 04:00:00+00:00;6.515739372448723e-05;1.0106327450630441e-05;2.491405900349567e-05;0.00011415525114155255;0.0;0.0795;0.0795;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 05:00:00+00:00;7.883106104321493e-05;2.8653112840169854e-05;6.933912806996988e-05;0.00011415525114155255;0.0;0.0555;0.0555;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 06:00:00+00:00;8.971297831334243e-05;5.0856972390681676e-05;0.00014308074046184263;0.00011415525114155255;0.0;0.0445;0.0445;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 07:00:00+00:00;9.37647438347367e-05;7.841318228531217e-05;0.00019010727753671398;0.00011415525114155255;0.0;0.044;0.044;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 08:00:00+00:00;8.647374924186878e-05;0.00010444077391573736;0.0001680948559271997;0.00011415525114155255;0.0;0.0515;0.0515;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 09:00:00+00:00;8.535065769389013e-05;0.0001347044660980112;0.00016509316207135685;0.00011415525114155255;0.0;0.0615;0.0615;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-04 10:00:00+00:00;8.825607738728086e-05;0.00017089956683861182;0.00017910106673195683;0.00011415525114155255;0.0055;0.0635;0.0635;0.0001;0.0001;0.0001;0.02217;0.0001
2019-01-04 11:00:00+00:00;9.061758826254622e-05;0.00020425145165179202;0.00019611066524839965;0.00011415525114155255;0.0745;0.009;0.009;0.0001;0.0001;0.0001;0.1;0.0001
2019-01-04 12:00:00+00:00;9.549716710644852e-05;0.0002306127637807167;0.00019511010062978537;0.00011415525114155255;0.1705;0.001;0.001;0.0001;0.0001;0.0001;0.202358;0.0001
2019-01-04 13:00:00+00:00;9.362108149449815e-05;0.00023917884962563975;0.00018510445444364253;0.00011415525114155255;0.2715;0.0095;0.0095;0.0001;0.0001;0.0001;0.313208;0.0001
2019-01-04 14:00:00+00:00;9.497228180657871e-05;0.00023973704355927594;0.00019911235910424253;0.00011415525114155255;0.346;0.0235;0.0235;0.0001;0.0001;0.0001;0.401887;0.0001
2019-01-04 15:00:00+00:00;9.964590188024778e-05;0.00024102036793006553;0.00021612195762068533;0.00011415525114155255;0.38;0.0305;0.0305;0.0001;0.0001;0.0001;0.443396;0.0001
2019-01-04 16:00:00+00:00;0.00010629280540688924;0.00023251161712119803;0.0002241264745695996;0.00011415525114155255;0.3625;0.029;0.029;0.0001;0.0001;0.0001;0.424528;0.0001
2019-01-04 17:00:00+00:00;0.00011649029905681918;0.00019789725135004152;0.00019811179448562822;0.00011415525114155255;0.316;0.019;0.019;0.0001;0.0001;0.0001;0.36934;0.0001
2019-01-04 18:00:00+00:00;0.0001315684529883159;0.00016186385939165012;0.0001370773527501569;0.00011415525114155255;0.2565;0.012;0.012;0.0001;0.0001;0.0001;0.301415;0.0001
2019-01-04 19:00:00+00:00;0.00015122532982159232;0.00012813624102171877;9.075121090831555e-05;0.00011415525114155255;0.1935;0.0095;0.0095;0.0001;0.0001;0.0001;0.23066;0.0001
2019-01-04 20:00:00+00:00;0.00015584058936281436;9.799258575125438e-05;6.333574035828418e-05;0.00011415525114155255;0.1245;0.0085;0.0085;0.0001;0.0001;0.0001;0.15566;0.0001
2019-01-04 21:00:00+00:00;0.00013675264862686247;7.783384513873177e-05;4.1123205825047075e-05;0.00011415525114155255;0.0505;0.006;0.006;0.0001;0.0001;0.0001;0.075;0.0001
2019-01-04 22:00:00+00:00;0.00010197881303455248;5.0408083254540193e-05;2.4613889617911387e-05;0.00011415525114155255;0.001;0.0065;0.0065;0.0001;0.0001;0.0001;0.011792;0.0001
2019-01-04 23:00:00+00:00;6.157023387004283e-05;2.56951525861976e-05;8.084562118403415e-06;0.00011415525114155255;0.0;0.0185;0.0185;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 00:00:00+00:00;4.235136098714734e-05;0.0;6.773822468018703e-06;0.00011415525114155255;0.0;0.0375;0.0375;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 01:00:00+00:00;5.047245998519838e-05;0.0;3.752117319803565e-06;0.00011415525114155255;0.0;0.0645;0.0645;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 02:00:00+00:00;5.541950540151723e-05;0.0;2.381343792301996e-06;0.00011415525114155255;0.0;0.0765;0.0765;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 03:00:00+00:00;5.918666649191323e-05;6.418150417260605e-07;8.304686334498558e-06;0.00011415525114155255;0.0;0.073;0.073;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 04:00:00+00:00;6.596490455474531e-05;8.921874345865639e-06;2.491405900349567e-05;0.00011415525114155255;0.0;0.0525;0.0525;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 05:00:00+00:00;8.004498100322678e-05;2.4432563289774924e-05;6.933912806996988e-05;0.00011415525114155255;0.0;0.0325;0.0325;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 06:00:00+00:00;9.110604012717978e-05;4.616146343951373e-05;0.00014308074046184263;0.00011415525114155255;0.0;0.0175;0.0175;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 07:00:00+00:00;9.505560001270877e-05;7.208991687050288e-05;0.00019010727753671398;0.00011415525114155255;0.0;0.008;0.008;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 08:00:00+00:00;8.776720901872441e-05;9.638023873610477e-05;0.0001680948559271997;0.00011415525114155255;0.0;0.003;0.003;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 09:00:00+00:00;8.765901495794303e-05;0.0001239414181135316;0.00016509316207135685;0.00011415525114155255;0.0;0.0085;0.0085;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-05 10:00:00+00:00;8.953528904978637e-05;0.00015009417751589527;0.00017910106673195683;0.00011415525114155255;0.013;0.03;0.03;0.0001;0.0001;0.0001;0.031604;0.0001
2019-01-05 11:00:00+00:00;9.257617160891747e-05;0.00019153749552927593;0.00019611066524839965;0.00011415525114155255;0.111;0.006;0.006;0.0001;0.0001;0.0001;0.138679;0.0001
2019-01-05 12:00:00+00:00;9.779593941093594e-05;0.0002214514498171935;0.00019511010062978537;0.00011415525114155255;0.234;0.0015;0.0015;0.0001;0.0001;0.0001;0.271226;0.0001
2019-01-05 13:00:00+00:00;9.471862939658225e-05;0.00022758651796050145;0.00018510445444364253;0.00011415525114155255;0.338;0.016;0.016;0.0001;0.0001;0.0001;0.390094;0.0001
2019-01-05 14:00:00+00:00;9.497345552541829e-05;0.0002277951885898981;0.00019911235910424253;0.00011415525114155255;0.4145;0.025;0.025;0.0001;0.0001;0.0001;0.484906;0.0001
2019-01-05 15:00:00+00:00;0.00010057310032309333;0.00022524419014552363;0.00021612195762068533;0.00011415525114155255;0.443;0.024;0.024;0.0001;0.0001;0.0001;0.524057;0.0001
2019-01-05 16:00:00+00:00;0.00010705433392982717;0.00021025622881454405;0.0002241264745695996;0.00011415525114155255;0.456;0.0205;0.0205;0.0001;0.0001;0.0001;0.541981;0.0001
2019-01-05 17:00:00+00:00;0.00011660141191736144;0.0001810986106098882;0.00019811179448562822;0.00011415525114155255;0.439;0.015;0.015;0.0001;0.0001;0.0001;0.52217;0.0001
2019-01-05 18:00:00+00:00;0.00013307799786480584;0.00015506061501065104;0.0001370773527501569;0.00011415525114155255;0.3845;0.013;0.013;0.0001;0.0001;0.0001;0.455189;0.0001
2019-01-05 19:00:00+00:00;0.00015234124688555568;0.00012161472703171545;9.075121090831555e-05;0.00011415525114155255;0.2875;0.014;0.014;0.0001;0.0001;0.0001;0.339151;0.0001
2019-01-05 20:00:00+00:00;0.00015820390080984126;9.71052507487286e-05;6.333574035828418e-05;0.00011415525114155255;0.172;0.0165;0.0165;0.0001;0.0001;0.0001;0.208491;0.0001
2019-01-05 21:00:00+00:00;0.0001408930827152955;7.284095793393515e-05;4.1123205825047075e-05;0.00011415525114155255;0.069;0.013;0.013;0.0001;0.0001;0.0001;0.095755;0.0001
2019-01-05 22:00:00+00:00;0.00010435910041548347;4.7517650719380295e-05;2.4613889617911387e-05;0.00011415525114155255;0.0015;0.009;0.009;0.0001;0.0001;0.0001;0.015566;0.0001
2019-01-05 23:00:00+00:00;6.235287312038003e-05;2.1385787247022287e-05;8.084562118403415e-06;0.00011415525114155255;0.0;0.02;0.02;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 00:00:00+00:00;4.646733354715919e-05;0.0;6.773822468018703e-06;0.00011415525114155255;0.0;0.053;0.053;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 01:00:00+00:00;5.88162696500325e-05;0.0;3.752117319803565e-06;0.00011415525114155255;0.0;0.094;0.094;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 02:00:00+00:00;6.77099228760508e-05;0.0;2.381343792301996e-06;0.00011415525114155255;0.0;0.095;0.095;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 03:00:00+00:00;7.9384277643237e-05;4.6445544061814135e-07;8.304686334498558e-06;0.00011415525114155255;0.0;0.057;0.057;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 04:00:00+00:00;8.919294790892842e-05;9.542720594329188e-06;2.491405900349567e-05;0.00011415525114155255;0.0;0.037;0.037;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 05:00:00+00:00;0.00010472422951051776;2.5679310827308322e-05;6.933912806996988e-05;0.00011415525114155255;0.0;0.0355;0.0355;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 06:00:00+00:00;0.00011995737511988655;4.682932996488865e-05;0.00014308074046184263;0.00011415525114155255;0.0;0.0425;0.0425;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 07:00:00+00:00;0.00013288308450253727;6.85426198139599e-05;0.00019010727753671398;0.00011415525114155255;0.0;0.0455;0.0455;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 08:00:00+00:00;0.0001441874952036023;9.452316699565342e-05;0.0001680948559271997;0.00011415525114155255;0.0;0.047;0.047;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 09:00:00+00:00;0.00015727149228868226;0.00012453103906541433;0.00016509316207135685;0.00011415525114155255;0.0;0.0625;0.0625;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-06 10:00:00+00:00;0.000173983163463982;0.00015333391059197229;0.00017910106673195683;0.00011415525114155255;0.018;0.049;0.049;0.0001;0.0001;0.0001;0.037736;0.0001
