year;scenario;case_study;reconstructed_cost_Meur;lp_raw_cost_Meur_secondary;vintage_adjustment_Meur;reconstructed_vs_lp_pct;storage_share_pct
2025;reality;norte_amazonia_reality_2025;66.64783252132364;66.64783953619735;0.0;-1.0525282987997041e-05;0.031613038061844324
2025;reality_phase2;norte_amazonia_reality_2025_phase2;42.28561979228216;42.28562846419459;0.0;-2.0507942628373383e-05;30.25146582629687
2025;reality_access;norte_amazonia_reality_access_2025;69.7337704534361;69.7337785067233;0.0;-1.1548617292476265e-05;0.21382813450974048
2025;access_transition;norte_amazonia_access_transition_2025;47.739852617050175;47.7398623774955;0.0;-2.0445063804127287e-05;28.87776840216924
2025;sufficiency;norte_amazonia_sufficiency_2025;31.850347471195118;31.850362986939253;0.0;-4.871449704103306e-05;25.45516651383845
2035;early_access;norte_amazonia_early_access_2035;49.5156303626431;49.5156406414091;0.0;-2.075862467939994e-05;29.675283643645923
2035;late_access;norte_amazonia_late_access_2035;44.73354157208862;44.73355044036141;0.0;-1.9824656675246134e-05;29.47395796191339
2035;no_transition;norte_amazonia_no_transition_2035;88.39025754827856;88.39026434783273;0.0;-7.692650566705687e-06;0.1699527690662969
2050;early_access;norte_amazonia_early_access_2050;53.43906347585065;36.89695393426899;16.542115731421607;44.83326610389307;24.678575174958414
2050;early_access_brazil;norte_amazonia_early_access_brazil_2050;43.47250308625244;26.93039298420258;16.542115731421607;61.425431525464525;11.19650357502283
2050;late_access;norte_amazonia_late_access_2050;53.064149776166786;38.35623653194549;14.707919651620703;38.3455588297137;24.854363494385755
2050;no_transition;norte_amazonia_no_transition_2050;121.01559394796772;118.0041495633712;3.0114496789320966;2.551981769911654;0.2351653093585044
