time,community
0,3156.7800000000093
1,5757.771000000043
2,8107.753000000048
3,10542.744000000046
4,13438.732000000044
5,15763.71700000004
6,16578.71200000004
7,17979.703000000034
8,19795.69100000003
9,21362.68400000003
10,26665.663000000026
11,25385.663000000026
12,24704.662000000022
13,24410.659000000018
14,24162.64600000002
15,23084.643000000015
16,23062.639000000017
17,22667.644000000015
18,22264.644000000015
19,22032.642000000014
20,18241.637000000013
21,19506.634000000013
22,21087.618000000013
23,22490.60400000001
24,22058.591000000008
25,24195.576000000005
26,26301.56000000001
27,28466.54500000001
28,29136.536000000004
29,30270.533000000003
30,31082.537000000004
31,31712.537000000004
32,31997.543000000005
33,31162.552000000007
34,32778.558
35,32606.559000000005
36,33106.562999999995
37,31148.569000000003
38,31701.568000000003
39,30969.559000000005
40,30836.564000000006
41,30281.557000000004
42,30369.547000000006
43,32314.542
44,32037.539000000004
45,31812.537000000004
46,31217.533000000003
47,32174.525000000005
48,32256.529000000006
49,31627.517000000003
50,31074.518000000007
51,31041.511000000006
52,29386.50500000001
53,27204.51000000001
54,26344.51000000001
55,26779.501000000007
56,25349.503000000008
57,27331.493000000006
58,27166.485000000004
59,28176.475000000006
60,28601.464000000004
61,28271.46900000001
62,29029.464000000007
63,29136.465000000007
64,29499.45800000001
65,28859.45200000001
66,29969.449000000008
67,26821.44100000001
68,27378.43600000001
69,26946.428000000007
70,27886.414000000008
71,27476.413000000008
72,28372.396000000008
73,29279.394000000008
74,28804.39400000001
75,28549.39100000001
76,27964.38100000001
77,28512.37500000001
78,27167.36400000001
79,27742.35700000001
80,26525.35800000001
81,27195.342000000008
82,27526.342000000008
83,26989.337000000007
84,27842.325000000008
85,27844.32800000001
86,27419.331000000006
87,29659.332000000006
88,29264.336000000007
89,28826.340000000007
90,29301.335000000006
91,29701.333000000006
92,30346.329000000005
93,30498.338000000007
94,30033.340000000007
95,28983.34800000001
96,30356.35100000001
97,27621.35300000001
98,29039.34800000001
99,28457.34900000001
100,28460.35200000001
101,28717.35000000001
102,30690.347000000005
103,30870.349000000006
104,37572.343
105,37142.349
106,36127.35400000001
107,36112.355
108,34745.35400000001
109,35545.353
110,36137.351
111,35718.35400000001
112,34963.351
113,36011.34700000001
114,35427.348000000005
115,34867.34700000001
116,34920.342000000004
117,35290.34300000001
118,34530.344000000005
119,34942.340000000004
120,35335.34100000001
121,35700.344000000005
122,37269.33900000001
123,37054.34100000001
124,36912.336
125,36299.33900000001
126,35939.336
127,35945.334
128,36130.33700000001
129,35360.33500000001
130,34810.334
131,34780.338
132,35545.33900000001
133,36575.333000000006
134,38130.334
135,39185.329
136,33870.33099999999
137,33292.331999999995
138,37047.33200000001
139,37590.33500000001
140,36973.34000000001
141,37143.34400000001
142,36149.34500000001
143,36694.34300000001
144,36314.342000000004
145,35754.338
146,36744.33600000001
147,37139.338
148,36344.33900000001
149,37519.338
150,38711.336
151,37957.334
152,39512.333000000006
153,39902.334
154,38897.33500000001
155,38905.334
156,37742.33200000001
157,37735.333
158,38495.333
159,37895.333
160,37080.338
161,37320.334
162,36470.341
163,36460.34300000001
164,38410.346000000005
165,38395.350000000006
166,39030.342000000004
167,38650.341
168,37270.342000000004
169,38422.33900000001
170,39792.337
171,40557.341
172,39607.33700000001
173,39624.339
174,39404.342000000004
175,32463.350000000006
176,33038.349
177,33066.350000000006
178,32471.350000000006
179,33089.348000000005
180,33105.348000000005
181,32537.345000000005
182,33659.349
183,34072.346
184,33682.348
185,34487.34599999999
186,33512.345
187,34072.348000000005
188,35022.350999999995
189,34242.350000000006
190,33827.352000000006
191,33624.353
192,33754.357
193,34929.353
194,35658.35800000001
195,36454.35299999999
196,36624.35499999998
197,36070.352999999996
198,34943.348999999995
199,34913.35
200,35083.34999999999
201,36438.34899999999
202,34881.349
203,35296.34299999999
204,35440.34499999999
205,33500.343
206,34467.343
207,34261.343
208,34015.346
209,33628.345
210,33972.347
211,33830.340000000004
212,34760.344
213,35532.34299999999
214,34572.33699999999
215,35905.33799999999
216,34130.338
217,34528.335999999996
218,35282.33799999999
219,34477.337
220,35280.33099999999
221,34485.335
222,35850.333
223,36430.329999999994
224,37192.33299999999
225,36564.33599999999
226,36956.335999999996
227,36164.338
228,35949.339
229,36799.33499999999
230,37219.327999999994
231,38437.32499999999
232,36522.323000000004
233,36122.32
234,36861.320999999996
235,35936.321
236,37281.318999999996
237,36661.323
238,36620.328
239,36675.327
240,36639.32699999999
241,37459.321999999986
242,38244.317999999985
243,39262.317999999985
244,38280.317999999985
245,39071.32399999998
246,37276.32999999999
247,37851.334999999985
248,38092.33499999999
249,37174.33199999999
250,37735.335999999996
251,37530.33999999999
252,39495.33799999998
253,39072.34399999999
254,40276.34599999998
255,40294.34799999999
256,41084.35099999998
257,40175.349999999984
258,40355.35599999998
259,40043.351999999984
260,39908.351999999984
261,40546.354999999974
262,38797.35299999999
263,38986.35299999998
264,39396.353999999985
265,39221.355999999985
266,39216.357999999986
267,38468.35599999999
268,38276.35899999999
269,39336.35499999998
270,39935.35299999999
271,39931.354999999974
272,40484.360999999975
273,41815.36099999997
274,42186.36199999997
275,41976.362999999976
276,40704.35599999997
277,41309.35699999997
278,41164.357999999964
279,40223.358999999975
280,41076.35799999998
281,40972.35299999998
282,42541.356999999975
283,43229.34699999998
284,43775.35199999998
285,44180.35399999998
286,44557.35999999998
287,44781.35999999998
288,44597.36699999998
289,44522.36399999998
290,44769.36199999999
291,45197.36199999998
292,43691.359999999986
293,43630.36399999998
294,44221.37099999998
295,44050.37199999998
296,44504.37399999998
297,43713.37699999998
298,42793.372999999985
