time,community
0,3886.7310000000257
1,7420.707000000029
2,8327.69800000003
3,10277.68500000004
4,11842.681000000039
5,13182.675000000036
6,13712.674000000034
7,14817.670000000031
8,16765.65500000003
9,17910.647000000034
10,21157.656000000025
11,19058.66000000003
12,19331.664000000026
13,19758.64400000002
14,19230.64900000002
15,20352.638000000014
16,20870.633000000013
17,20394.64000000001
18,19929.640000000014
19,21099.62800000001
20,19234.615000000013
21,21123.61600000001
22,22802.60600000001
23,24110.59600000001
24,26175.594000000005
25,26679.584000000006
26,27645.564000000006
27,30386.548000000006
28,32211.538000000004
29,33021.53
30,32773.528999999995
31,32868.541
32,30919.550000000003
33,32226.545000000006
34,30443.558000000005
35,30786.568000000007
36,30593.56000000001
37,29184.561000000005
38,29540.554000000007
39,29472.54700000001
40,29027.543000000005
41,28972.54600000001
42,31312.540000000008
43,30082.539000000004
44,30530.53
45,30195.531
46,31520.529000000002
47,30767.525
48,30123.517
49,29425.521000000004
50,29877.523000000005
51,29052.515000000003
52,28431.503000000004
53,26181.502
54,26251.498000000003
55,25681.491
56,24593.49
57,24843.484000000004
58,25799.485000000008
59,26547.479000000007
60,26582.468000000004
61,25630.459000000006
62,24349.458000000006
63,25820.450000000008
64,26800.441000000006
65,28698.423000000006
66,27918.418000000005
67,27886.412000000004
68,26861.415000000008
69,25946.407000000007
70,25321.399000000005
71,26600.40200000001
72,27145.40000000001
73,27850.40200000001
74,25990.40200000001
75,26000.39200000001
76,26362.38900000001
77,25967.386000000013
78,26011.37700000001
79,25221.37100000001
80,27253.35500000001
81,27850.34500000001
82,28635.347000000012
83,26285.35200000001
84,27278.350000000013
85,26771.348000000013
86,27366.344000000012
87,27181.34200000001
88,28130.345000000012
89,28981.336000000007
90,28639.33200000001
91,27069.33200000001
92,26507.33300000001
93,27077.334000000006
94,26902.335000000006
95,27674.336000000007
96,27259.34500000001
97,28444.34500000001
98,27464.349000000006
99,26271.352000000006
100,24951.347000000005
101,25574.344000000005
102,25589.345000000005
103,26574.343000000004
104,26612.342000000004
105,26014.348000000005
106,27607.344000000005
107,26037.345000000005
108,26280.344000000005
109,27090.343000000008
110,28463.344000000005
111,30083.338000000007
112,31253.335000000006
113,29267.337000000007
114,30467.335000000006
115,31077.332000000006
116,29530.331000000006
117,29545.330000000005
118,30305.331000000006
119,30080.336000000007
120,31027.339000000007
121,30062.337000000007
122,29102.334000000006
123,29657.337000000007
124,30227.338000000007
125,29052.340000000007
126,29472.339000000007
127,30612.341000000008
128,28852.342000000008
129,27477.345000000005
130,26545.344000000005
131,25924.348000000005
132,26507.349000000006
133,27892.347000000005
134,26892.350000000006
135,26307.352000000006
136,26446.360000000008
137,25464.36200000001
138,26522.353000000006
139,27125.35300000001
140,28320.34700000001
141,30525.340000000007
142,30877.34400000001
143,30087.34500000001
144,31597.349000000006
145,31617.343000000008
146,30247.34400000001
147,30457.341000000008
148,30270.340000000007
149,31255.337000000007
150,33030.333
151,31495.330000000005
152,30900.333000000006
153,31307.328000000005
154,30310.333000000002
155,30485.335000000003
156,30875.336000000003
157,32440.336000000003
158,31437.337000000003
