time,community
0,5930.743000000039
1,11425.719000000048
2,14043.714000000047
3,17134.70900000005
4,20804.70100000005
5,25110.689000000046
6,26783.694000000043
7,30138.680000000037
8,33548.66600000003
9,35708.661
10,39236.64799999994
11,37289.636999999966
12,36388.638
13,37179.625999999975
14,35546.623000000014
15,27903.62400000002
16,28413.621000000017
17,27008.619000000017
18,25767.616000000013
19,26349.611000000008
20,24709.610000000004
21,25199.59800000001
22,25329.589000000014
23,23204.58400000001
24,23604.57100000001
25,24059.56400000001
26,23507.54800000001
27,23222.54700000001
28,23977.53500000001
29,24828.51700000001
30,28153.512000000013
31,27713.52400000002
32,29761.522000000015
33,31014.519000000015
34,31049.523000000016
35,32039.532000000014
36,31239.543000000012
37,32919.55000000001
38,33264.554000000004
39,32829.543000000005
40,34254.541
41,34806.535
42,34444.526
43,35884.52
44,34174.52399999999
45,30549.529000000006
46,31654.518000000007
47,29457.51400000001
48,29509.517000000007
49,31037.503000000004
50,30537.507000000005
51,30317.505
52,30602.504000000004
53,28292.500000000007
54,28945.497000000007
55,29295.479000000007
56,28995.474000000006
57,29053.462000000003
58,29341.453000000005
59,29221.445000000007
60,29258.446000000007
61,28281.448000000008
62,30843.437000000005
63,30468.435000000005
64,29223.433000000005
65,29100.424000000006
66,28758.41600000001
67,29425.41800000001
68,29183.409000000007
69,30351.394000000008
70,32833.39200000001
71,34156.384
72,31379.389000000006
73,32999.376000000004
74,33234.368
75,31624.352000000006
76,31424.351000000006
77,31602.34400000001
78,31357.335000000006
79,31327.327000000005
80,30187.322000000007
81,29807.315000000006
82,28440.320000000007
83,27614.323000000008
84,27794.32600000001
85,29149.328000000005
86,29674.338000000007
87,29118.333000000006
88,29303.332000000006
89,29321.330000000005
90,30121.331000000006
91,30166.331000000006
92,33704.33
93,31896.340000000007
94,31306.34600000001
95,35261.344000000005
96,36064.346000000005
97,36307.343
98,37327.338
99,37322.33900000001
100,38282.339
101,39470.33699999999
102,38267.340000000004
103,38457.347
104,39235.344999999994
105,37705.344000000005
106,36912.347
107,41576.35100000001
108,41221.349
109,42371.348000000005
110,41771.350000000006
111,40608.350000000006
112,38666.35100000001
113,38238.357
114,37659.35600000001
115,39229.35100000001
116,39046.350000000006
117,40206.352000000006
118,40032.35100000001
119,40629.349
120,41359.35400000001
121,42369.35100000001
122,44516.35100000001
123,43382.349
124,43364.35100000001
125,42397.352000000006
126,44382.348000000005
127,45178.346
128,45553.35
129,45575.345
130,46142.34699999999
131,46329.34699999999
132,46177.34199999999
133,47189.337
134,48747.33199999998
135,46769.33399999999
136,46537.33499999999
137,44817.336
138,43857.33500000001
139,43652.337
140,43265.338
141,35810.33900000001
142,32960.338
143,32375.337000000007
144,32400.332000000006
145,33598.33
146,34618.325000000004
147,36010.321
148,29918.321000000004
149,31136.315000000002
150,31673.319000000003
151,32048.323000000004
152,34170.325000000004
153,33360.33
154,31360.335
155,31540.338
156,32781.332
157,33366.331999999995
158,34741.331
159,34704.33499999999
160,35077.337999999996
161,35677.33699999999
162,35904.333999999995
163,36279.33899999999
164,37664.33799999999
165,36474.33899999999
166,35884.33699999999
167,34109.341
168,33924.339
169,33169.337
170,32924.341
171,32349.338000000003
172,30001.339000000004
173,29267.333000000002
174,28854.337000000003
175,29272.333000000002
176,29842.333000000002
177,31354.334000000003
178,30399.331000000002
179,31954.329
180,33123.329
181,32515.331000000002
182,33883.33
183,33260.336
184,32490.337000000003
185,32690.337000000003
186,33070.339
187,34457.335
188,35210.343
189,35995.34
190,35187.344
191,36150.34499999999
192,35545.34799999999
193,35740.34799999998
194,36718.346999999994
195,36333.344
196,35123.347
197,33568.345
198,34128.347
199,32783.341
200,32362.341000000008
201,32337.341000000008
202,30572.342000000008
203,30180.338000000007
204,29435.332000000006
205,29070.331000000002
206,30422.334000000006
207,31565.337000000003
208,30770.335000000003
209,31957.331000000006
210,34302.325999999994
211,34750.316999999995
212,36472.317999999985
213,36061.32499999998
214,36064.32499999998
215,36281.32399999999
216,36519.319999999985
217,38311.31399999999
218,38507.313999999984
219,39902.31099999998
220,36752.31399999999
221,36752.314999999995
222,34957.316
223,36299.317
224,37094.314999999995
225,37722.31199999999
226,35354.315
227,33826.314000000006
228,33588.313
229,33175.312000000005
230,33960.31100000001
231,34373.308000000005
232,33408.304000000004
233,33783.304000000004
234,32185.306
235,31038.302000000003
236,31428.302
237,31996.303000000004
238,31173.307000000004
239,31411.311000000005
240,33780.309
241,34125.313
242,36040.316999999995
243,35653.321999999986
244,35733.31699999999
245,36133.32199999999
246,37113.32199999999
247,39113.31799999999
248,39247.32499999998
249,41217.32599999998
250,39244.329999999994
251,39040.329999999994
252,38867.32599999998
253,40634.32999999998
254,39981.33599999998
255,40348.33899999998
256,39426.332999999984
257,38346.329999999994
258,37609.333
259,36748.329
260,36813.322
261,37216.32
262,34478.318999999996
263,35479.31599999999
264,33730.317
265,33533.317
266,32710.324000000004
267,33325.317
268,32948.317
