time,community
0,3163.531000000008
1,5264.513000000021
2,6699.512000000022
3,8238.502000000024
4,9028.496000000025
5,10756.485000000026
6,11937.475000000026
7,13052.467000000022
8,14249.46900000002
9,16346.452000000023
10,19113.460000000025
11,18395.45500000002
12,17600.45500000002
13,17563.442000000017
14,17808.439000000017
15,16823.43200000001
16,16772.42700000001
17,16408.424000000006
18,15904.424000000006
19,14628.426000000009
20,11929.431000000006
21,14110.432000000004
22,15113.425000000003
23,15993.419000000004
24,17925.411000000004
25,19279.414000000004
26,21304.403000000002
27,21518.396
28,22646.39
29,23441.388
30,23246.392
31,22162.387
32,22987.387
33,22727.397
34,21755.397
35,23080.397999999997
36,22955.391999999996
37,24492.392999999996
38,23602.407
39,24662.401
40,25292.395
41,24120.395
42,23430.389
43,23052.39
44,22685.392
45,21208.388
46,20688.386
47,20473.376
48,19413.375
49,17569.374000000003
50,17094.376
51,18151.377000000004
52,18531.367000000002
53,19151.357000000004
54,20096.355000000003
55,19496.359000000004
56,21384.353000000003
57,19977.346
58,20729.351000000002
59,21679.340000000004
60,22084.331000000002
61,21079.325000000004
62,21439.322000000004
63,20971.322000000004
64,19981.319000000007
65,20557.320000000007
66,19742.321000000007
67,20287.318000000003
68,19472.317000000006
69,20276.307000000004
70,19509.302000000003
71,18747.293000000005
72,19149.288000000004
73,18144.283000000003
74,18337.275000000005
75,18512.265000000003
76,19492.260000000002
77,19807.254000000004
78,20187.249000000003
79,18617.248000000003
80,19597.238000000005
81,19412.236000000004
82,19612.238000000005
83,20377.238000000005
84,21377.237000000005
85,20782.24
86,21572.238
87,20273.236
88,20860.236
89,22610.234
90,22187.24
91,22180.243000000002
92,22600.239
93,21990.244000000002
94,21208.244000000002
95,21588.247000000003
96,21608.242000000002
97,22423.238
98,21848.24
99,20258.243000000002
100,21023.246000000003
101,19873.247000000003
102,19483.252000000004
103,18710.251000000004
104,19082.253000000004
105,18085.262000000006
106,18449.264000000006
107,18247.268000000007
108,18225.272000000004
109,18605.273000000005
110,18570.276000000005
111,18365.278000000006
112,18925.279000000006
113,19930.27500000001
114,20513.27600000001
115,20715.27600000001
116,21925.272000000008
117,20938.27500000001
118,22346.272000000008
119,23338.267000000007
120,24323.265000000007
121,24318.263000000006
122,24480.265000000007
123,23918.265000000007
124,23928.263000000006
125,23738.262000000006
126,23183.258000000005
127,23218.252000000004
128,22040.253000000004
129,21240.254000000004
130,20892.255000000005
131,21307.250000000004
132,21100.253000000004
133,19920.255000000005
134,20355.247000000003
135,20532.249000000003
136,21370.242000000002
137,21580.24
138,21180.241
139,21365.241
140,21550.242000000002
141,22528.243000000002
142,22743.241
143,23576.238
144,23753.24
145,23928.244000000002
146,24090.249000000003
147,23491.248000000003
148,24486.247000000003
149,24096.245000000003
150,24496.245000000003
151,22961.242000000002
152,23396.238
153,23611.237
154,24581.24
155,24591.238
156,24611.237
157,24241.237
158,23696.231
159,24061.233
160,24086.229
161,23476.233
162,22888.233
163,23111.229
