time,community
0,3063.541000000018
1,6330.531000000026
2,10255.514000000032
3,14295.497000000032
4,18098.487000000034
5,20190.479000000032
6,21868.47600000003
7,24259.46700000003
8,25889.46400000003
9,28429.455000000024
10,31264.443000000025
11,29189.440000000024
12,27379.437000000016
13,25121.43200000002
14,23018.43600000002
15,19338.43400000002
16,19443.433000000015
17,17708.442000000017
18,17250.437000000013
19,15982.428000000009
20,15337.424000000006
21,15394.427000000005
22,15265.419000000004
23,15297.415000000003
24,15679.408
25,15152.401
26,15392.390999999998
27,15673.384999999998
28,15801.380999999998
29,16358.371999999996
30,17468.375
31,19683.376
32,21473.374
33,22893.381
34,22881.390000000003
35,24299.386000000002
36,23299.398
37,24473.401
38,24466.403000000002
39,26676.389
40,29346.385000000002
41,28676.382
42,28051.377
43,27081.375
44,26859.372
45,24889.361
46,24997.36
47,23250.362
48,23500.359
49,21127.357
50,19917.355000000003
51,20727.350000000002
52,21118.343
53,20193.343
54,20788.338000000003
55,18842.339000000004
56,19457.335000000003
57,19450.326000000005
58,18385.324000000004
59,17710.318000000003
60,17635.312
61,17590.307
62,16690.307000000004
63,18715.296000000002
64,19915.284000000003
65,22465.285000000003
66,22078.281000000003
67,22650.283000000003
68,22080.277
69,23995.275
70,26275.266000000003
71,25635.266000000003
72,25437.261000000002
73,24577.260000000006
74,24112.257000000005
75,23130.246000000003
76,22478.246000000006
77,22115.24100000001
78,22905.237000000005
79,21723.236000000008
80,19348.24000000001
81,20111.233000000007
82,21666.232000000004
83,21271.233000000007
84,20486.235000000008
85,18781.229000000007
86,19510.236000000008
87,20295.236000000004
88,20108.24200000001
89,19943.24300000001
90,20728.243000000002
91,20133.247000000003
92,18968.247000000007
93,20928.247000000003
94,22488.247000000003
95,22078.254000000004
96,22688.252000000004
97,22923.25500000001
98,22928.254000000008
99,24348.250000000004
100,25728.251000000007
101,25946.251000000007
102,25331.254000000004
103,23781.256000000005
104,23183.255
105,23750.257000000005
106,23965.253000000004
107,23178.255
108,22768.256
109,21198.259000000005
110,20008.263000000003
111,19993.264000000006
112,20578.264000000006
113,21368.263000000003
114,20613.262000000006
115,19276.25800000001
116,19261.260000000002
117,20066.256000000005
118,20311.250000000004
119,19698.253
120,20453.258000000005
121,20908.252
122,20275.257000000005
123,21460.255000000005
124,23445.250000000007
125,23855.246000000006
126,24058.246000000006
127,23640.248000000003
128,24240.248000000007
129,25190.249000000007
130,25925.250000000007
131,25330.248
132,24938.250000000004
133,22358.256000000005
134,21986.254000000008
135,23001.247000000003
136,23186.250000000004
137,23006.248000000003
138,21641.250000000007
139,21463.248000000003
140,20873.249000000007
141,20668.251000000007
142,21458.250000000004
143,21645.252000000008
144,21247.252000000004
145,19717.249000000007
146,20105.25
147,20675.254000000004
148,21078.252
149,21293.248000000007
150,21698.246000000006
151,21876.248000000007
152,20896.249000000007
153,22306.244000000006
154,24281.240000000005
155,23866.247000000003
156,23458.249
157,24058.246000000003
158,24223.247000000007
159,22909.244000000002
160,24324.237000000005
161,24949.232000000004
162,26139.228
163,24944.230000000003
164,24151.231000000003
165,26308.230000000003
166,26100.229000000003
167,25371.226000000006
168,24013.225000000002
169,24608.223
170,23433.224000000006
171,22263.225000000002
172,22616.229
173,23408.225000000002
174,23581.230000000003
175,21621.232000000004
176,22411.229000000007
177,22378.232
178,22775.230000000003
179,22009.229000000003
180,21637.227000000003
181,20449.232000000004
182,19851.231000000003
183,19836.232000000004
184,22806.228000000003
185,22434.227000000003
186,23221.226000000002
187,23206.228000000003
188,23981.227000000006
189,23756.228000000003
190,24881.231000000003
191,25651.233000000004
192,26661.229000000003
193,26856.229000000003
194,24886.232
195,25061.232
196,25261.229000000003
197,24071.231000000003
198,22701.229000000007
199,23453.230000000007
200,23263.228000000003
201,23050.229000000003
202,23083.225000000006
203,23088.227000000003
204,23078.228000000006
205,21730.225000000002
206,22320.221
207,22543.219000000005
208,23123.216999999997
209,22363.215000000004
210,23133.219000000005
211,23341.218000000004
212,22913.222
213,23073.224000000006
214,24643.223
215,25235.221
216,25630.220000000005
217,24060.219000000005
218,24450.215000000007
219,24035.21900000001
220,24032.22
221,23284.218000000004
222,23831.224000000002
223,23431.226000000002
224,23426.226000000006
225,24384.228000000003
226,24382.223000000005
227,25162.22500000001
228,23822.220000000005
229,25392.218000000008
230,24972.217000000004
231,24527.221000000005
232,23972.21900000001
233,25727.216000000008
234,25554.215000000007
235,24159.218000000008
236,23964.216000000008
237,24109.219000000005
238,25074.218000000008
239,24284.223000000005
240,25087.224000000006
241,25449.229000000007
242,26049.227000000006
243,26834.227000000003
244,27076.227000000006
245,26906.226000000002
246,27666.227000000003
247,26119.230000000007
248,24734.233000000007
249,24406.230000000003
250,25006.233000000007
251,24040.235000000008
252,24424.233000000004
253,24258.234000000004
254,24084.234000000004
255,24119.234000000004
256,23333.241000000005
257,23780.23900000001
258,22398.240000000005
259,24665.236000000008
260,25245.239000000005
261,25562.234000000008
262,25376.237000000005
263,25939.24600000001
264,27161.24600000001
265,27151.245000000006
266,27764.243000000006
267,27560.24400000001
268,27552.24300000001
269,26969.242000000006
270,26794.237000000005
271,26656.237000000005
272,27501.234000000008
273,28506.235000000004
274,28458.235
275,28662.23800000001
276,28431.24200000001
277,28260.238000000005
278,28090.236000000008
279,27115.234000000004
280,27919.233000000004
281,27783.231000000003
282,27438.229000000007
283,27672.232000000007
284,27505.230000000003
285,27494.229000000007
286,27096.232000000004
287,27682.232000000004
288,26778.229000000007
289,27427.222000000005
290,29036.219
291,29598.226000000002
292,28852.229000000007
293,29690.223
294,30277.224000000002
295,29889.221000000005
296,30496.221000000005
297,30470.226
298,30015.238
299,29991.240000000005
300,29471.241
301,30151.241000000005
302,30312.246000000003
303,31738.245000000006
304,31933.252000000004
305,31268.246000000003
306,30601.245000000003
307,32132.244000000006
308,31768.240000000005
309,31426.244000000006
310,31618.246000000006
311,30611.252000000004
312,30486.249000000007
313,30870.249000000007
314,31298.249000000003
315,31612.251
316,31529.246000000006
317,31688.244000000002
318,30152.248000000007
319,30258.242000000002
320,30771.247000000003
321,31986.244000000002
322,30555.246000000003
323,30867.24
324,30704.241
325,30928.235
326,31442.238999999998
327,31276.238
328,30881.238
329,30708.236
330,29964.241
331,29723.240999999998
332,29912.242000000002
333,31066.242
334,31171.236999999997
335,30598.239999999998
336,29086.242
337,31076.242
338,31382.252
339,30814.249
340,29492.254
341,29110.244000000002
342,29760.236
343,30227.23
344,30568.235
345,30950.237
346,31654.24
347,31063.243000000002
348,30520.242000000002
349,29762.247000000003
350,31470.246000000003
351,32694.245000000003
352,30740.245000000003
353,30869.247000000003
354,31488.234
355,31946.229000000003
356,32684.231000000003
357,31524.233000000004
358,31714.230000000003
359,31350.229000000003
360,31431.225000000006
361,30458.226000000002
362,31628.227000000006
363,32037.225000000002
364,32801.225
365,32065.22100000001
366,30953.216000000008
367,32489.215000000007
368,32165.213000000007
369,32599.214000000007
370,31922.21900000001
371,31701.22100000001
372,31681.22900000001
373,31302.235000000008
374,31815.23200000001
375,31884.24200000001
376,33493.242000000006
377,32344.24400000001
378,32042.240000000013
379,31815.24500000001
380,32571.24700000001
381,32995.25200000001
382,31654.25200000001
383,32398.260000000013
384,31319.268000000015
385,31546.273000000012
386,31283.279000000013
387,30735.28800000001
388,30249.29600000001
389,30330.29400000001
390,30122.29500000001
391,29632.29600000001
392,31027.29500000001
393,32077.29400000001
394,32292.305000000008
395,32281.307000000008
396,31950.30200000001
397,33595.29400000001
398,33028.28700000001
399,33445.29400000001
400,33216.294000000016
401,33549.30600000001
402,34008.305000000015
403,34888.30200000001
404,35264.299000000006
405,35628.304000000004
406,37313.303
407,36689.301
408,35885.309
409,35301.32200000001
410,36009.32600000001
411,35983.326
412,34119.321
413,34571.31700000001
414,39319.312000000005
415,39805.304000000004
416,38986.30700000001
417,38767.30600000001
418,38302.30800000001
419,38342.306000000004
420,38060.312000000005
421,35585.32000000001
422,36993.309
423,38254.30700000001
424,38729.316000000006
425,38235.30900000001
426,38072.314000000006
427,39986.31
428,39271.310000000005
429,40048.305
430,39280.298
431,39455.295000000006
432,39371.29400000001
433,39935.294
434,39974.286
435,39912.267
436,41421.262
437,39957.26
438,39541.26
439,39925.258
440,40598.254
441,39801.247
442,37774.251000000004
443,39168.239
444,38142.239
445,38598.245
446,38608.24100000001
447,39448.234000000004
448,38564.241
449,33314.239
450,33199.238000000005
451,32399.227000000006
452,32939.227
453,32931.232
454,33079.224
455,32477.220000000005
456,38658.216
457,40046.215
458,38190.208
459,38983.208
460,38644.197
461,39044.193
462,39490.188
463,40426.187000000005
464,40165.18800000001
465,40736.182
466,41006.178
467,39383.17600000001
468,40127.171
469,39847.170000000006
470,40418.159
471,40005.151000000005
472,38581.156
473,39353.15800000001
474,38101.152
475,38112.151000000005
476,37403.151000000005
477,36992.149000000005
478,36635.145000000004
479,36674.147000000004
480,36671.143000000004
481,36435.141
482,37593.14200000001
483,36556.148
484,30966.141000000003
485,30507.141000000003
486,30551.145000000004
487,31403.147000000004
488,29973.143000000007
489,31536.142000000007
490,30733.141000000007
491,30413.15000000001
492,31228.146000000008
493,32633.140000000007
494,32962.13700000001
495,33053.137
496,33187.136000000006
497,32389.135000000006
498,33599.134000000005
499,33875.129
500,34471.131
501,34691.131
502,33344.129
503,33634.125
504,31499.127000000004
505,32421.131000000005
506,32658.122000000003
507,31814.128000000004
508,32187.125000000004
509,31935.119000000002
510,31121.124000000007
511,31675.124000000007
512,32646.11900000001
513,32149.123000000007
514,32025.11900000001
515,30618.123000000007
516,30634.123000000007
517,31382.118000000006
518,30823.116000000005
519,31968.122000000007
520,30235.12300000001
521,29883.116000000005
522,29741.122000000007
523,30722.116000000005
524,31058.119000000006
525,31878.11400000001
526,31351.107000000007
527,30050.11300000001
528,30065.11400000001
529,29885.11500000001
530,31263.11400000001
531,31040.11300000001
532,31100.109000000008
533,32463.103000000006
534,36604.10300000001
535,32269.103000000006
536,32291.103000000006
537,33063.09700000001
538,32443.096000000005
539,32078.094000000012
540,30665.09700000001
541,31490.093000000008
542,32660.089000000007
543,33320.08400000001
544,33925.082
545,32255.082000000006
546,32255.08200000001
547,32065.081000000006
548,30210.086000000007
549,31410.08500000001
550,30108.08200000001
551,29633.08000000001
552,29838.07800000001
553,29993.08100000001
554,30583.08000000001
555,31558.08200000001
556,30685.08700000001
557,30430.08100000001
558,30430.08100000001
559,29865.08300000001
560,30995.08600000001
561,31585.08500000001
562,31640.08400000001
563,33005.08600000001
564,31410.08800000001
565,32880.083000000006
566,33275.08200000001
567,32950.090000000004
568,32770.09200000001
569,32210.09200000001
570,31095.09200000001
571,31835.09000000001
572,32025.09100000001
573,32640.09100000001
574,33400.09000000001
575,32845.08900000001
576,32625.08900000001
577,33210.08900000001
578,31185.08500000001
579,31790.08600000001
580,30580.09000000001
581,30620.08800000001
582,31795.087000000014
583,31920.082000000013
584,31910.084000000013
585,32335.082000000013
586,32210.078000000012
587,31450.080000000013
588,31470.081000000013
