time,community
0,3793.821000000031
1,6331.791000000051
2,8523.780000000046
3,10649.767000000045
4,11642.759000000045
5,12692.759000000045
6,15086.749000000042
7,17241.74100000004
8,18921.740000000038
9,19902.734000000037
10,25259.722000000034
11,25401.717000000033
12,25208.71700000003
13,24483.71800000003
14,25560.716000000026
15,27126.704000000023
16,26239.70300000002
17,25664.70100000002
18,26165.688000000016
19,26730.687000000013
20,22316.68100000001
21,24389.699000000008
22,26128.686000000005
23,29483.674000000003
24,29759.663000000008
25,29942.657000000003
26,30055.634000000002
27,31550.623000000007
28,33444.609
29,35530.59099999999
30,36340.59599999998
31,35400.60699999999
32,35220.611000000004
33,31758.62
34,31328.625000000004
35,30774.627000000004
36,32794.634999999995
37,34551.63499999999
38,33435.643
39,32187.643000000004
40,33999.636999999995
41,33674.621999999996
42,33691.613
43,34667.600999999995
44,35102.596
45,35510.592000000004
46,35905.583000000006
47,33483.579
48,32928.576
49,32453.576000000005
50,30533.57700000001
51,30768.56000000001
52,31026.547000000006
53,31208.535000000007
54,32766.527000000006
55,32381.521000000004
56,30996.515000000003
57,31629.506000000005
58,32879.488
59,33291.49799999999
60,33988.49199999999
61,33835.485
62,34938.46599999999
63,32466.468000000008
64,30451.462000000007
65,29776.452000000005
66,31264.442000000006
67,30912.438000000006
68,31802.431000000004
69,30807.427000000007
70,30922.422000000006
71,31312.419000000005
72,28907.413000000008
73,31267.404000000006
74,31292.390000000007
75,32956.396
76,33664.389
77,38974.380000000005
78,39069.369000000006
79,38417.367
80,37942.37300000001
81,37152.372
82,39553.372
83,38383.375000000015
84,38963.37800000001
85,38785.37800000001
86,37050.37600000001
87,36470.37800000001
88,36895.37700000001
89,37662.383000000016
90,38234.38700000001
91,38652.384000000005
92,38682.388000000006
93,37348.38700000001
94,36530.39300000001
95,36568.39300000001
96,39123.388000000006
97,39103.39
98,39134.38799999999
99,38929.388999999996
100,39119.39
101,37916.39300000001
102,36561.39300000001
103,37934.39800000001
104,37139.40000000001
105,37526.403000000006
106,38143.403000000006
107,38219.399000000005
108,38894.387
109,37729.387
110,37099.39400000001
111,37881.39200000001
112,38479.391
113,37446.39600000001
114,38234.39600000001
115,38299.388999999996
116,37567.383
117,36929.38900000001
118,32226.387000000006
119,35131.38899999999
120,35941.38599999999
121,35748.38799999999
122,36725.38899999999
123,35360.388999999996
124,34795.38599999999
125,35010.38399999999
126,34955.39
127,35558.38699999999
128,36981.38299999999
129,36048.37799999999
130,37186.37799999998
131,36153.38699999998
132,35798.38199999999
133,36016.382999999994
134,34262.382000000005
135,34026.38500000001
136,34807.388000000006
137,34944.394
138,34959.39000000001
139,32462.388000000006
140,32442.393000000004
141,31237.39800000001
142,32462.388000000003
143,31699.387000000006
144,33726.378000000004
145,34319.376000000004
146,34147.371999999996
147,34144.371999999996
148,34524.375
149,38017.375
150,36643.377
151,37285.37099999999
152,37285.37099999999
153,36725.36699999999
154,35747.369
155,34175.37099999999
156,35382.367
157,34419.367999999995
158,35359.37099999999
159,35139.37299999999
160,37342.37
161,36722.373999999996
162,36711.37799999999
163,36353.37799999999
164,34791.379
165,36364.376000000004
166,37493.373999999996
167,38461.377
168,39841.37199999999
169,38666.37299999999
170,38501.369999999995
171,37941.367999999995
172,38354.36599999999
173,38577.36199999999
174,39514.36699999998
175,38924.36799999998
176,38109.36899999999
177,37192.36499999999
178,36804.36499999998
179,39759.36199999998
180,39751.36399999997
181,39551.36399999999
182,40131.36299999998
183,39545.36199999998
184,39897.36499999998
185,37411.359999999986
186,38739.362999999976
187,38549.36099999998
188,39562.35699999998
189,37372.36299999998
190,40315.36299999997
191,39732.364999999976
192,40117.364999999976
193,40182.358999999975
194,38049.35799999999
195,38624.359
196,39573.35799999998
197,40514.359999999986
198,40489.35899999999
199,40444.36099999999
200,40289.35499999998
201,39892.356
202,39262.359
203,40012.35799999999
204,40577.35899999998
205,39567.36199999999
206,38347.36499999999
207,38319.36299999998
208,39134.357999999986
209,41079.35599999998
210,40884.35199999998
211,40831.358999999975
212,40856.35799999997
213,39643.36199999999
214,39426.36299999999
215,38226.35799999999
216,40363.35499999998
217,40160.35599999998
218,39843.34999999998
219,38894.34599999998
220,46529.34799999997
221,45736.34599999998
222,46519.34399999998
223,45688.344999999994
224,44753.34299999999
225,46439.34599999998
226,46199.349999999984
227,47549.347999999976
228,48099.34999999997
229,47511.35099999997
230,48304.345999999976
231,47344.342999999986
232,47539.34299999998
233,48264.34599999999
234,49256.34099999998
235,48231.34399999998
236,48236.340999999986
237,48030.33799999998
238,49410.33999999999
239,52315.345999999976
240,50955.354999999974
241,51590.35099999998
242,50079.35499999999
243,48854.36199999998
244,48696.362999999976
245,45967.367999999995
246,47512.37399999999
247,48133.368999999984
248,42440.36899999998
249,41140.366999999984
250,43435.37399999999
251,42305.371999999996
252,43477.37299999998
253,43617.38299999998
254,41283.38199999999
255,43481.37799999998
256,42856.38699999998
257,44381.394999999975
258,45599.38599999998
259,44659.388999999974
260,45288.38999999996
261,44479.393999999964
262,44712.390999999974
263,45740.39199999996
264,47333.39399999997
265,46579.39499999997
266,46803.39799999997
267,44870.39599999997
268,44294.40399999997
269,47039.40499999996
270,45975.40399999997
271,46599.40399999997
272,45252.40699999997
273,43846.40699999997
274,43651.412999999964
275,41931.40999999997
276,42525.413999999975
277,43204.42399999997
278,43463.42099999998
279,43117.417999999976
280,45213.415999999976
281,44060.41399999998
282,45262.40799999999
283,47123.404999999984
284,44984.40799999999
285,46764.40699999998
286,47918.408999999985
287,50672.40499999998
288,50268.40699999997
289,49921.40499999997
290,50133.40799999997
291,48782.40699999996
292,48631.40899999998
293,50041.41499999997
294,51615.41299999996
295,51262.41199999996
296,51363.40499999996
297,49797.40699999996
298,50826.412999999964
299,53029.40899999996
300,52109.40299999996
301,52019.406999999956
302,51285.41199999995
303,49841.41399999996
304,50044.41599999996
305,48306.41899999996
306,49726.41699999995
307,49782.41199999995
308,48283.414999999964
309,47862.41399999997
310,49241.41599999996
311,49638.41999999997
312,49311.41999999997
313,49300.42199999997
314,47515.43099999999
315,48186.42699999998
316,49158.42799999998
317,49981.424999999974
318,49022.428999999975
319,48531.431999999986
320,50152.43099999997
321,49426.43099999998
322,50444.428999999975
323,53383.42899999996
324,54853.42399999996
325,53681.42699999997
326,50995.42699999999
327,49443.420999999995
328,51072.410999999986
329,52242.40799999998
330,51007.41699999998
331,52314.42299999997
332,52658.42799999998
333,51352.42299999997
334,51797.42499999996
335,49500.418999999965
336,51271.417999999976
337,50955.41999999997
338,49080.41699999998
339,49434.422999999966
340,51441.42099999997
341,52698.42899999997
342,52737.42799999998
343,53256.42799999997
344,51769.426999999974
345,52381.41999999996
346,52251.415999999976
347,53102.411999999975
348,52639.40199999999
349,51151.40499999997
350,53077.395999999964
351,51550.39499999997
352,52574.39399999997
353,54704.39599999997
354,54806.39999999997
355,54625.39799999997
356,53476.39999999997
357,50266.40199999997
358,51128.39399999998
359,51724.394
360,50501.401
361,50890.399
362,49953.404
363,49758.39700000001
364,50448.389
365,48479.39
366,49879.386999999995
367,49653.38599999999
368,49910.37899999999
369,51106.388
370,51586.39399999999
371,51271.39899999999
372,52869.398999999976
373,53395.40599999997
374,52501.40999999999
375,52797.40699999999
376,53606.41099999999
377,55364.40499999998
378,55021.39999999998
379,54264.40099999998
380,55422.40699999998
381,53896.408999999985
382,54388.427999999985
383,55542.43199999997
384,55254.42399999998
385,55850.42699999998
386,54750.43699999999
387,52625.43799999998
388,58498.43999999998
389,59001.445999999974
390,58419.44899999998
391,58828.451999999976
392,52540.453999999976
393,51814.45299999999
394,52204.45999999997
395,51312.45699999997
396,52883.46199999998
397,51845.47999999998
398,50644.49699999998
399,52571.492999999995
400,54147.49299999998
401,54979.49299999999
402,55981.496999999974
403,56634.49999999998
404,55187.49999999998
405,54952.51399999998
406,56146.51299999998
407,56782.52399999997
408,55993.53799999997
409,55000.55099999998
410,55287.555999999975
411,54347.56299999998
412,54715.55999999999
413,56977.55999999997
414,56320.562999999966
415,56432.561999999954
416,55025.56799999996
