time,community
0,2028.5829999999953
1,3781.5740000000164
2,5129.557000000024
3,6344.545000000024
4,7836.538000000023
5,8709.53900000002
6,10439.531000000017
7,12304.521000000015
8,13957.522000000017
9,14852.517000000016
10,19724.51000000002
11,19330.502000000022
12,19332.49700000002
13,19712.49200000002
14,19392.491000000016
15,20119.482000000015
16,19218.483000000015
17,18708.48300000001
18,17755.48600000001
19,17653.48400000001
20,15708.478000000006
21,17636.468000000008
22,20234.45100000001
23,22244.445000000007
24,23037.442000000006
25,23608.439000000002
26,24587.435
27,25225.425
28,25681.415
29,26228.411
30,24270.418
31,24060.423000000003
32,22100.425000000003
33,20225.427000000003
34,21345.421000000006
35,20740.425000000003
36,21321.422000000006
37,22456.422000000002
38,23319.425000000003
39,23239.420000000002
40,23579.426
41,23124.427000000003
42,23824.425000000003
43,24059.412
44,23744.41
45,23504.409000000003
46,23829.407000000003
47,23447.403000000002
48,22574.394000000004
49,22534.394000000004
50,24264.391000000003
51,23536.394000000004
52,23891.387000000002
53,24804.383000000005
54,24149.380000000005
55,24716.379000000004
56,23431.378000000004
57,21816.375000000004
58,21872.366
59,21652.362000000005
60,20443.360000000004
61,21313.365000000005
62,20923.360000000004
63,20328.347000000005
64,20875.352000000006
65,20485.347000000005
66,21243.343000000008
67,21643.335000000006
68,21243.331000000006
69,21385.321000000007
70,21100.318000000007
71,21025.306000000008
72,21812.301000000007
73,22245.292000000005
74,21082.286000000004
75,20207.284000000003
76,20197.278000000006
77,21700.274000000005
78,21690.273000000005
79,21485.272000000008
80,23380.269000000008
81,22380.267000000003
82,23344.267000000007
83,23546.269000000008
84,24602.269000000008
85,24419.267000000007
86,24237.266000000007
87,22937.265000000003
88,21942.270000000004
89,21402.270000000004
90,20412.271000000004
91,21493.271000000004
92,19715.274000000005
93,21048.275000000005
94,22638.269000000004
95,22678.266000000003
96,22658.269000000004
97,22500.267000000003
98,24259.262000000002
99,24441.264000000003
100,24256.263000000003
101,24276.262000000002
102,23476.264000000003
103,21265.270000000004
104,20113.272000000004
105,20663.276
106,20098.273000000005
107,22066.272000000004
108,22284.268000000004
109,22674.266000000003
110,23464.266000000003
111,22669.269000000004
112,23424.274000000005
113,24766.278000000006
114,26531.276000000005
115,25521.281000000003
116,25901.284000000003
117,26073.285000000003
118,25090.284000000003
119,24085.289000000004
120,24503.285000000003
121,25868.285000000003
122,25493.282000000003
123,25280.285000000007
124,25118.285000000007
125,24550.282000000007
126,25322.285000000007
127,24512.290000000005
128,24757.286000000007
129,25162.283000000007
130,24615.279000000006
131,24648.276000000005
132,23448.279000000006
133,22483.280000000006
134,22496.279000000006
135,23886.276000000005
136,22551.273000000005
137,23941.268000000004
138,24751.265000000003
139,24518.268000000004
140,25091.270000000004
141,23901.271000000004
142,24526.268000000004
143,25861.271000000004
144,25633.275000000005
145,25805.277000000006
146,26390.277000000006
147,26410.274000000005
148,25873.269000000004
149,24513.270000000004
150,24535.269000000004
151,26080.269000000004
152,25482.269000000004
153,25473.271000000004
154,26263.271000000004
155,26278.269000000004
156,26246.270000000004
157,26416.271000000004
158,26603.268000000004
159,27413.264000000003
160,27433.263000000003
161,27451.261000000002
162,27474.258
163,25931.259000000002
164,25331.260000000002
165,25161.258
166,24344.261000000002
167,24739.262000000002
168,25299.264000000003
169,25094.266000000003
170,25314.263000000003
171,24881.267000000003
172,25494.264000000003
173,26244.268000000004
174,26836.268000000004
175,27616.268000000004
176,28074.260000000002
177,28444.262000000002
178,27419.266000000003
179,27239.263000000003
180,26613.267000000003
181,27798.264000000003
182,26821.264000000003
183,27956.268000000004
184,29536.267000000003
185,29159.264000000003
186,29104.270000000004
187,29499.269000000004
188,29076.274000000005
189,28306.274000000005
190,28711.275000000005
191,27518.275000000005
192,27898.274000000005
193,26943.272000000004
194,26578.269000000004
195,26183.266000000003
196,26933.261000000002
197,27176.255
198,27141.259000000002
199,27346.258
200,27323.261000000002
201,27161.258
202,26551.260000000002
203,26346.261000000002
204,26546.257000000005
205,27176.249000000003
206,32469.246000000003
207,33041.246
208,33183.249
209,32620.247000000003
210,31850.245000000003
211,33045.243
212,32615.248000000007
213,33608.246999999996
214,35168.245
215,30460.245000000003
216,31261.244000000002
217,31078.242000000006
218,29904.242000000006
219,29944.238000000005
220,30719.237000000005
221,30124.235000000004
222,29591.231
223,28462.228
224,28434.229
225,28031.230000000003
226,27859.228000000003
227,28611.230000000003
228,28426.232000000004
229,27448.229000000003
230,28221.228000000003
231,28608.226000000002
232,29403.223
233,29008.223
234,29398.225000000002
235,29390.223
236,30552.221
237,30395.218
238,30755.223
239,31145.227000000003
240,29638.226000000002
241,30220.226000000002
242,29440.226000000002
243,30572.230000000003
244,31140.236
245,32138.235
246,32103.242000000002
247,32893.243
248,32310.246000000003
249,32313.245000000003
250,32923.248
251,37223.25
252,36603.25200000001
253,36431.253000000004
254,36039.25600000001
255,36035.261000000006
256,36228.26
257,36464.26000000001
258,37074.259000000005
259,35944.258
260,36970.258
261,36980.257000000005
262,37416.254
263,36861.255000000005
264,37489.255000000005
265,37924.249
266,33424.251
267,32456.257
268,32294.256
269,32898.258
270,31150.257
271,30963.260000000002
272,30400.259000000002
273,30430.255000000005
274,32028.251000000004
275,31378.261000000002
276,31762.266000000003
277,32985.270000000004
278,31992.274
279,32203.272
280,33187.28
281,32498.277000000002
282,31977.271
283,33512.274
284,33714.278
285,34888.276999999995
286,35136.274999999994
287,35114.27999999999
288,36168.28099999999
289,35189.28399999999
290,36007.28599999999
291,35626.287999999986
292,35827.293
293,36568.29499999999
294,36395.294
295,35865.29
296,36035.292
297,35865.292
298,35098.299000000006
299,34916.303
300,33563.306000000004
301,34695.308000000005
302,34743.308000000005
303,39533.30900000001
304,34482.305
305,34835.306000000004
306,35220.310999999994
307,36634.31
308,35442.316
309,36718.30699999999
310,37508.30599999999
311,36906.306
312,35963.306
313,36437.30199999999
314,36507.301999999996
315,37109.30199999999
316,37386.29999999999
317,37108.29199999999
318,37017.301999999996
319,37791.299
320,38030.294
321,37849.295
322,38263.297999999995
323,38975.293999999994
324,37790.29999999999
325,36483.30099999999
326,37375.299
327,36827.298
328,36745.295
329,36565.291
330,35958.28799999999
331,36112.28799999999
332,36135.29099999999
333,36281.278999999995
334,35206.288
335,34676.287000000004
336,35610.287
337,36743.291
338,36238.285
339,37414.284999999996
340,37071.291
341,35091.291000000005
342,34481.292
343,33921.293000000005
344,34168.293000000005
345,34972.288
346,35272.285
347,35736.282999999996
348,35918.284
349,36304.28599999999
350,36463.28899999999
351,35704.282999999996
352,36439.287
353,37277.28299999999
354,37370.274999999994
355,37029.274
356,38524.27399999999
357,38026.26899999998
358,38211.266999999985
359,37794.268
360,37798.267
361,38058.268
362,37355.261000000006
363,38370.257
364,38252.25199999999
365,38497.24699999999
366,39462.24999999999
367,40316.24399999999
368,39910.241
369,41303.242999999995
370,40878.247
371,40449.254
372,40170.256
373,39496.26500000001
374,40036.274
375,39673.274
376,40676.274999999994
377,40670.282
378,38947.282999999996
379,39371.284
380,39141.291
381,37784.29799999999
382,39179.29999999999
383,50658.30399999999
384,50394.297999999995
385,50187.3
386,49018.30499999999
387,47027.314
388,47392.32000000001
389,47017.32200000001
390,47698.317
391,48002.321
392,46830.324000000015
393,48148.321
394,48242.32800000001
395,48238.333000000006
396,48881.336
397,52188.327
398,52824.325
399,54434.327
400,54146.335999999996
401,55301.33700000001
402,55269.342000000004
403,54725.339
404,55669.346999999994
405,55870.350999999995
406,56452.353
407,57401.35699999998
408,54926.35499999998
409,54900.355999999985
410,55307.36399999999
411,54968.37999999999
412,55643.374999999985
413,55304.36499999999
414,54143.35899999999
415,53834.35399999999
416,51300.35899999999
417,49940.365
418,49572.36699999999
419,48818.369999999995
420,48555.373999999996
421,48585.369999999995
422,47433.36899999999
423,47995.367000000006
424,49661.375
425,49941.373
426,50660.373999999996
427,51194.376
428,51326.388
429,52502.37499999999
430,53706.359999999986
431,54388.344999999994
432,53978.348
433,54285.348
434,53779.343
435,53992.343
436,60829.327999999994
437,61923.32599999999
438,62039.321999999986
439,61804.31699999998
440,57015.313999999984
441,56589.30799999999
442,57067.31099999998
443,56608.30599999998
444,48731.30799999999
445,47305.30599999998
446,46709.298999999985
447,45181.28999999999
448,44475.28199999998
449,44168.26599999998
450,44361.26999999999
451,45324.268
452,44757.27399999999
453,45274.27399999999
454,45921.265999999996
455,45154.259999999995
456,44731.248999999996
457,44960.238
458,45367.22899999999
459,46342.22399999999
460,46876.21799999999
461,46712.212
462,46867.212
463,46477.202999999994
464,47004.196
465,41852.200999999994
466,43471.19399999999
467,43785.188999999984
468,44327.18399999999
469,44475.18099999999
470,45908.166999999994
471,44176.160999999986
472,44373.16199999999
473,43053.160999999986
