time,community
0,2165.5899999999974
1,3468.5860000000202
2,5032.570000000033
3,7722.555000000031
4,9697.544000000027
5,11065.539000000024
6,12796.532000000025
7,14095.524000000023
8,15472.506000000021
9,17049.501000000026
10,19789.496000000025
11,19788.49900000002
12,19540.48900000002
13,17899.480000000018
14,17232.477000000017
15,18175.468000000015
16,17375.459000000013
17,16720.46200000001
18,17237.463000000007
19,17012.459000000006
20,15303.447000000007
21,16752.440000000002
22,18877.432000000004
23,20233.429000000004
24,22371.416
25,21679.412
26,21769.408
27,23597.407
28,24025.403
29,24692.403
30,24018.402
31,23674.402000000002
32,22696.410000000003
33,23326.415000000008
34,23284.414000000004
35,24219.413000000004
36,25369.417000000005
37,25542.427
38,24377.427000000003
39,24195.423000000003
40,24810.423000000003
41,24310.415
42,24085.416
43,23185.414000000004
44,22855.411000000004
45,23185.408000000003
46,22888.398000000005
47,21205.391000000003
48,22055.385000000002
49,21852.382000000005
50,21245.386000000002
51,21745.388000000006
52,21650.385000000006
53,21343.387000000006
54,21718.387000000006
55,21748.379
56,21001.366000000005
57,22136.361000000004
58,21936.353000000006
59,21361.352000000006
60,21351.347000000005
61,21631.34500000001
62,28171.338000000007
63,28741.323000000004
64,28851.324000000008
65,28126.325000000008
66,28751.323000000008
67,28571.310000000005
68,29146.304000000007
69,28694.302000000003
70,27869.301000000003
71,27809.295000000002
72,28024.290000000008
73,26722.284000000003
74,26947.282000000007
75,28039.278000000002
76,27649.275000000005
77,27461.268000000007
78,27484.261000000006
79,27134.258000000005
80,27429.258000000005
81,27874.248000000003
82,26969.257000000005
83,27942.262000000006
84,26562.265000000007
85,26372.266000000007
86,26182.270000000008
87,26578.271000000004
88,27158.275000000005
89,27733.280000000006
90,27127.282000000007
91,26327.285000000007
92,27137.285000000007
93,27342.285000000007
94,27743.286000000007
95,27738.289000000008
96,27153.287000000004
97,27908.293000000005
98,23370.298000000006
99,23173.29700000001
100,22998.29600000001
101,23043.29300000001
102,22648.297000000006
