time,community
0,2510.603000000005
1,4056.5860000000134
2,5949.574000000024
3,8019.565000000026
4,9576.559000000028
5,10661.558000000028
6,12206.550000000025
7,12906.542000000025
8,14997.533000000025
9,15922.533000000023
10,18242.522000000023
11,17662.517000000018
12,17227.508000000016
13,16409.505000000016
14,16807.49700000001
15,17397.49200000001
16,21901.48700000001
17,22054.484000000008
18,20662.480000000007
19,20512.486000000008
20,17967.483000000004
21,21685.476000000002
22,22395.471
23,23457.462
24,23650.447999999997
25,23603.448999999997
26,25188.445
27,26715.44
28,28933.428
29,29481.426
30,32011.424
31,29163.434
32,29721.429
33,29703.440000000002
34,30785.436
35,31693.439000000002
36,31696.44
37,31799.438
38,32389.439
39,32434.434999999998
40,31094.435
41,30084.433
42,29935.422000000002
43,29495.423000000003
44,30025.409
45,29270.406000000003
46,28280.409000000003
47,28078.404000000002
48,21950.405000000002
49,22017.396
50,19900.385000000002
51,21585.388000000003
52,20957.390000000003
53,19907.386000000002
54,18937.383000000005
55,18502.382000000005
56,19205.373000000003
57,18270.365
58,19295.361000000004
59,19820.357000000004
60,21265.351000000002
61,20595.343000000004
62,21042.339000000004
63,21394.332000000002
64,21551.331000000006
65,22243.329
66,22261.320000000003
67,21931.327
68,21947.320000000003
69,22484.320000000007
70,22762.320000000003
71,22815.312000000005
72,22590.302000000003
73,23185.296000000006
74,24355.295000000002
75,23675.296000000006
76,23306.289000000008
77,23866.285000000007
78,24301.27400000001
79,23551.261000000006
80,23323.254000000008
81,24131.244000000006
82,23943.246000000006
83,21982.25500000001
84,20837.254000000008
85,21087.250000000007
86,22442.251000000004
87,22084.248000000003
88,21669.256000000005
89,21770.251
90,21570.253
91,20813.250000000004
92,21018.250000000004
93,22183.253000000004
94,20983.259000000005
95,21816.259000000005
96,22021.258000000005
97,22611.258000000005
98,22826.260000000006
99,23611.261000000006
100,24371.261000000006
101,23768.265000000007
102,23398.263000000006
103,23012.260000000006
104,25783.257
105,25198.259000000002
106,24420.258
107,25003.260000000002
108,24750.266000000003
109,23375.269000000004
110,21970.275
111,22555.277000000002
112,22978.274000000005
113,22398.272000000004
114,20425.273000000005
115,20623.274000000005
116,21601.276000000005
117,22213.272000000004
118,22568.276000000005
119,22773.276000000005
120,22988.273000000005
121,22588.274000000005
122,22218.268000000004
123,23573.270000000004
124,22438.268000000004
125,23023.268000000004
126,24016.266000000003
127,24016.267000000003
128,25006.264000000003
129,24836.263000000003
130,25423.261000000002
131,24648.260000000002
132,24513.257000000005
133,25113.253
134,28626.254
135,28216.255
136,27233.255
137,26043.259000000002
138,25040.261000000002
139,24660.259000000002
140,23338.256
141,22953.255
142,23953.253000000004
143,22568.256
144,21226.254
145,21211.256
146,22381.256
147,23746.257
148,23334.260000000002
149,23729.260000000002
150,24174.251000000004
151,24521.255
152,23726.259000000002
153,23956.257999999998
154,23596.255
155,24114.261000000002
156,24689.260000000002
157,24269.263000000003
158,25804.264000000003
159,26001.263000000003
160,26401.263000000003
161,26206.261000000002
162,26996.254
163,25221.259000000002
164,26501.267000000003
165,27283.266000000003
166,27303.264000000003
167,28052.264000000003
168,27663.262000000002
169,26673.265000000003
170,26453.267000000003
171,25913.262000000002
172,26311.262000000002
173,26526.261000000002
174,25764.259000000002
175,25959.262000000002
176,26706.263000000003
177,28056.264000000003
178,28056.263000000003
179,29041.263000000003
180,27871.263000000003
181,28048.265000000003
182,27043.270000000004
183,26248.274000000005
184,25617.278000000006
185,25440.276000000005
186,25405.281000000006
187,24625.282000000007
188,25593.281000000006
189,25398.279000000006
190,26758.279000000006
191,26584.276000000005
192,25419.276000000005
193,26024.273000000005
194,27969.273
195,28374.271000000004
196,28569.269000000004
197,28759.266000000003
198,27588.266000000003
199,26963.271000000004
200,27523.271000000004
201,26943.268000000004
202,27497.270000000004
203,27089.272000000004
204,26510.271000000004
205,27455.274000000005
206,27273.267000000003
207,28451.266000000003
208,28641.268000000004
209,28811.271000000004
210,28064.264000000003
211,29009.270000000004
212,28999.266000000007
213,28994.270000000004
214,28206.271000000004
215,27998.273000000005
