time,community
0,12484.271000000099
1,22382.226000000093
2,28555.200000000084
3,32690.183000000077
4,38020.16299999993
5,43503.14699999981
6,48965.12999999967
7,52941.112999999605
8,57142.10099999959
9,60252.08799999956
10,66673.06699999953
11,61555.05299999961
12,60438.04499999963
13,60501.04099999966
14,59757.04299999971
15,46513.045999999915
16,45387.043999999965
17,45303.03399999996
18,44219.034999999974
19,44575.02799999996
20,40643.01900000001
21,39951.02400000003
22,38583.01500000003
23,38779.997000000025
24,38653.97900000003
25,44093.96800000002
26,43363.95000000003
27,43053.934000000016
28,43658.911000000015
29,44344.88600000003
30,51237.90100000001
31,56767.89900000001
32,58689.89500000001
33,61206.897999999994
34,61330.89999999999
35,62296.90699999999
36,63913.912999999986
37,63380.92499999996
38,63765.92699999995
39,64018.91099999997
40,65179.905999999966
41,63089.90899999996
42,62999.89999999997
43,61499.895999999935
44,63577.86999999993
45,58807.86899999995
46,57929.85299999995
47,58785.84299999997
48,57720.83499999998
49,57018.82299999997
50,56413.812999999966
51,57203.80399999996
52,55977.797999999966
53,55602.78499999996
54,55270.77099999998
55,53205.78099999999
56,53707.77299999999
57,52782.77099999997
58,54807.755999999965
59,54002.75099999997
60,54795.75299999994
61,54752.75399999995
62,55295.74299999994
63,56515.73599999993
64,54220.725999999944
65,55500.71199999994
66,53256.707999999926
67,54111.70499999992
68,54018.70199999993
69,55734.69899999993
70,56107.69399999992
71,54597.684999999925
72,56392.65999999993
73,57564.644999999924
74,60196.64699999991
75,57807.641999999905
76,56413.645999999906
77,58141.6279999999
78,57730.61099999991
79,52306.58199999991
80,51687.57099999991
81,52290.550999999905
82,51108.556999999906
83,50993.55199999991
84,52151.555999999924
85,53196.54799999993
86,53999.54599999994
87,51504.54399999993
88,50144.54899999994
89,48364.55499999995
90,49304.559999999954
91,50104.564999999944
92,49311.56799999995
93,49661.570999999945
94,49126.564999999944
95,48715.57099999997
96,48105.574999999975
97,50294.57099999997
98,50712.57299999996
99,50687.58299999995
100,51745.57599999995
101,50681.57299999995
102,50185.58499999995
103,50638.587999999945
104,51436.59099999993
105,49031.603999999934
106,47453.60499999995
107,48061.603999999956
108,49846.59799999996
109,49051.60499999995
110,47866.60999999995
111,49621.61199999994
112,50039.60499999993
113,51627.59999999993
114,52815.59999999992
115,53590.601999999926
116,53935.605999999905
117,53131.60599999992
118,51234.600999999915
119,51819.59799999991
120,55174.59099999991
121,55117.597999999925
122,55319.59599999994
123,56676.59499999995
124,56306.590999999935
125,55929.59199999994
126,55770.58599999995
127,56593.58099999996
128,56403.578999999976
129,53438.59099999998
130,55071.57999999997
131,53470.58299999997
132,54286.57499999996
133,53861.57999999994
134,53675.577999999936
135,53508.570999999945
136,52191.56599999995
137,51378.57399999994
138,51162.574999999946
139,53327.569999999956
140,51205.56899999994
141,53560.566999999945
142,52395.56999999994
143,52950.57299999994
144,53309.574999999946
145,52754.568999999945
146,52736.57099999995
147,53501.568999999945
148,52546.56799999994
149,51741.57299999994
150,52929.56999999994
151,52928.57299999994
152,54308.57299999995
153,55522.56899999995
154,55927.566999999945
155,56117.571999999935
156,55140.57499999993
157,56065.57799999993
158,57222.576999999925
159,55047.58299999993
160,56802.58599999992
161,56438.584999999905
162,56231.5879999999
163,56961.5909999999
164,57356.588999999905
165,57743.59199999992
166,57741.58999999993
167,56186.59399999994
168,53962.60499999994
169,56770.59499999994
170,55210.59399999995
171,55993.59699999993
