time,community
0,10046.773000000132
1,16279.732000000124
2,22824.673000000115
3,28790.64100000011
4,33353.61500000009
5,38426.59999999985
6,41689.58199999974
7,45302.568999999676
8,49541.55199999962
9,52521.549999999566
10,70574.53099999944
11,68282.5129999995
12,65635.50199999956
13,62570.50099999967
14,68297.48599999971
15,66579.47599999976
16,66147.48299999977
17,65189.48099999981
18,63619.466999999844
19,63622.463999999876
20,54307.42600000002
21,59584.40799999998
22,64665.38299999994
23,68517.36399999994
24,69393.33999999997
25,71391.31699999998
26,74992.291
27,76655.28
28,80877.26500000001
29,81734.24800000005
30,80259.26400000002
31,79923.27200000003
32,79099.28099999999
33,81372.27300000002
34,84434.27100000002
35,87727.274
36,87488.27799999999
37,88705.29299999996
38,87807.31799999994
39,89797.28699999998
40,95066.26599999999
41,92105.25999999998
42,90722.27199999995
43,87464.27699999993
44,88483.25399999996
45,85557.24999999993
46,85562.24199999993
47,86802.21199999993
48,85715.19999999994
49,82457.18399999994
50,77072.16499999996
51,75989.15899999994
52,77845.15199999994
53,77763.13599999993
54,73603.13499999994
55,73423.11699999994
56,75103.09999999995
57,73788.09099999993
58,75074.07099999991
59,76336.05999999991
60,72639.04999999993
61,73328.0389999999
62,71406.03499999987
63,71938.01499999988
64,72530.00299999985
65,72965.99799999985
66,70847.98499999987
67,71400.96699999987
68,71355.96599999984
69,73375.94799999983
70,68337.93499999982
71,67319.92999999982
72,66648.90799999982
73,66352.88799999986
74,67257.87999999982
75,66330.86799999984
76,66553.87099999982
77,67873.85999999984
78,67250.84999999982
79,64553.82999999983
80,62563.82399999983
81,62553.79899999985
82,63546.79999999986
83,63604.80199999986
84,61887.79799999988
85,62660.802999999876
86,64042.80899999987
87,66082.79799999988
88,66884.80099999986
89,68295.80299999987
90,70634.80999999987
91,69449.81699999986
92,68734.81299999988
93,67517.82299999986
94,68929.81799999987
95,70526.82199999985
96,68784.82499999982
97,68877.82599999986
98,69992.82899999985
99,70237.82699999987
100,69657.82399999988
101,70044.82699999987
102,70492.82599999986
103,70474.83699999985
104,72867.83599999984
105,69175.83899999986
106,71430.82299999987
107,70458.82799999986
108,70101.82299999986
109,69177.84099999987
110,68640.83399999987
111,70066.82699999986
112,67926.83699999984
113,67131.83899999985
114,63417.84599999986
115,64827.84299999988
116,67186.83699999985
117,66796.83999999987
118,67591.83799999986
119,69330.83899999985
120,70710.83699999985
121,68887.84699999982
122,68292.84799999982
123,69527.83799999983
124,71732.83299999984
125,79620.82499999987
126,78140.82099999987
127,78708.82399999986
