time,community
0,14379.77300000013
1,24467.733000000128
2,34934.681000000106
3,45448.65099999951
4,53122.6309999993
5,61393.59899999915
6,69318.56199999912
7,76903.55199999949
8,85559.51899999974
9,92429.50499999984
10,96757.50800000002
11,92542.4959999999
12,88507.48599999976
13,82448.49399999972
14,80087.48599999971
15,66484.47699999965
16,61619.467999999724
17,59288.45399999978
18,57012.437999999835
19,53625.42399999989
20,52709.41699999993
21,54691.39199999992
22,53197.36699999998
23,53395.33699999999
24,53330.31599999998
25,50132.29800000002
26,50663.283000000025
27,49817.26800000003
28,49314.24300000006
29,51556.21500000007
30,59259.24100000006
31,61340.24700000005
32,67381.25600000001
33,70792.26899999999
34,74739.268
35,80476.27100000004
36,83436.27199999998
37,86294.28399999997
38,89709.29400000001
39,90785.27900000001
40,91263.267
41,89273.26999999999
42,87125.25599999996
43,84703.24899999997
44,82246.23499999993
45,78061.24399999989
46,73527.23999999986
47,73014.23199999989
48,72097.22999999988
49,66785.23599999984
50,67615.21799999986
51,69743.19599999985
52,67803.17499999987
53,67760.16299999987
54,67888.16099999988
55,66333.13999999987
56,68277.10599999988
57,64519.11599999989
58,62272.10399999989
59,64152.09099999988
60,65089.082999999875
61,64533.051999999894
62,67240.03399999988
63,68637.01699999988
64,68754.00599999988
65,77307.99599999988
66,76326.98199999987
67,78088.97499999985
68,77771.96999999981
69,77874.96499999982
70,79512.95399999982
71,79335.94099999982
72,80590.92299999985
73,78198.89899999984
74,78313.87799999987
75,75697.86499999986
76,67925.85699999987
77,69960.83699999987
78,68857.83199999988
79,68310.80599999985
80,67978.79199999983
81,68970.76999999983
82,65908.76899999983
83,67723.76899999984
84,65921.78099999983
85,66964.77199999984
86,70096.76799999984
87,68002.76799999982
88,67184.77899999983
89,68964.77599999985
90,70380.77799999985
91,71007.77199999987
92,72397.77299999987
93,72183.77899999983
94,71217.78399999984
95,72432.77999999984
96,71467.78599999986
97,71066.79799999984
98,71858.79899999982
99,70886.80399999983
100,70671.81099999981
101,71666.81199999985
102,72842.81199999983
103,72862.81499999983
104,75385.8209999998
105,72123.82199999984
106,68820.82399999983
107,70428.82099999982
108,71880.80899999983
109,73491.80699999984
110,72918.80499999985
111,73492.80599999985
112,72652.80199999987
113,74443.79599999986
114,72241.80599999984
115,74032.80199999984
116,76354.80299999984
117,74401.80799999983
118,72682.80699999984
119,73119.79999999984
120,72919.80299999985
121,71473.81499999983
122,72504.81499999983
123,70596.81099999983
124,70788.81099999983
125,71377.80999999984
126,72987.80099999985
127,74942.79999999986
128,76060.77999999987
129,76093.77799999989
130,77247.7759999999
131,78060.76899999991
132,78373.77799999989
133,78006.7779999999
134,78754.7809999999
135,75629.78399999987
136,72539.78199999989
137,72742.78299999988
138,73909.78499999986
139,74859.78799999983
140,75259.78399999984
141,75798.78499999986
142,74048.78999999988
143,75489.78299999986
144,73373.78199999988
145,74758.78099999987
146,76751.7719999999
147,74961.77399999986
148,75566.76799999988
149,75765.76899999988
150,75033.76799999988
151,74888.76599999987
152,74098.76599999986
153,71791.76399999985
154,71136.77199999985
155,73251.76799999985
156,74239.76599999986
157,75429.76099999984
158,76411.75799999984
159,77346.76099999987
160,77184.75999999988
161,78121.75899999987
162,85601.7539999999
163,85001.75799999987
164,86396.75999999986
165,83036.76499999987
166,80819.77399999986
167,82424.76899999988
168,82834.7639999999
169,82084.7639999999
170,82821.76599999984
171,81299.7639999999
172,78309.76999999989
173,78671.77599999988
174,78620.77899999986
175,80185.77699999989
176,82322.77699999989
177,80199.7769999999
178,82227.76899999987
179,81814.77499999985
180,82651.77099999986
181,83620.76799999988
182,84866.75699999988
183,83871.75799999987
184,77136.76799999988
185,78876.76699999988
186,79268.76699999989
187,80620.7699999999
188,81749.76899999993
189,83466.77199999992
190,80196.77099999992
191,81316.77199999995
192,82124.77299999994
193,81744.77299999993
194,82690.77699999989
195,80238.76499999991
196,77840.76799999991
197,79193.76299999993
198,78188.75899999993
199,76166.76799999987
200,76602.75899999989
201,76747.75699999985
202,74502.76399999984
203,75102.76299999986
204,76464.75499999986
205,76233.76799999984
206,77121.76999999983
207,76106.77299999983
208,76370.78599999986
209,76431.77899999986
210,79063.77299999987
211,80226.77099999988
212,82008.76699999989
213,80893.75899999987
214,86421.7579999999
215,87655.7669999999
216,90215.76199999992
217,93352.75199999992
218,91757.75799999991
219,91655.74499999992
220,88822.75799999993
221,89592.75799999994
222,90619.75099999992
223,89404.75299999994
224,87694.75699999993
225,86881.75399999993
226,85030.76099999994
227,85576.7629999999
228,87951.7579999999
229,86394.74899999991
230,87929.75099999989
231,86009.7499999999
232,83309.74399999986
233,79381.73699999986
234,79591.7339999999
235,80546.73599999989
236,80769.73299999989
237,79630.72399999987
238,78850.72999999988
239,79042.7409999999
240,79468.74099999992
241,81021.74599999991
242,82206.7539999999
243,79775.77099999988
244,79753.78499999987
245,81323.78399999987
246,82729.79799999988
247,85606.79699999989
248,85252.7989999999
249,85912.80399999989
250,83798.80399999986
251,84714.81799999985
252,85849.81099999991
253,85563.8109999999
254,86205.8109999999
255,85284.8209999999
256,85004.8099999999
257,86202.8079999999
258,87596.8119999999
259,89011.80599999992
260,88045.81399999993
261,87449.8099999999
262,85298.80899999992
263,86139.80699999994
264,87566.7999999999
265,87991.80099999992
266,87826.80199999991
267,85513.80199999991
268,85500.8109999999
269,86930.80599999992
270,87837.81999999995
271,89105.81699999995
272,89426.81699999995
273,88767.81099999993
274,86728.83099999992
275,87898.83999999991
276,89721.84299999988
277,93868.8379999999
278,92641.82999999993
279,91717.8219999999
280,90486.82899999988
281,90845.8299999999
282,93729.8139999999
283,94118.80899999989
284,94413.80199999991
285,94156.7999999999
286,94697.7999999999
287,95054.79799999992
288,96391.79199999993
289,99165.79199999996
290,97714.79299999992
291,97156.80199999994
292,93715.80599999992
293,95427.80099999995
294,95272.79899999994
295,97130.79899999997
296,97085.805
297,97224.78899999999
298,96679.79800000001
299,98224.79099999997
300,100454.79999999996
301,102518.79799999997
302,101707.80099999998
303,101300.80199999997
304,97666.81599999999
305,100550.81199999998
306,100758.81299999997
307,103929.82499999998
308,101756.82099999997
309,102700.81699999998
310,99353.81799999997
311,99712.81700000001
312,100223.815
313,100731.80800000002
314,99865.80200000001
315,98122.80200000001
316,97858.807
317,98952.80799999999
318,99492.81599999999
319,102532.81900000002
320,99266.826
321,98042.83499999999
322,95503.82799999998
323,98214.82599999997
324,97562.82099999998
325,101610.82399999996
326,100809.82899999997
327,101632.82799999996
328,101487.82999999997
329,103491.82199999997
330,104918.81999999999
331,105533.81599999999
332,103880.82399999996
333,103727.81499999996
334,102809.80299999999
335,106048.791
336,106799.792
337,110281.78899999999
338,107005.79099999997
339,107295.794
340,104082.799
341,104694.79900000003
342,105563.797
343,106598.79600000002
344,106241.79200000002
345,105818.78600000001
346,102249.80500000002
347,103045.80500000004
348,103910.80100000002
349,104305.79500000001
350,102584.78999999998
351,101503.79400000001
352,97475.78600000001
353,100207.783
354,99825.787
355,101707.788
356,100443.78899999999
357,102648.77
358,103158.77100000002
359,104855.77000000003
360,106623.75500000008
361,108491.74100000007
362,108331.73900000006
363,107629.73100000006
364,106519.72500000005
365,108268.71200000007
366,108055.6990000001
367,112200.69500000008
368,109645.68900000007
369,108987.71200000009
370,106221.72600000008
371,107636.74400000008
372,105504.76900000007
373,105270.77700000002
374,105648.767
375,103957.79000000002
376,103538.79800000002
377,104234.79500000003
378,105461.80900000005
379,106506.83400000005
380,104608.86200000004
381,105629.86600000007
382,101218.87700000001
383,103679.88900000001
384,103909.89300000001
385,107168.89600000007
386,105972.89400000004
387,106078.91100000004
388,105648.934
389,106843.92900000003
390,108684.94400000006
391,108915.94800000002
392,109399.95800000003
393,107187.96000000002
394,106830.955
395,109608.97099999999
396,107937.00299999995
397,112522.005
398,111244.02000000003
399,109709.01500000004
400,106823.02700000003
401,106719.03300000001
402,107004.03300000002
403,108002.04300000005
404,107174.04300000006
405,107231.05900000005
406,105766.04800000004
407,106077.05900000005
408,107237.06300000005
409,108679.07100000005
410,105468.07700000008
411,107280.09100000007
412,104724.0820000001
413,104666.09500000006
414,106795.09200000005
415,109647.08000000006
416,108732.095
417,110211.091
418,112256.06800000001
419,112913.07300000002
420,112597.05500000001
421,114058.043
422,114069.03100000005
423,113364.02400000005
424,113083.01900000003
425,115136.03400000001
426,112896.03400000001
427,116855.02300000003
428,115901.02800000003
429,113480.02100000001
430,110235.01200000003
431,111042.998
432,109893.978
433,109553.951
434,110519.93700000002
435,110735.93100000004
436,109223.93100000001
437,109896.93100000001
438,109893.92400000001
439,110225.91799999998
440,113711.91299999999
441,115961.913
442,113486.886
443,109607.886
444,109771.87400000001
445,112647.85800000001
446,112133.84800000003
447,112933.83500000002
448,114703.82600000004
449,113439.80200000003
450,113726.79800000004
451,114980.79200000004
452,115295.76900000003
453,113222.75600000002
454,113883.74300000003
455,115331.74900000005
456,112927.72900000005
457,114736.72600000002
458,113367.69700000004
459,113444.68000000002
460,111743.67600000004
461,112179.65600000003
462,112324.65100000006
463,111494.64500000006
464,112467.63100000005
465,112130.62100000004
466,110869.61100000005
467,111090.59100000007
468,109713.59000000005
469,107699.56400000006
470,104852.53700000004
471,108142.49300000005
472,105809.49100000004
473,111266.49100000002
474,110981.49000000003
475,112433.49200000003
476,112423.48500000002
477,112306.48000000003
478,113745.48400000001
479,113808.46900000001
480,114503.47000000002
481,116179.47200000004
482,114888.46500000003
483,115212.455
484,118326.451
485,120588.44600000001
486,119179.44000000002
487,120943.44200000001
488,120917.43700000003
489,120402.438
490,117857.43600000003
491,117317.43100000001
492,115986.44400000003
493,114787.43600000003
494,115016.43000000001
495,115226.41900000001
496,112990.414
497,115334.40399999998
498,114619.39199999998
499,112555.38299999997
500,109272.38299999997
501,110113.37899999999
502,108573.37399999997
503,109543.37399999995
504,110441.37699999995
505,113254.37199999993
506,113976.36899999993
507,114188.36199999996
508,109423.35999999999
509,108859.36599999998
510,110903.364
511,112068.366
512,110491.36099999999
513,109945.35399999998
514,111641.34999999995
515,115726.33499999999
516,114802.341
517,115243.342
518,114097.342
519,116862.35000000002
520,113311.34800000001
521,113021.336
522,114685.31500000003
523,114210.31300000001
524,114548.314
525,113223.31500000002
526,111598.31300000001
527,112423.31700000002
528,110817.32200000003
529,111221.31900000005
530,107203.32100000001
531,107113.32100000001
532,104885.31599999998
533,106482.30999999997
534,107253.30199999998
535,110492.29900000001
536,112059.29700000002
537,110477.282
538,111006.27999999998
539,110540.27899999998
540,112338.276
541,113944.27100000001
542,111986.27200000001
543,112796.27100000002
544,114126.27400000003
545,117816.27700000002
546,116551.27900000002
547,115981.27900000001
548,114839.283
549,113754.28300000001
550,111629.28400000001
551,109219.28900000003
552,111544.28400000004
553,110123.29000000001
554,111245.28900000002
555,110365.28700000003
556,108880.28300000004
557,109235.27600000004
558,109390.26900000004
559,110215.26500000004
560,108710.26100000004
561,110730.26000000004
562,109380.26500000003
563,110475.26100000004
564,110063.25600000004
565,113103.25300000003
566,114313.25400000003
567,113338.25900000003
568,115878.25300000004
569,114148.25700000003
570,115450.25000000003
571,121510.25100000002
572,120125.255
573,118709.26100000003
574,119699.26700000004
575,121972.26400000004
576,120338.27000000003
577,121548.26800000004
578,122623.26000000004
579,121081.26400000005
580,118296.26200000002
581,116116.264
582,112004.264
583,111644.26499999998
584,113509.26500000001
585,112322.264
586,110097.26899999997
587,110157.26900000001
588,109302.27400000002
589,111352.26500000001
590,109096.26799999998
591,109719.26199999997
592,109360.25799999997
593,106962.264
594,107247.26999999999
595,110212.26900000004
596,106493.27200000003
597,111094.27000000002
598,118794.27000000005
599,117286.27300000002
600,117351.282
601,119211.27600000001
602,117484.277
603,118059.28100000002
604,117779.27500000002
605,120739.27900000004
606,119909.28600000008
607,121390.28400000004
608,122468.28000000006
609,120501.28300000005
610,117531.28400000004
611,116426.28200000004
612,118526.28300000008
613,118131.29100000008
614,117473.28900000008
615,116758.28800000009
616,115443.28500000009
617,116463.28300000011
618,114448.2900000001
619,115188.29300000012
620,112898.28700000007
621,113928.28700000007
622,112228.28800000006
623,111568.28800000003
624,113581.28600000005
625,116221.28000000006
626,117076.27400000003
627,115711.27700000003
628,118091.26600000003
629,117379.27100000001
630,120306.26600000003
631,122233.263
632,122013.26400000002
633,124488.26300000004
634,123798.26400000002
635,126553.25500000003
636,125503.26000000004
637,126233.26700000002
638,127503.26200000002
639,125143.26500000003
640,122028.26700000002
641,120328.26800000003
642,121748.27200000001
643,120108.27400000003
644,121670.26900000003
645,119640.26900000003
646,112666.27100000001
647,113796.26900000003
648,110821.27599999998
649,111786.28400000001
650,110594.28600000001
651,112241.28400000003
652,110665.27100000004
653,110765.266
654,106400.26500000001
655,115775.25600000004
656,117185.25900000005
657,117180.25900000002
658,118090.25900000003
659,116509.26800000003
660,116739.27000000003
661,119309.261
662,118974.26000000001
663,119804.26
664,117909.26299999999
665,118264.26600000002
666,116774.26299999999
667,117044.25900000002
668,117839.26000000005
669,115852.26700000004
670,112497.27
671,106105.26800000003
672,108355.26400000004
673,108585.25900000003
674,109990.26300000002
675,111010.25900000003
676,109370.25499999999
677,109855.25100000003
678,107550.256
679,108950.25600000001
680,107965.26499999998
681,109420.26399999997
682,107390.26999999996
683,108385.26799999997
684,109742.26399999997
685,113121.26399999998
686,114359.26299999996
687,112324.26699999999
688,113894.26399999998
689,113459.26399999998
690,112004.26299999998
691,112924.27299999999
692,118309.27699999997
693,119388.27399999998
694,117538.27999999996
695,119499.28499999999
696,119068.27999999998
697,120813.28199999999
698,120260.28299999998
699,123340.28299999998
700,120235.28599999996
701,119370.28699999995
702,123765.27999999997
703,130373.27699999997
704,130558.27699999994
705,132413.27199999997
706,130743.26799999998
707,128893.26699999999
