time,community
0,2729.541000000019
1,4683.523000000027
2,7608.508000000028
3,8731.508000000029
4,9431.506000000029
5,10161.503000000028
6,10799.495000000026
7,11611.486000000024
8,13290.47900000002
9,14692.47700000002
10,19018.474000000024
11,19123.465000000022
12,17456.46200000002
13,17008.45800000001
14,17693.450000000015
15,18720.446000000014
16,19210.44800000001
17,19350.44900000001
18,18398.451000000012
19,18473.452000000012
20,15389.450000000004
21,16767.445000000003
22,17801.434000000005
23,19558.425000000007
24,20673.417000000005
25,22068.409
26,23102.405
27,25127.398
28,26422.392
29,33697.379
30,32014.389
31,32239.388
32,33209.393
33,33342.394
34,33132.398
35,31130.4
36,29868.398
37,28236.404000000002
38,27321.415
39,26807.411
40,27539.409000000003
41,26674.405000000002
42,26244.405000000002
43,25419.407
44,24389.412
45,25702.407000000003
46,26597.407000000003
47,25640.403000000002
48,25840.396
49,24435.396000000004
50,24650.390000000003
51,25008.381
52,24168.381000000005
53,26253.374000000003
54,26910.372000000007
55,27192.361000000004
56,28405.355000000003
57,30370.347
58,30110.344000000005
59,31410.339000000004
60,30305.326
61,31040.325000000004
62,32096.328000000005
63,30421.326000000005
64,30170.328000000005
65,28635.323000000004
66,26540.314000000006
67,26135.308000000005
68,27070.303000000004
69,27435.300000000007
70,28272.293000000005
71,26684.288000000004
72,21004.280000000006
73,21594.277000000002
74,20001.274000000005
75,20917.272
76,21470.270000000008
77,21570.258
78,20550.257000000005
79,20320.261000000006
80,20707.250000000004
81,20512.247000000003
82,19565.246000000003
83,19935.246000000003
84,21333.242000000002
85,20368.241000000005
86,22118.242000000006
87,22850.245000000006
88,22690.242000000006
89,22837.244000000006
90,21834.246000000006
91,24200.242000000002
92,25380.242000000006
93,24012.242000000002
94,23622.241
95,23782.244000000002
96,23007.243000000002
97,22035.246000000003
98,22838.249000000003
99,21838.252000000004
100,22643.253000000004
101,21068.255000000005
102,21253.257000000005
103,22608.261000000006
104,22630.260000000006
105,22582.268000000004
106,23392.265000000007
107,23980.266000000007
108,23401.267000000003
109,23806.266000000007
110,24401.265000000003
111,23976.266000000007
112,22606.267000000007
113,23766.268000000004
114,24546.267000000007
115,24736.265000000003
116,24931.265000000003
117,25741.263000000003
118,24961.264000000003
119,25321.268000000004
120,23766.267000000003
121,23935.269000000004
122,23538.272000000004
123,21393.274000000005
124,21618.275000000005
125,21387.280000000002
126,20828.278000000006
127,20648.276000000005
128,21800.277000000006
129,21052.276000000005
130,22080.271000000004
131,22875.267000000003
132,23480.263000000006
133,24078.262000000006
134,23118.260000000006
135,23467.264000000006
136,23672.264000000006
137,23270.268000000007
138,22528.265000000007
139,23913.260000000006
140,24493.261000000006
141,24090.261000000002
142,23188.258000000005
143,25128.259000000005
144,26290.260000000006
145,25123.261000000006
146,26301.259000000005
147,27463.260000000006
148,26686.259000000005
149,26551.253000000004
150,25981.251000000004
151,26161.251000000004
152,26553.251000000004
153,24798.250000000004
154,24803.248000000003
155,25398.246000000003
156,25021.244000000002
157,24206.249000000003
158,24753.252000000004
159,24013.250000000004
160,23208.255000000005
161,23393.255000000005
162,24168.255000000005
163,24533.258000000005
164,24163.255000000005
165,24343.259000000005
166,24133.262000000002
167,24348.261000000006
168,23963.263000000006
169,24173.264000000006
170,24175.262000000006
171,24245.255000000005
172,23664.253000000004
173,25452.251000000004
174,27037.249000000003
175,25012.258000000005
176,27162.254000000004
177,26225.254000000004
178,26645.251000000004
179,27207.254000000004
180,27962.257000000005
181,28165.255000000005
182,28562.254000000004
183,27936.255000000005
184,27594.250000000004
185,28182.250000000004
186,25657.248000000003
187,25824.251000000004
188,24832.253000000004
189,23857.252000000004
190,24057.252000000004
191,23287.253000000004
192,23090.251000000004
193,23653.253000000004
194,22848.255000000005
195,23423.252000000004
196,24395.251000000004
197,25177.245000000003
198,25395.242000000002
199,26373.24
200,25143.243000000002
201,25330.241
202,25347.239000000005
203,26122.235000000004
204,27677.235000000004
205,26720.232000000004
206,27458.235000000004
207,26870.234000000004
208,26320.232000000004
209,27112.231000000003
210,28300.228000000006
211,29470.228000000006
212,30220.231000000003
213,29800.232000000004
214,28992.232000000007
215,28967.232000000007
216,27814.228000000006
217,27664.225000000006
218,27264.224000000006
219,25724.222000000005
220,25896.223000000005
221,25114.226000000006
222,24914.224000000006
223,25464.223000000005
224,24647.227000000006
225,25272.223000000005
226,25677.222000000005
227,26452.222000000005
228,26452.22000000001
229,27402.220000000005
230,26610.22000000001
231,26420.22000000001
232,26232.218000000004
233,26227.219000000005
234,27590.218000000004
235,26835.213000000003
236,28215.211000000003
237,27425.211000000003
238,27250.208000000002
239,27855.213000000003
240,28595.222000000005
241,28985.223000000005
242,29608.223000000005
243,29603.220000000005
244,29653.220000000005
245,29843.218000000004
246,29838.218000000004
247,30175.226000000006
248,29820.227000000006
249,28040.227000000006
250,27296.230000000003
251,27096.229000000003
252,27532.225000000002
253,27928.232000000004
254,26723.236000000004
255,27097.235000000004
256,26884.239000000005
257,27236.246000000006
258,27637.246000000006
259,28202.251000000007
260,27443.251000000007
261,26637.253000000008
262,26249.254000000008
263,27283.251000000007
264,29495.253000000008
265,29872.254000000008
266,29694.254000000008
267,29476.254000000008
268,29718.253000000008
269,29946.254000000008
270,30916.25700000001
271,32070.263000000006
272,33179.25400000001
273,32578.25800000001
274,32585.260000000006
275,32206.258000000005
276,32003.258000000005
277,32010.258000000005
278,31470.256000000005
279,30298.256000000005
280,30719.255000000005
281,29919.26100000001
282,30542.25900000001
283,31791.251000000007
284,30051.250000000007
285,30145.254000000004
286,30512.256
287,30346.256000000005
288,29890.262000000002
289,30409.265000000003
290,29293.265000000003
291,29888.265000000003
292,29859.269000000004
293,30279.272000000004
294,32161.271000000004
295,32055.273000000005
296,31483.275000000005
297,30338.278000000006
298,30416.271000000004
299,32043.270000000004
300,33259.26900000001
301,34642.267
302,35608.268000000004
303,34573.272000000004
304,34135.278000000006
305,34020.276000000005
306,33840.276000000005
307,33895.276000000005
308,33729.277
309,31978.280000000006
310,32768.279
311,33404.279
312,34295.274
313,35300.272999999994
314,33743.279
315,33824.272000000004
316,34056.272000000004
317,38825.26900000001
318,38716.270000000004
319,38883.27500000001
320,38088.274000000005
321,37786.27200000001
322,36821.27100000001
323,37762.269
324,38882.263000000006
325,38707.26000000001
326,32548.260000000006
327,31271.266000000007
328,31918.262000000006
329,32837.26500000001
330,33259.266
331,34417.268000000004
332,34947.268
333,34130.270000000004
334,34543.272
335,40054.27599999999
336,39880.270999999986
337,40667.26999999999
338,40102.265999999996
339,39132.267
340,39686.272
341,39349.272999999994
342,40722.276999999995
343,41152.27599999999
344,40071.274
345,40307.26999999999
346,40930.26899999998
347,41398.264999999985
348,34461.261999999995
349,34868.25899999999
350,33483.259999999995
351,33701.262
352,33145.263
353,33409.264
354,34567.259
355,34342.261
356,33898.263
357,32042.261000000006
358,33625.26
359,34041.263
360,34282.265999999996
361,34461.26699999999
362,34904.266
363,34755.258
364,35074.25
365,36323.247
366,36085.249
367,36120.246999999996
