time,community
0,2072.5559999999946
1,4590.537000000026
2,5873.529000000029
3,6981.521000000028
4,8097.513000000028
5,9952.502000000024
6,11082.500000000024
7,12658.485000000022
8,13558.487000000023
9,14176.48700000002
10,17421.484000000022
11,16293.479000000016
12,15830.484000000017
13,15905.475000000015
14,15162.481000000014
15,14677.480000000012
16,15080.472000000012
17,14311.475000000011
18,14529.472000000009
19,15491.466000000008
20,13400.462000000005
21,14763.463000000003
22,17419.456000000013
23,19236.446000000007
24,21359.436000000005
25,22777.430000000004
26,22887.425000000003
27,24440.412
28,25060.404
29,25328.395999999997
30,23653.402
31,23883.405
32,22798.402
33,22568.401
34,21131.403
35,22066.396999999997
36,22321.400999999998
37,21786.406
38,21191.405
39,21251.399999999998
40,23166.398999999998
41,22331.392
42,22213.396
43,22190.396
44,21791.392
45,19913.399
46,20918.388000000003
47,20443.395000000004
48,20981.391000000003
49,21708.395000000004
50,21113.398000000005
51,20928.391000000003
52,22241.386000000006
53,22641.375000000004
54,23986.374000000003
55,24740.375000000007
56,23932.369000000006
57,24198.365000000005
58,24795.363000000005
59,23383.357000000004
60,21658.362000000005
61,22553.358000000004
62,21573.350000000006
63,21238.345000000005
64,20583.341000000004
65,20768.329000000005
66,20608.317000000006
67,20003.310000000005
68,19463.302000000003
69,19893.29600000001
70,19583.287000000008
71,19491.279000000006
72,20256.278000000006
73,19731.282000000007
74,19924.274000000005
75,19464.272000000004
76,20394.261000000002
77,20808.256000000005
78,20583.261000000002
79,21303.262000000002
80,22118.25
81,21563.242000000006
82,21593.240000000005
83,21793.241000000005
84,23195.240000000005
85,23749.242000000006
86,23359.243000000006
87,23019.241000000005
88,23836.243000000006
89,23272.243000000006
90,22295.248000000003
91,23868.249000000003
92,22683.253000000004
93,22858.256000000005
94,22118.249000000003
95,21953.246000000003
96,27053.250000000004
97,26863.251000000004
98,26528.247000000003
99,26933.245000000003
100,27903.247000000003
101,26915.250000000004
102,26695.257000000005
103,21795.255000000005
104,20653.252000000004
105,21263.249000000003
106,22830.247000000003
107,23020.246000000003
108,23028.246000000003
109,22868.243000000002
110,22453.244000000002
111,21648.245000000003
112,22423.246000000003
113,22603.249000000003
114,23593.248000000003
115,23783.249000000003
116,23188.249000000003
117,23400.248000000003
118,23770.250000000004
119,22607.250000000004
120,23195.250000000004
121,26277.249000000003
122,25310.248000000003
123,24930.246000000003
124,24745.248000000003
125,23975.247000000003
126,23772.245000000003
127,23560.247000000003
128,22385.246000000003
129,23933.245000000003
130,23708.246000000003
131,22938.242000000002
132,22168.241
133,22160.246000000003
134,21975.245000000003
135,22360.246000000003
136,23735.244000000002
137,24120.244000000002
138,24502.244000000002
139,23727.246000000003
140,22544.247000000003
141,21779.245000000003
142,21769.244000000002
143,22944.243000000002
144,22779.241
145,23164.244000000002
146,23744.244000000002
147,24177.237
148,24562.238
149,23997.234
150,25202.231
151,26363.233
152,26001.231
153,24611.234
154,25386.236
155,25596.235
156,25606.234
157,24221.24
158,22806.246000000003
159,23971.247000000003
160,24156.247000000003
161,22781.249000000003
162,23176.248000000003
163,23748.247000000003
164,23918.246000000003
165,24323.245000000003
166,24518.245000000003
167,25933.24
168,26708.241
169,25543.24
170,24568.238
171,24376.238
172,25161.238
173,25181.235
174,25206.232
175,24408.234
176,24003.235
177,23238.234
178,22625.238
179,22245.242000000002
180,22275.241
181,22858.243000000002
182,22686.241
183,22258.246000000003
184,22241.248000000003
185,22806.249000000003
186,24161.250000000004
187,23771.249000000003
188,23776.248000000003
189,25751.245000000003
190,25931.248000000003
191,24976.247000000003
