time,community
0,2353.564999999995
1,3477.555000000007
2,4457.546000000017
3,5885.534000000017
4,7150.52800000002
5,8025.532000000019
6,9024.517000000025
7,9874.511000000022
8,10996.505000000023
9,11885.49700000002
10,15759.484000000017
11,15809.48100000002
12,16289.479000000016
13,16454.473000000016
14,16582.472000000016
15,16410.472000000012
16,16800.476000000013
17,17214.470000000012
18,17081.466000000008
19,17124.47400000001
20,15000.468000000006
21,17620.459000000006
22,18360.45200000001
23,19666.438000000006
24,20733.433000000005
25,21373.430000000004
26,21981.420000000002
27,24079.408
28,24744.400999999998
29,26689.389999999996
30,26299.392999999996
31,24924.395999999997
32,24200.403
33,24195.405
34,23641.405
35,23637.405
36,22987.415
37,20932.423000000003
38,20977.43
39,18987.426000000003
40,19462.413000000004
41,18502.415000000005
42,19162.405000000002
43,19672.397000000004
44,20842.392000000003
45,19775.388000000003
46,20588.383
47,21818.382
48,20998.384000000002
49,21720.374000000003
50,21280.369000000002
51,21637.368000000006
52,22359.366000000005
53,22105.354000000003
54,22622.346
55,23664.339000000004
56,22064.336000000003
57,21909.328
58,22687.333000000002
59,23677.323000000004
60,23692.314000000002
61,23460.312
62,22965.309
63,23663.305
64,23000.304
65,22567.299000000003
66,21882.298000000003
67,21470.291000000005
68,21260.279000000002
69,20680.276
70,21675.269000000004
71,20983.267000000007
72,21053.271000000004
73,20635.264000000003
74,21635.258
75,20565.260000000002
76,20958.253000000008
77,21538.246
78,20803.23800000001
79,21198.231000000007
80,20740.234000000008
81,20775.230000000003
82,21373.232000000007
83,20943.235000000004
84,20178.236000000004
85,20928.240000000005
86,20513.245000000003
87,20447.251000000004
88,21067.245000000003
89,21278.24700000001
90,22040.249000000007
91,22815.25000000001
92,21850.247000000007
93,27740.248000000007
94,27720.252000000008
95,27353.251000000007
96,28003.242000000006
97,27808.244000000006
98,26851.24400000001
99,26443.24900000001
100,27213.254000000008
101,27228.253000000008
102,27818.253000000008
103,28426.255000000005
104,29421.256000000005
105,28851.255000000005
106,29251.253000000008
107,28476.252000000004
108,28058.25600000001
109,29058.251000000004
110,27328.247000000003
111,26563.245000000003
112,27173.242000000006
113,27015.238000000005
114,25658.24
115,25836.241
116,26431.242000000006
117,27016.243000000002
118,27983.245000000006
119,27345.248000000003
120,28900.249000000003
121,29680.248000000003
122,29125.245000000006
123,29348.243000000002
124,29343.246000000006
125,29153.247000000003
126,27970.248000000007
127,27993.247000000003
128,26606.249000000003
129,27401.247000000003
130,22671.247000000007
131,22476.251000000007
132,23091.247000000007
133,23876.248000000003
134,24666.248000000007
135,23851.253000000004
136,24208.25500000001
137,24243.250000000007
138,24630.251000000004
139,25005.251000000004
140,24235.249000000003
141,24268.246000000003
142,23868.248000000003
143,23863.246000000003
144,23098.247000000003
145,22888.247000000003
146,22293.249000000007
147,22260.254000000004
148,23628.252000000008
149,23623.249000000007
150,24436.244000000006
151,24076.242000000006
152,24281.241000000005
153,23876.244000000002
154,24074.243000000006
155,24274.244000000006
156,23889.242000000002
157,24884.240000000005
158,23484.245000000003
159,23229.251000000004
