time,community
0,5136.552000000032
1,7416.542000000036
2,10047.530000000035
3,12192.520000000033
4,15210.511000000035
5,17260.507000000034
6,19720.497000000036
7,21495.49400000003
8,23820.48200000003
9,25750.477000000028
10,27110.469000000023
11,26877.46500000002
12,26294.473000000016
13,26515.46600000002
14,25178.46200000002
15,20067.466000000015
16,19902.46300000001
17,19744.46100000001
18,18474.46100000001
19,17606.462000000007
20,17104.46000000001
21,17454.449000000008
22,17134.443000000007
23,16549.437
24,17898.423000000006
25,17873.416000000005
26,17918.410000000003
27,17678.399
28,19693.380999999998
29,20173.375999999997
30,22601.380999999998
31,22901.376999999997
32,24081.376999999997
33,24646.379999999997
34,25389.385
35,25832.385
36,26660.379999999997
37,27185.382999999998
38,25967.389
39,26912.380999999998
40,27042.377999999997
41,25962.372
42,26649.37
43,26685.367
44,25565.37
45,24984.365
46,24142.361
47,23214.349
48,22262.352
49,21002.349000000002
50,21609.344
51,21100.351
52,21055.349000000002
53,19645.360000000004
54,20240.361000000004
55,20555.354000000003
56,20515.348
57,20069.347
58,21139.338000000003
59,21590.333000000002
60,23115.332000000002
61,23740.323000000004
62,24680.314000000002
63,25315.308
64,24737.304
65,23572.300000000003
66,23958.297000000002
67,25788.285000000003
68,25223.281000000003
69,25928.277000000002
70,24518.277000000002
71,22918.271000000004
72,23268.266000000003
73,23316.264000000003
74,22906.257000000005
75,23061.253000000004
76,22481.246000000003
77,21076.241000000005
78,21071.236000000004
79,19678.235000000004
80,19718.232000000004
81,19881.232000000004
82,20263.231000000003
83,19701.234000000004
84,20431.238000000005
85,20456.24
86,20671.238000000005
87,20133.232000000004
88,20673.236000000004
89,21483.235000000004
90,22696.235000000004
91,23931.229000000003
92,24110.231000000003
93,24690.230000000003
94,24683.231000000003
95,24308.232000000004
96,24893.234
97,26643.235
98,25225.244000000002
99,25977.249000000003
100,26232.242000000002
101,23832.249000000003
102,23490.246000000003
103,24065.245000000003
104,23070.247000000003
105,22270.253000000004
106,21493.254000000004
107,19751.252000000004
108,19156.254000000004
109,18776.252000000004
110,18373.253000000004
111,19166.25
112,20136.249000000003
113,19146.251000000004
114,19781.244000000002
115,19771.247000000003
116,20161.247000000003
117,19761.247000000003
118,20728.246000000003
119,21493.248000000003
120,23048.247000000003
121,24050.244000000002
122,24850.242000000002
123,25635.241
124,25217.247000000003
125,25648.243000000002
126,27203.245000000003
127,27943.252000000004
128,26013.251000000004
129,26003.253000000004
130,26168.252000000004
131,23628.256000000005
132,23030.257000000005
133,22855.255000000005
134,22630.257000000005
135,22622.258000000005
136,21850.258000000005
137,22105.250000000004
138,22333.248000000003
139,21523.251000000004
140,21345.248000000003
141,22478.251000000004
142,22663.253000000004
143,22733.247000000003
144,22373.243000000002
145,21183.244000000002
146,20953.249000000003
147,19013.248000000003
148,21390.242000000002
149,23573.237
150,24720.238
151,23935.241
152,24935.243000000002
153,24930.244000000002
154,24730.245000000003
155,25748.242000000002
156,26508.244000000002
157,26878.246000000003
158,25348.244000000002
159,25335.246000000003
160,25545.244000000002
161,23802.242000000002
162,24810.236
163,24233.237
164,25048.233
165,24483.231000000003
166,24268.232
167,25073.229
168,25198.234
169,24593.234
170,23818.234
171,28930.234
172,28765.231
173,28540.235
174,27360.235
175,26380.235
176,27560.233
177,25610.233
178,26973.234
179,29093.234
180,30048.236
181,29678.235
182,29608.245000000003
183,30603.241
184,30780.239
185,31522.242000000002
186,32284.243000000002
187,32510.241
188,32925.238
189,25807.246000000003
190,26167.251000000004
191,25177.252000000004
192,26730.251000000004
193,25960.250000000004
194,25965.249000000003
195,25355.251000000004
196,24183.253000000004
197,24185.253000000004
198,24383.251000000004
199,23356.255000000005
200,23751.250000000004
201,23986.244000000002
202,23363.247000000003
203,22783.243000000002
204,23028.236
205,22410.236
206,23033.232
207,21263.233
208,21438.237
209,22973.238000000005
210,23355.238000000005
211,23770.232000000004
212,24170.234000000004
213,24960.232000000004
214,24970.229000000003
215,24960.229000000007
216,27285.231000000007
217,27660.230000000007
218,28625.228000000006
219,28035.228000000006
220,28025.226000000006
221,27475.221000000005
222,28215.226000000006
223,27265.223000000005
224,27703.215000000004
225,28123.210000000003
226,25993.207000000002
227,25770.207000000006
228,26365.204000000005
229,25685.214000000004
230,25090.212000000003
231,24925.203000000005
232,23330.210000000003
233,22500.214000000004
234,22885.212000000003
235,21892.213000000003
236,22487.210000000003
237,21532.207000000002
238,21327.211
239,22452.211
240,24997.208
241,25359.209
242,26547.211
243,27538.215
244,26983.217
245,26788.218
246,28752.218
247,28947.219
248,29579.217000000004
249,29189.216
250,28815.218
251,28595.221
252,29987.219
253,29195.219
254,28231.223
255,27652.22
256,26124.216
257,25163.217
258,25774.218
259,25413.213
260,24447.22
261,24062.223
262,23062.226000000002
263,21508.227000000003
264,21691.228000000003
265,21703.229000000003
266,22787.233000000004
267,23440.233000000004
268,24206.236000000004
269,26178.230000000003
270,28090.234000000004
271,28308.236000000004
272,29906.234000000004
273,31502.231000000003
274,31685.236000000004
275,31779.233000000004
276,32418.231000000003
277,32269.232000000004
278,34238.233
279,34224.236
280,34452.236
281,33726.235
282,34728.235
283,33808.229999999996
284,32889.23
285,31147.234000000004
286,29932.238000000005
287,28627.236000000004
288,27537.232000000004
289,27607.228000000003
290,26778.233000000004
291,27362.233000000004
292,27008.236000000004
293,26488.232000000004
294,26017.229000000003
295,26212.229
296,26597.232
297,25972.233
298,27576.234000000004
299,29954.230000000003
300,32288.23
301,33286.234
302,33955.23499999999
303,35120.236000000004
304,34315.239
305,34295.240999999995
306,33892.248
307,34474.244999999995
308,34453.244
309,34196.253000000004
310,35030.248999999996
311,35060.247
312,35805.25099999999
313,34489.244999999995
314,32934.246
315,30804.251000000004
316,30090.251000000004
317,28861.255000000005
318,29137.252000000004
319,29552.250000000004
320,29435.243000000006
321,30421.246000000006
322,29840.245000000006
323,31022.242000000006
324,30291.241000000005
325,30469.239
326,29287.24
