time,community
0,10135.256000000145
1,24331.212000000145
2,31564.16900000014
3,39297.116000000125
4,44984.095999999925
5,51206.04799999967
6,58625.00899999932
7,62907.977999999355
8,67447.95999999932
9,71909.93599999933
10,83699.90699999938
11,78677.89399999936
12,78670.86299999944
13,75725.85799999954
14,73731.84499999964
15,70482.83799999971
16,66877.83499999979
17,67274.83399999981
18,66367.82499999984
19,66267.80699999988
20,57226.79900000004
21,64112.78799999995
22,68273.74799999993
23,72773.72799999994
24,79999.69799999996
25,85646.67499999999
26,89445.64900000005
27,89082.61300000008
28,92766.58300000009
29,95647.56600000012
30,95499.58600000011
31,96177.59200000009
32,95257.60100000011
33,94743.62900000006
34,91198.64200000004
35,91924.65900000006
36,95989.66400000005
37,96398.65600000003
38,97051.66200000004
39,97933.64700000003
40,97431.64700000001
41,95891.628
42,96662.60899999995
43,93937.61099999998
44,93375.58500000002
45,89636.57399999996
46,87042.563
47,86212.54300000002
48,83775.53799999991
49,82196.53399999991
50,80654.51799999988
51,79291.49699999992
52,77779.49299999987
53,79066.46999999988
54,81534.4479999999
55,83381.4309999999
56,84108.4129999999
57,85226.38199999987
58,86898.37299999989
59,87541.33999999992
60,85789.3319999999
61,85679.31999999988
62,84333.3079999999
63,84644.30199999988
64,81224.29899999985
65,84291.28199999988
66,83248.27399999983
67,82337.2539999998
68,80065.25099999976
69,81039.22799999977
70,85834.18899999981
71,84962.16099999983
72,87117.14599999985
73,86492.11799999983
74,84974.11099999987
75,81457.10799999979
76,80842.08399999978
77,84095.06099999981
78,84527.04699999982
79,87717.00899999983
80,86620.99399999983
81,86093.97699999984
82,84838.99199999985
83,83366.9909999998
84,83914.99999999983
85,83579.99599999984
86,86402.9989999999
87,85656.00099999987
88,86859.99599999985
89,86287.99399999988
90,88049.99399999986
91,87022.00299999987
92,84664.01499999982
93,85221.02299999984
94,84653.02499999988
95,87092.01699999993
96,85719.02199999994
97,85008.02399999996
98,86031.01699999993
99,84319.01699999992
100,84800.01399999994
101,91695.00899999996
102,98726.01799999995
103,97966.03199999996
104,91628.03399999994
105,91971.04799999992
106,93934.04699999992
107,96936.03999999995
108,98243.04899999996
109,99745.05999999994
110,98086.04899999991
111,98304.04799999994
112,99829.05299999991
113,97248.0469999999
114,97319.04099999992
