time,community
0,16028.225000000175
1,28667.176000000152
2,43943.10999999951
3,54812.07899999911
4,67146.03899999887
5,82704.00199999916
6,91940.98899999956
7,99091.97799999987
8,108700.9500000001
9,116168.94300000026
10,124360.93800000033
11,121940.90800000024
12,116297.89200000018
13,113395.8690000002
14,108473.84400000007
15,90562.83599999985
16,88579.81699999985
17,86345.8139999998
18,83948.80699999978
19,82651.8089999998
20,81503.80099999986
21,79147.77699999991
22,76769.74699999997
23,75886.717
24,76368.68000000005
25,74677.65900000009
26,73365.6270000001
27,74336.60000000015
28,72915.57800000015
29,69105.56100000015
30,74840.58300000013
31,79282.59500000012
32,85530.61400000012
33,89104.62800000006
34,96864.62300000008
35,100657.62400000013
36,106065.63200000016
37,106764.64500000014
38,109252.6640000001
39,111383.66100000012
40,114884.64400000015
41,114579.63700000013
42,114845.62000000011
43,111350.62100000013
44,108180.6030000001
45,106324.57700000003
46,105205.55900000004
47,97291.55299999999
48,97579.532
49,97069.50300000003
50,95069.49200000001
51,95057.478
52,91702.45599999999
53,89403.4449999999
54,88459.43599999991
55,86188.42999999989
56,82288.41799999989
57,82616.4169999999
58,80936.3979999999
59,77718.37999999984
60,77556.36199999989
61,78734.34099999987
62,80492.32699999986
63,84177.30499999986
64,87807.27199999988
65,89355.26499999987
66,90339.24099999986
67,91611.21099999988
68,93898.18199999993
69,96308.15599999994
70,99295.15199999996
71,98008.13199999998
72,98840.11200000002
73,94975.102
74,94184.08599999995
75,91691.06499999994
76,93264.04099999997
77,90707.02599999995
78,88661.01799999994
79,89393.99599999993
80,87607.97699999991
81,88467.95799999993
82,87490.9569999999
83,87293.97099999987
84,84409.96599999987
85,85426.97199999988
86,83658.97799999984
87,86219.98299999986
88,87911.98299999985
89,87838.98899999984
90,85128.99699999984
91,92388.99799999985
92,91259.00599999985
93,94360.02299999988
94,95757.02099999994
95,96567.02999999997
96,95822.03299999995
97,96415.03799999997
98,101940.03999999998
99,104288.03199999996
100,102525.037
101,101128.04499999997
102,102323.04699999992
103,99722.0589999999
104,98790.05799999987
105,97510.05799999986
106,98659.05399999989
107,96925.05099999989
108,96302.05699999988
109,96360.05299999987
110,95009.05299999988
111,96898.04099999988
112,96349.03699999992
113,97020.0299999999
114,97647.0209999999
115,99225.01899999991
116,98840.0149999999
117,99860.01199999993
118,99979.02199999991
119,99000.02499999992
120,97790.0289999999
121,97985.02599999993
122,97556.0309999999
123,98347.03399999991
124,99815.02099999995
125,100179.02399999993
126,98486.01599999995
127,100789.01599999995
128,101055.01099999994
129,101313.00699999995
130,105237.99799999998
131,104789.00399999993
132,105062.01699999998
133,102764.01299999996
134,101559.01799999991
135,100824.01299999992
136,101984.01499999997
137,97866.01899999996
138,97484.02199999995
139,98395.02799999995
140,96128.02099999988
141,96751.01699999992
142,98486.01799999997
143,99316.01399999994
144,98588.01599999993
145,99903.01899999997
146,101703.01199999997
147,102258.01899999999
148,103526.00599999998
149,102591.00300000004
150,102056.00000000001
151,102913.00899999999
152,100986.01099999995
153,101969.009
154,103863.01200000002
155,96366.02100000004
156,94408.01700000004
157,98515.01400000004
158,97532.011
159,98259.016
160,101374.01500000004
161,102762.01400000002
162,102714.01700000002
163,101379.01500000001
164,100392.02099999996
165,99227.02199999995
166,99977.02399999999
167,97644.018
168,96563.011
169,96401.00699999995
170,94228.01099999997
171,93855.00499999995
172,95598.00299999995
173,95253.01399999995
174,94224.01899999993
175,97797.00799999996
176,99854.00899999996
177,98717.00699999998
178,97681.01699999998
179,97292.01399999995
180,98177.00299999995
181,96650.00199999995
182,94091.01199999996
183,94581.02099999996
184,95916.02599999997
185,93898.02999999996
186,91568.02899999994
187,95430.02799999993
188,98405.02199999994
189,98535.02499999997
190,99565.01899999994
191,102141.01399999997
192,103915.00999999995
193,103284.019
194,102253.02599999997
195,101666.024
196,103393.02200000001
197,102250.01500000001
198,102232.01199999999
199,101971.01099999994
200,99318.02099999996
201,99726.01399999997
202,99310.01199999996
203,99701.00099999996
204,98453.98799999997
205,100391.98899999997
206,102888.97799999996
207,102982.96400000004
208,101851.955
209,103198.94799999996
210,108303.94599999995
211,106688.95299999994
212,104285.96199999994
213,104403.96599999996
214,104431.97599999998
215,104371.97299999994
216,101860.96599999996
217,107671.95999999998
218,109223.95499999999
219,106499.95800000001
220,108086.953
221,108731.94499999999
222,108694.94699999997
223,107427.95199999998
224,106967.951
225,106967.94600000001
226,107780.94000000002
227,106833.93100000001
228,107833.924
229,108973.92999999996
230,106400.92999999996
231,107167.92699999994
232,107904.92599999995
233,109469.91399999995
234,108859.90899999997
235,111412.90099999997
236,112165.89799999994
237,110948.90199999999
238,110749.90299999998
239,112138.90599999997
240,109348.91799999995
241,109130.92799999997
242,107616.92799999997
243,108353.93899999997
244,109203.94599999995
245,104945.94399999997
246,102265.94899999996
247,105013.95899999997
248,105251.96699999999
249,105521.96999999996
250,107284.96999999996
251,107885.97299999998
252,108909.96899999995
253,108878.97299999994
254,107883.95899999996
255,108885.96699999993
256,109730.97099999996
257,109759.97300000001
258,111439.96899999998
259,109579.96999999999
260,107022.97899999996
261,109824.98099999999
262,109493.98199999996
263,111540.98699999996
264,110958.98799999998
265,113846.98999999996
266,114513.98399999998
267,114400.98499999997
268,113673.979
269,115695.97300000001
270,115162.973
271,115625.96599999997
272,112539.978
273,112023.97700000004
274,112317.984
275,113848.97800000003
276,111717.98500000002
277,115535.99000000003
278,116787.98999999999
279,115670.99299999999
280,117446.99600000003
281,117922.00000000007
282,118956.99600000006
283,117658.00100000005
284,116736.00900000005
285,118083.01100000003
286,117347.016
287,118807.01800000003
288,120793.02200000003
289,120425.03500000003
290,118617.03300000001
291,122469.024
292,120669.044
293,121225.05199999998
294,121874.05399999999
295,123459.04999999997
296,124012.05599999997
297,124466.04900000004
298,125156.03900000002
299,125669.05800000005
300,126824.05000000003
301,131764.05400000003
302,125512.05300000006
303,125114.05600000004
304,125031.05600000006
305,125831.06200000005
306,124489.06000000006
307,125481.061
308,124753.05700000002
309,124056.063
310,124029.067
311,124465.06100000002
312,125804.05099999999
313,124505.05300000001
314,125215.04800000001
315,125028.05199999998
316,124243.06200000002
317,124617.06199999999
318,126264.05600000001
319,126278.04400000002
320,126578.04200000002
321,127241.04500000004
322,126200.04000000008
323,126814.05400000008
324,126409.06800000009
325,125289.07300000009
326,124449.07900000007
327,125505.07500000006
328,125992.07200000007
329,128128.06300000005
330,127329.06800000009
331,127509.06800000009
332,127825.06900000008
333,125756.07500000007
334,127880.06900000005
335,126810.07800000007
336,124802.07700000009
337,127414.08000000007
338,126320.08500000006
339,126877.09600000005
340,126501.09900000007
341,127365.09800000007
342,126762.08800000003
343,126843.07300000003
344,125361.07100000005
345,127042.06900000005
346,126763.06200000003
347,127732.06400000009
348,127862.05300000007
349,125940.07200000004
350,125128.07700000006
351,127693.06800000007
352,124729.06900000003
353,125224.08100000002
354,124539.08300000001
355,124936.07599999997
356,127637.068
357,128771.06800000003
358,128628.05900000001
359,129010.06000000003
360,125929.07400000001
361,127740.07
362,127826.07200000001
363,128373.05400000002
364,130778.04200000007
365,129284.04100000004
366,128704.02000000003
367,133476.0000000001
368,133400.9880000001
369,135038.99800000008
370,135032.01900000012
371,134110.01900000012
372,132201.0380000001
373,132892.0630000001
374,132751.0790000001
375,135041.09400000013
376,133675.1110000001
377,134781.1250000001
378,132832.14600000012
379,132152.14800000013
380,131932.15900000013
381,131744.19700000013
382,128114.1970000001
383,128152.20700000011
384,126907.21700000009
385,127974.24000000006
386,128551.26000000007
387,131839.26600000006
388,129404.28900000008
389,128760.29600000006
390,128739.28000000004
391,130106.29000000005
392,128792.30100000005
393,130824.29600000003
394,131691.29400000005
395,130247.31100000007
396,131976.31300000005
397,135096.31200000012
398,141447.3130000001
399,141377.3350000001
400,141091.34600000014
401,139129.37100000013
402,137620.37800000008
403,137592.4090000001
404,139511.3980000001
405,141731.41200000013
406,146285.4270000001
407,152087.43000000014
408,151884.4220000001
409,144385.4420000001
410,146078.4610000001
411,144596.47400000007
412,143386.46600000007
413,143149.46100000007
414,142884.46300000002
415,143839.46000000005
416,144426.45700000008
417,146649.46000000008
418,144563.44800000006
419,143034.44600000005
420,142411.44300000006
421,142238.45000000004
422,148441.45300000007
423,149566.44500000007
424,150487.45900000006
425,150235.46300000008
426,149263.47900000008
427,146649.4690000001
428,147224.47500000015
429,147140.5921995854
430,146947.57919958542
431,145767.5641995854
432,144229.55219958542
433,145185.5311995854
434,145360.53019958542
435,140486.37100000013
436,138221.38500000015
437,137795.38100000014
438,135744.38100000014
439,134686.37600000016
440,135970.36100000015
441,137890.33000000016
442,137064.30100000012
443,136905.29100000008
444,135150.2900000001
445,137563.27500000008
446,139909.2360000001
447,140121.2350000001
448,139770.2030000001
449,138244.19300000012
450,137987.17700000008
451,138325.1630000001
452,136877.1630000001
453,135886.1560000001
454,138516.13200000007
455,136123.12100000007
456,136305.10400000008
457,138215.0920000001
458,138353.0830000001
459,134193.05600000004
460,133145.03100000002
461,132503.01300000004
462,133193.994
463,132908.98100000003
464,132762.97200000004
465,132824.94600000005
466,130123.93900000006
467,131240.91700000007
468,131033.90000000005
469,128603.88200000004
470,129722.86600000007
471,128041.85400000005
472,126379.85800000007
473,127453.84800000006
474,125183.8450000001
475,126950.83900000008
476,129958.82100000007
477,130886.81600000008
478,129638.81400000007
479,129732.81400000006
480,128922.82100000007
481,129704.82200000007
482,129847.81500000003
483,128974.81000000003
484,131630.80500000002
485,130405.79200000003
486,132513.79500000004
487,133879.80200000005
488,130902.80200000004
489,133837.78500000003
490,133529.77600000004
491,131369.76600000006
492,129768.76700000007
493,130521.77300000009
494,129766.77300000006
495,129365.78800000007
496,128220.79000000008
497,126728.79200000009
498,126206.80400000005
499,123623.79900000006
500,121456.81400000004
501,120593.80300000004
502,118931.80200000004
503,120878.79000000005
504,118397.78300000005
505,119926.77900000002
506,122243.77700000002
507,124067.78700000003
508,121630.79200000003
509,121611.78700000004
510,126078.03718827205
511,125491.02718827204
512,128575.02418827206
513,126684.03018827205
514,128973.03418827205
515,131265.02618827208
516,132143.01818827205
517,135178.01318827207
518,134997.00218827208
519,131254.74000000005
520,129525.73300000007
521,128516.7270000001
522,126623.7260000001
523,127631.71600000009
524,126389.7200000001
525,127239.70900000006
526,128428.70400000009
527,125939.69100000008
528,126797.69300000006
529,125087.68400000007
530,122081.68500000008
531,119885.68100000003
532,117951.66800000002
533,119642.66300000002
534,118868.65600000005
535,120859.66100000008
536,121376.66200000004
537,122301.67100000003
538,121423.66500000007
539,120945.66100000007
540,120777.65400000007
541,120845.65100000011
542,122660.6420000001
543,121705.63900000011
544,124066.6370000001
545,125281.64100000012
546,126563.6490000001
547,127703.6550000001
548,126903.65600000012
549,127923.6540000001
550,126623.64700000008
551,124593.65400000008
552,124478.6560000001
553,125165.64900000009
554,124260.64900000009
555,126035.64400000009
556,124235.6490000001
557,123680.65000000013
558,124915.65300000012
559,122207.6520000001
560,122783.65300000012
561,124548.64800000015
562,123313.64700000013
563,126029.64900000014
564,124959.64700000013
565,126154.65300000011
566,126529.66100000012
567,126274.66400000012
568,123524.67000000011
569,124970.6630000001
570,124915.66400000009
571,123130.67600000008
572,123620.67500000006
573,122775.67000000006
574,125405.67800000006
575,126039.67700000004
576,125224.67900000005
577,127444.67400000007
578,128726.67100000009
579,130155.67700000008
580,129475.67600000006
581,128100.67800000007
582,128010.6840000001
583,127595.6860000001
584,126915.6830000001
585,127620.68100000008
586,129015.67600000012
587,129560.67400000012
588,129936.67900000009
589,126331.68200000009
590,125441.67700000011
591,127596.67500000012
592,125866.67000000011
593,127951.6640000001
594,126616.65100000011
595,126516.65800000011
596,134147.65500000012
597,134627.6530000001
598,134477.65200000012
599,134490.65500000012
600,133878.65700000012
601,131558.66100000014
602,131978.66500000015
603,130434.66900000015
604,134799.66600000014
605,134524.67400000014
606,134934.6750000001
607,136860.68100000013
608,143415.67900000012
609,141379.6920000001
610,141484.6910000001
611,134074.69700000013
612,133484.7050000001
613,134101.7000000001
614,133856.7090000001
615,132546.7120000001
616,134357.7140000001
617,133812.7170000001
618,134077.7180000001
619,130362.71900000007
620,130532.72100000006
