time,community
0,1265.3209999999972
1,2363.3109999999992
2,2851.303000000007
3,3544.3030000000094
4,4034.2960000000135
5,4517.291000000013
6,5387.290000000012
7,5862.290000000013
8,6742.284000000017
9,7852.279000000015
10,10052.281000000015
11,9592.283000000012
12,9462.283000000012
13,9129.28100000001
14,9539.278000000011
15,9819.277000000011
16,9559.275000000009
17,9799.278000000008
18,9594.274000000005
19,9314.268000000004
20,8299.259000000002
21,9704.255000000001
22,10889.253000000004
23,12489.247000000003
24,13754.243000000002
25,13679.242000000002
26,13631.242000000002
27,13501.238000000001
28,13954.242
29,15374.234
30,14164.238
31,14097.234
32,13409.238000000001
33,12492.235
34,11352.239000000001
35,11497.238000000001
36,11427.24
37,11917.233999999999
38,11887.237
39,11474.239
40,12792.237
41,12077.237
42,11427.238
43,10957.233
44,10602.225
45,11430.217
46,11932.218
47,12372.216
48,11537.210000000001
49,12527.206
50,12082.208
51,12665.206
52,13660.2
53,14477.205000000002
54,14860.203000000003
55,15080.198000000002
56,14490.200000000003
57,14310.199000000002
58,14720.196000000002
59,14145.190000000002
60,14125.188000000002
61,13775.186000000003
62,13100.187000000004
63,11300.191000000003
64,11500.188000000004
65,10657.192000000005
66,10532.192000000005
67,10138.190000000004
68,10075.189000000006
69,9720.183000000005
70,10340.180000000004
71,10910.176000000005
72,10460.182000000004
73,10453.179000000004
74,9778.176000000005
75,10553.170000000006
76,11138.164000000004
77,11918.158000000005
78,11738.155000000004
79,12506.148000000005
80,12861.146000000004
81,12666.142000000003
82,13636.142000000003
83,13823.143000000004
84,14203.146000000004
85,13836.146000000004
86,12248.151000000003
87,11663.152000000004
88,12078.154000000004
89,12486.150000000003
90,11706.151000000003
91,10916.154000000004
92,10366.152000000004
93,10971.149000000003
94,10776.151000000003
95,9991.153000000004
96,11173.151000000003
97,11168.152000000004
98,10758.156000000004
99,9773.158000000005
100,10788.155000000004
101,12173.151000000003
102,12168.152000000004
103,11793.151000000003
104,11213.153000000004
105,11795.155000000004
106,11595.155000000004
107,11985.156000000004
108,12160.158000000003
109,13376.154000000004
110,13576.153000000004
111,13576.153000000004
112,13186.153000000004
113,13206.152000000004
114,13591.155000000004
115,14356.155000000004
116,13591.154000000004
117,12773.155000000004
118,13188.153000000004
119,13588.151000000003
120,13185.152000000004
121,12258.149000000003
122,12843.150000000003
123,13248.147000000003
124,12681.145000000002
125,11706.145000000002
126,12086.147000000003
127,12686.146000000004
128,11711.147000000004
129,10351.146000000004
130,10531.147000000004
131,11671.151000000002
132,12243.152000000002
133,12030.154000000002
134,11450.153000000004
135,11040.155000000002
136,12237.150000000003
137,12860.147000000004
138,13045.148000000003
139,14628.144000000004
140,15436.140000000003
141,15236.141000000003
142,14861.138000000003
143,15266.137000000002
144,15851.138000000003
145,16821.138000000003
146,15646.139000000003
147,15053.140000000003
148,15476.138000000003
149,14896.139000000003
150,13678.142000000003
151,12726.141000000003
152,12126.142000000003
153,11516.145000000004
154,11521.145000000004
155,10556.143000000004
156,10521.146000000004
157,9918.149000000005
158,9953.145000000004
159,8993.143000000004
160,9183.144000000002
161,10715.147000000004
162,11883.147000000004
163,11460.152000000006
164,10870.153000000006
165,10306.152000000006
166,11086.152000000006
167,11456.153000000006
168,11261.153000000006
169,13216.152000000006
170,14786.150000000005
171,15181.147000000004
172,15201.145000000004
173,15796.145000000004
174,16163.146000000004
