time,community
0,1450.3239999999987
1,2885.314000000002
2,4150.303000000007
3,4915.294000000007
4,5609.294000000008
5,6280.287000000011
6,6925.284000000011
7,7565.28600000001
8,7998.28700000001
9,8488.28500000001
10,9768.28300000001
11,9293.27700000001
12,9378.271000000008
13,9663.267000000007
14,9768.264000000005
15,9354.267000000005
16,9397.265000000007
17,9407.260000000006
18,9239.261000000004
19,9134.259000000004
20,7696.266000000001
21,8629.265000000003
22,10274.256000000001
23,10799.250000000002
24,11139.250000000002
25,11999.245
26,12199.246000000001
27,12452.242000000002
28,12627.235
29,13057.229
30,13432.233
31,13882.232000000002
32,12907.236
33,12862.237000000001
34,13127.238000000001
35,12547.241000000002
36,12667.245000000003
37,13197.246000000003
38,14452.241000000002
39,14222.238000000001
40,14292.234000000002
41,13905.235000000002
42,13500.240000000002
43,13855.241000000004
44,13660.238000000003
45,13470.232000000004
46,13565.229000000003
47,13370.226000000002
48,12270.229000000003
49,12010.225000000002
50,11315.229000000003
51,11495.227000000003
52,11045.225000000004
53,11045.226000000004
54,10910.223000000004
55,10687.226000000004
56,9902.218000000004
57,9685.213000000003
58,9850.209000000004
59,10105.206000000004
60,10893.195000000003
61,11838.190000000004
62,11003.191000000004
63,10358.194000000005
64,10053.193000000003
65,10808.190000000002
66,11263.186000000002
67,11303.178000000004
68,12258.176000000003
69,12463.169000000004
70,12390.171000000004
71,12134.171000000004
72,13267.168000000003
73,14022.163000000004
74,14797.159000000003
75,14007.157000000003
76,13940.160000000005
77,14125.159000000005
78,13350.158000000005
79,12785.152000000004
80,11385.152000000004
81,10980.148000000005
82,10977.149000000005
83,10964.151000000005
84,10994.149000000005
85,11364.153000000006
86,11000.155000000006
87,10390.158000000003
88,11160.161000000004
89,10975.159000000005
90,12145.159000000003
91,13520.159000000003
92,12150.160000000003
93,13110.157000000005
94,13095.161000000004
95,13500.160000000003
96,13507.160000000005
97,13737.156000000004
98,13155.157000000005
99,13150.160000000005
100,13555.159000000005
101,13340.161000000006
102,14135.161000000006
103,13960.159000000005
104,13980.159000000005
105,14005.154000000004
106,14015.151000000003
107,13632.151000000003
108,13247.149000000003
109,13070.148000000003
110,11310.149000000003
111,10925.149000000003
112,11510.147
113,11315.148000000003
114,11300.151000000002
115,11885.152000000002
116,12285.150000000001
117,12265.153000000002
118,13245.152000000002
119,13260.149000000001
120,14435.148000000003
121,15015.148000000003
122,13845.148000000003
123,14050.148000000003
124,13848.148000000001
125,14648.144000000002
126,14053.144000000002
127,13843.146000000002
128,14033.145000000002
129,13645.146000000002
130,14633.146000000002
131,14643.146000000002
132,15028.147000000003
133,15423.146000000002
134,15048.144000000002
135,14055.146000000002
136,14230.148000000003
137,14435.146000000002
138,13260.147000000003
139,14040.147000000003
140,12278.148000000003
141,12458.148000000003
142,13401.151000000003
143,13206.153000000004
144,13791.153000000004
145,13971.154000000006
146,13751.157000000005
147,14581.150000000005
148,15546.150000000005
149,14981.148000000005
150,15763.147000000004
151,15950.148000000005
152,14205.146000000004
153,14820.142000000003
154,15428.139000000003
155,15808.140000000003
156,15598.143000000004
157,14798.145000000004
158,14618.143000000004
159,13848.143000000004
160,14646.141000000003
161,14461.139000000003
162,15046.139000000003
163,14471.139000000003
164,13693.139000000003
165,13293.139000000003
166,13483.140000000003
167,13291.141000000003
168,12706.141000000003
169,13871.141000000003
170,12311.142000000003
171,12893.142000000003
172,13683.140000000003
173,13133.142000000003
174,13353.140000000003
175,13535.141000000003
176,13930.141000000003
177,14510.140000000003
178,15435.146000000004
179,15648.144000000004
180,16813.146000000004
181,16661.141000000003
182,15486.142000000003
183,16276.141000000003
184,17876.137000000002
185,17686.137000000002
186,16511.138000000003
187,15868.145000000004
188,15481.144000000004
189,13691.147000000004
190,13903.145000000004
191,13696.147000000004
192,14311.145000000004
193,13703.149000000005
194,13118.147000000004
195,12948.141000000003
196,13138.142000000003
197,13163.139000000005
198,12148.142000000005
199,12548.136000000004
200,11573.134000000004
201,12583.128000000002
202,12973.128000000002
203,13138.131000000003
204,12538.134000000004
205,13323.133000000003
206,13926.130000000003
207,14131.127000000002
208,14848.134000000004
209,15235.136000000004
210,16808.135000000002
211,16198.139000000005
212,14620.142000000003
213,15595.140000000005
214,16378.140000000005
215,16383.138000000004
216,16355.143000000005
217,16357.143000000005
218,16570.139000000003
219,15390.138000000004
220,15200.136000000004
221,16173.136000000004
222,16183.135000000004
223,15963.137000000004
224,16171.135000000004
225,14798.136000000006
226,14616.134000000005
227,15001.135000000004
228,14223.132000000003
229,14056.127000000002
230,13856.127000000002
231,13631.129000000003
232,14641.126000000002
233,14836.125000000002
234,14636.125000000002
