time,community
0,1865.3119999999976
1,3875.30700000001
2,6158.298000000018
3,7818.29100000002
4,9907.28600000002
5,11172.285000000018
6,12662.278000000017
7,14692.269000000015
8,15752.269000000015
9,17207.265000000018
10,17692.265000000018
11,16832.26700000001
12,17093.25400000001
13,16270.255000000006
14,15175.254000000008
15,13785.254000000006
16,13502.252000000008
17,12312.248000000005
18,12267.248000000005
19,11312.251000000006
20,11537.253000000004
21,10887.251000000004
22,9841.245000000003
23,9951.237000000003
24,9561.234000000002
25,9286.230000000001
26,9171.223
27,9147.22
28,8337.223999999998
29,8152.221999999998
30,9312.222
31,10532.224
32,12112.221
33,12864.221
34,14389.226
35,13104.227
36,14654.224
37,15467.225
38,15470.229000000001
39,16375.228000000001
40,16405.227
41,15415.227
42,16765.228000000003
43,16000.227000000003
44,15505.222000000002
45,15495.222000000002
46,15155.224000000002
47,14405.216000000002
48,14715.219000000003
49,13697.222000000002
50,14167.215000000004
51,14337.211000000003
52,13692.211000000003
53,13832.210000000005
54,13800.204000000003
55,12955.199000000002
56,12540.196000000004
57,12514.199000000004
58,11307.196000000004
59,11605.199000000004
60,11830.195000000005
61,11695.192000000005
62,12213.191000000004
63,11598.186000000003
64,12593.182000000003
65,12268.184000000003
66,13448.172000000002
67,12788.170000000002
68,12583.166000000003
69,13533.163000000002
70,13958.156000000003
71,13553.157000000001
72,14343.158000000003
73,14878.152000000002
74,13863.152000000004
75,14428.151000000003
76,14013.152000000004
77,13173.152000000004
78,13928.150000000003
79,13335.147000000004
80,13913.144000000004
81,13748.139000000003
82,14138.140000000003
83,13575.140000000003
84,12785.143000000004
85,11603.147000000004
86,11413.146000000004
87,11000.151000000005
88,10630.151000000005
89,11830.147000000004
90,11643.149000000005
91,11453.150000000005
92,12033.151000000005
93,12228.149000000005
94,12598.152000000004
95,13013.149000000005
96,14378.150000000005
97,14193.148000000005
98,13788.152000000004
99,13378.156000000004
100,12583.158000000005
101,12598.156000000004
102,13188.157000000003
103,13575.159000000003
104,13380.159000000003
105,13183.160000000003
106,12988.160000000003
107,12003.162000000004
108,11998.164000000004
109,11798.166000000005
110,13368.162000000004
111,12808.159000000003
112,13203.158000000005
113,12833.157000000005
114,12423.159000000005
115,12248.157000000005
116,12433.158000000005
117,12856.154000000004
118,12066.156000000004
119,13826.156000000004
120,13626.157000000005
121,13236.157000000005
122,13631.156000000004
123,13436.156000000004
124,14236.153000000004
125,13456.154000000004
126,14451.153000000004
127,14056.152000000004
