time,community
0,3330.424000000022
1,4010.4230000000216
2,6100.41200000003
3,7218.409000000028
4,9318.395000000026
5,10414.385000000024
6,10671.385000000022
7,12338.373000000021
8,13358.378000000019
9,14233.37500000002
10,16843.37600000002
11,17753.375000000022
12,16988.375000000015
13,17028.37200000001
14,16323.36800000001
15,16403.36500000001
16,17203.358000000007
17,16969.356000000007
18,17184.353000000006
19,16881.353000000006
20,13958.355000000005
21,13518.355000000003
22,14656.352000000003
23,15819.343
24,16558.333000000002
25,17378.326
26,18525.324
27,18156.319
28,18581.321
29,19571.314999999995
30,19959.321999999996
31,20887.314
32,20267.323
33,19887.324
34,20672.326
35,20072.327999999998
36,19037.323999999997
37,19364.328999999998
38,19407.326999999997
39,17915.334000000003
40,18260.326
41,18440.328
42,18080.316000000003
43,17290.311
44,16450.311
45,17765.303000000004
46,18150.293
47,18385.294
48,18655.291
49,19175.28
50,17767.288
51,17192.291
52,16807.286
53,17951.284000000003
54,17484.286
55,16234.285000000003
56,16837.283
57,15353.281
58,15800.273000000001
59,15800.268000000002
60,16345.269000000002
61,17205.252000000004
62,18340.246000000003
63,17670.241
64,18035.242000000002
65,19245.238
66,19385.236000000004
67,20343.234000000004
68,19503.233000000004
69,19405.237000000005
70,19355.232000000007
71,19320.227000000006
72,18943.219
73,18823.229000000003
74,19443.221
75,19033.22300000001
76,19388.22500000001
77,19188.22200000001
78,19613.214000000007
79,19001.211000000007
80,18593.208000000006
81,19208.20100000001
82,18990.205000000005
83,18810.204000000005
84,18653.200000000004
85,17673.203000000005
86,18331.198000000004
87,17961.198000000004
88,17196.196000000004
89,17206.199000000004
90,17796.200000000004
91,17583.202000000005
92,18560.203000000005
93,18425.199000000004
94,18230.202000000005
95,18795.206000000006
96,18022.206000000002
97,18045.206000000002
98,18448.206000000006
99,19228.205000000005
100,19408.210000000006
101,20023.207000000006
102,19866.204000000005
103,19881.205000000005
104,19861.210000000006
105,18929.207000000006
106,20089.206000000006
107,19904.204000000005
108,20879.204000000005
109,19704.205000000005
110,18962.205
111,18547.206000000006
112,18577.202000000005
113,18215.201
114,18212.201000000005
115,18987.201
116,19397.197
117,18984.198
118,18604.198
119,19265.194000000003
120,19834.194000000003
121,21212.195000000003
122,21597.196000000004
123,21204.195000000003
124,21207.193000000003
125,21425.191000000003
126,20865.189000000002
127,20410.195000000003
128,20803.193000000003
129,20818.194000000003
130,21198.196000000004
131,21203.197000000004
132,21208.196000000004
133,20458.195000000003
134,21040.196000000004
135,19153.195000000003
136,19933.193000000007
137,19553.191000000006
138,19492.197000000004
139,19297.197000000007
140,19115.195000000007
141,18135.194000000003
142,18720.195000000003
143,18945.192000000003
144,19175.187000000005
145,19353.185000000005
146,18583.183
147,18183.184
148,17581.186
149,16968.188000000002
150,16988.184
151,17958.185
152,17968.184
153,17780.184
154,17013.184
155,18188.184
156,19178.180000000004
157,19598.176000000003
158,20193.175000000003
159,20573.177000000003
160,21730.181000000004
161,22490.184000000005
162,22875.186000000005
163,21982.196000000007
164,22187.195000000007
165,21972.196000000007
166,21362.20100000001
167,21397.198000000008
168,21382.199000000008
169,21200.198000000008
170,21390.200000000008
171,20415.199000000008
172,20987.198000000008
173,20987.200000000008
174,21774.197000000007
175,19755.203000000005
176,18965.203
177,19155.203000000005
178,18575.199
179,18000.199
180,17225.198
181,17985.199
182,17815.196000000004
183,17800.197
184,17390.198000000004
185,18545.198
186,18362.197000000004
187,18942.194000000003
188,19310.198000000004
189,19700.197000000004
190,20280.198000000004
191,21085.196000000004
192,21465.198000000004
193,20280.200000000004
194,21650.199000000004
195,21597.205000000005
196,22215.199000000004
197,22220.198000000004
198,22985.200000000004
199,22975.198000000004
200,23142.202000000005
201,22319.208000000006
202,22101.206000000006
203,22114.205000000005
204,22091.209000000006
205,20344.209000000006
206,19769.208000000006
207,19359.209000000006
208,18795.210000000003
209,18230.207000000002
210,18435.202000000005
211,19025.199000000004
212,18650.200000000004
213,19665.197000000004
214,19060.198000000004
215,19835.198000000008
216,20045.199000000008
217,20635.199000000008
218,21012.199000000008
219,21807.198000000008
220,22194.198000000008
221,21589.197000000007
222,22174.196000000007
223,21759.199000000004
224,22711.202000000005
225,22351.199000000004
226,22936.198000000004
227,22911.201000000005
228,23230.205000000005
229,23225.205000000005
230,22448.204000000005
231,22450.202000000005
232,21875.204000000005
233,21720.199000000004
234,21373.192000000006
235,20210.187000000005
236,19410.188000000006
237,19400.186000000005
238,19815.186000000005
239,19015.189000000006
240,19410.190000000006
241,19975.190000000006
242,20365.187000000005
243,21396.185000000005
244,21581.185000000005
245,23538.183000000005
246,23532.191000000006
247,24143.188000000006
248,24755.187000000005
249,24370.189000000006
250,25333.191000000006
251,24941.200000000008
252,25589.193000000007
253,24802.192000000006
254,25582.191000000006
255,25199.188000000006
256,25588.189000000006
257,25187.194000000007
258,24830.193000000007
