time,community
0,2696.4600000000028
1,5229.448000000016
2,6377.4440000000195
3,9085.43100000002
4,11750.420000000022
5,13580.419000000022
6,14863.417000000025
7,15878.419000000022
8,18128.41600000003
9,19132.417000000023
10,22279.416000000023
11,21544.412000000022
12,22512.39800000002
13,21349.40000000002
14,20849.39500000002
15,17859.396000000015
16,18599.393000000015
17,19715.382000000012
18,18332.38600000001
19,17952.38600000001
20,15827.387000000006
21,15527.387000000004
22,15292.378
23,15702.367999999999
24,14985.359999999997
25,14960.358999999999
26,14283.350999999999
27,13193.344
28,12943.336999999998
29,13830.328999999998
30,15023.329999999996
31,15788.332999999997
32,15213.333999999995
33,16903.335
34,17086.338
35,17206.335
36,17128.342
37,17241.337
38,17186.342
39,18404.328999999998
40,21134.329999999998
41,21184.331
42,21641.332
43,21931.325
44,22291.323
45,22176.316
46,22301.314000000002
47,23579.312
48,22619.314000000002
49,21759.307
50,18154.313000000006
51,17874.31
52,18044.308
53,16674.309
54,15999.308
55,16416.304000000004
56,16198.301000000001
57,14671.297000000002
58,15871.289
59,16211.282000000001
60,16696.272
61,16561.266000000003
62,16556.259000000005
63,17249.259000000005
64,17459.250000000004
65,16584.253000000004
66,16579.250000000004
67,16944.245000000003
68,16159.239000000003
69,17419.239000000005
70,17999.242000000006
71,19486.243000000006
72,20664.234000000004
73,20979.232000000007
74,20554.230000000007
75,20977.226000000006
76,20777.217000000004
77,21579.209000000006
78,20596.210000000003
79,19201.209000000006
80,18966.204000000005
81,17404.200000000004
82,16857.198000000004
83,17252.197000000004
84,16472.199000000004
85,16687.198000000004
86,16092.201000000003
87,13927.204000000003
88,14927.201000000003
89,15097.206000000004
90,15472.209000000003
91,15687.206000000002
92,15877.208000000002
93,17107.203
94,17309.205000000005
95,15500.211000000003
96,15786.207000000004
97,16776.204000000005
98,16156.209000000004
99,23641.204000000005
100,23849.205000000005
101,24609.208000000002
102,26156.210000000003
103,25364.213000000003
104,25774.211000000003
105,26939.214000000004
106,27311.217000000004
107,27701.217000000004
108,21854.213000000003
109,20497.215000000004
110,20289.216000000004
111,19729.213000000003
112,18949.213000000003
113,19757.210000000003
114,18402.210000000003
115,18407.210000000003
116,17842.208000000002
117,16672.206000000002
118,16659.207000000002
119,16256.209000000003
120,16261.209000000003
121,16423.209000000006
122,17218.207000000006
123,18014.206000000002
124,18404.207000000002
125,17239.206000000006
126,17064.205000000005
127,17482.204000000005
128,17092.204
129,19037.204
130,18847.204
131,20032.201
132,20637.2
133,20467.197
134,20472.198
135,20632.204
136,21032.203
137,21597.202
138,20222.204
139,19437.209000000003
140,19232.210000000003
141,19024.212000000003
142,18254.212000000003
143,17834.218000000004
144,17859.213000000003
145,18614.216000000004
146,17652.215000000004
147,16309.214000000004
148,17484.213000000003
149,17879.212000000003
150,17249.217000000004
151,18234.215000000004
152,19444.210000000003
153,21019.210000000003
154,19242.216000000004
155,18284.214000000004
156,19084.211000000003
157,19717.205000000005
158,18369.204000000005
159,19714.205000000005
160,18742.207000000006
161,19707.206000000006
162,20680.206000000006
163,20675.205000000005
164,20510.204000000005
165,20505.205000000005
166,20880.205000000005
167,21465.202000000005
168,19490.204000000005
169,18890.204000000005
