time,community
0,3654.740000000012
1,6265.720000000041
2,8685.712000000043
3,10661.701000000045
4,12696.69000000004
5,14696.675000000034
6,15716.665000000034
7,17120.65400000004
8,18498.649000000038
9,20883.636000000035
10,30900.636000000028
11,29840.628000000026
12,29310.611000000023
13,28644.60900000002
14,28589.605000000018
15,28255.597000000016
16,28132.597000000012
17,27697.59600000001
18,27838.58600000001
19,27213.58400000001
20,23361.587000000007
21,20480.58200000001
22,21590.57600000001
23,22431.568000000007
24,23636.55300000001
25,25385.54100000001
26,28468.532000000007
27,29697.520000000008
28,30162.513000000003
29,31076.499000000003
30,30708.505000000005
31,31194.504000000008
32,32224.50600000001
33,34248.50400000001
34,33608.51400000001
35,33118.520000000004
36,31992.53000000001
37,32918.527
38,33153.533
39,33889.528000000006
40,35276.531
41,32936.528000000006
42,30931.52700000001
43,30421.52500000001
44,30211.517000000007
45,30204.510000000006
46,28036.502000000008
47,27337.49600000001
48,26930.492000000006
49,26635.497000000003
50,26322.498000000003
51,27357.502000000004
52,27872.499000000003
53,27974.489000000005
54,28183.482000000004
55,27330.486000000004
56,27832.483
57,28752.474000000002
58,28124.472
59,27312.457000000002
60,27470.45
61,27485.434000000005
62,28385.423
63,28547.415000000005
64,28867.406
65,27656.412000000004
66,28026.411000000004
67,25586.405000000006
68,26201.4
69,27321.396000000004
70,27129.394000000008
71,27346.385000000006
72,27508.38100000001
73,27273.371000000006
74,26661.367000000006
75,26216.36400000001
76,25988.359000000008
77,26923.355000000007
78,26875.35500000001
79,28135.342000000008
80,28580.327000000005
81,29730.323000000008
82,28771.327000000005
83,27806.325000000004
84,28986.324000000004
85,29579.325000000004
86,28784.329000000005
87,27774.338000000007
88,27394.340000000007
89,26457.340000000007
90,27247.340000000007
91,25462.347000000005
92,26244.345000000005
93,27798.346000000005
94,27014.348000000005
95,27201.349000000006
96,28029.343000000004
97,27259.346000000005
98,27639.349000000006
99,28625.345000000005
100,29045.344000000005
101,30770.353000000006
102,32178.351000000006
103,32188.354000000003
104,31790.358000000004
105,30246.359000000008
106,30086.355000000007
107,30483.352000000006
108,29508.355000000003
109,30113.349000000002
110,28752.349000000002
111,28820.342
112,28810.342
113,28657.337000000003
114,28840.339
115,29657.337
116,28880.339000000004
117,29455.339
118,30245.338000000003
119,31035.335
120,31195.340000000004
121,29668.336000000003
122,28333.333000000002
123,28173.326000000005
124,28128.333
125,29313.332000000006
126,30698.329000000005
127,31488.328000000005
128,31673.329000000005
129,31623.334000000006
130,31993.336000000007
131,33940.336
132,35105.333
133,35877.336
134,35515.33399999999
135,33555.335999999996
136,33132.338
137,32200.333000000002
138,32193.336000000003
139,30388.342000000004
140,29203.343000000004
141,28808.345000000005
142,30555.345000000005
143,29763.346000000005
144,29183.347000000005
145,28588.348000000005
146,29140.351000000006
147,29889.350000000006
148,30289.349000000006
149,31899.339000000004
150,31895.340000000004
151,31085.346000000005
152,28545.351000000006
153,29385.345000000005
154,30725.346000000005
155,32060.354000000003
156,31483.354000000007
157,33203.353
158,38065.35400000001
159,39445.351
160,39232.354
161,39817.354
162,40004.35599999999
163,40589.357
164,39844.353
165,39284.349
166,39755.34
167,38027.342000000004
168,37875.338
