time,community
0,3428.7430000000168
1,5402.732000000037
2,9061.704000000045
3,10671.694000000047
4,12259.68200000004
5,13576.672000000039
6,14989.662000000037
7,16950.65300000004
8,17525.646000000037
9,18805.640000000036
10,23976.62000000003
11,23059.61000000003
12,21439.606000000025
13,21619.60300000002
14,21186.60500000002
15,20741.605000000018
16,20421.607000000018
17,19638.611000000015
18,20897.60900000001
19,21288.61100000001
20,17696.612000000005
21,21373.607000000007
22,23572.589000000007
23,24602.567000000003
24,26292.556000000004
25,28890.545000000002
26,30366.535
27,31884.523
28,33030.512
29,33481.50099999999
30,34246.505999999994
31,32532.512000000002
32,30657.533000000003
33,31828.532
34,30788.536000000004
35,28931.533000000003
36,29041.538000000004
37,28841.54500000001
38,28006.548000000006
39,28434.548000000006
40,30404.536000000004
41,30574.527000000002
42,31312.527000000002
43,30343.529000000002
44,29676.528000000002
45,28939.527000000006
46,28624.517000000003
47,29034.510000000002
48,30820.499000000003
49,31460.487
50,29245.482000000004
51,28675.469000000005
52,27713.462000000003
53,26613.462000000003
54,27943.454
55,28870.447000000004
56,28010.444000000003
57,27035.443000000003
58,27617.438000000006
59,27637.431000000004
60,27979.436000000005
61,27657.435000000005
62,28605.422000000006
63,28673.424000000006
64,27927.427000000007
65,27427.413000000008
66,28497.411000000007
67,29793.408000000007
68,27816.407000000007
69,27846.395000000008
70,28816.393000000007
71,29561.389000000003
72,27516.388000000006
73,27061.38200000001
74,27096.38500000001
75,26393.39100000001
76,27346.380000000012
77,27189.36500000001
78,27604.358000000007
79,27229.349000000006
80,26684.33600000001
81,26744.323000000008
82,26864.33500000001
83,26521.335000000006
84,27088.337000000007
85,28071.338000000007
86,26176.332000000002
87,24441.328000000005
88,25634.327000000005
89,26184.333000000006
90,26359.335000000006
91,25571.339000000007
92,26946.337000000007
93,27411.335000000006
94,26636.340000000007
95,25848.34500000001
96,27058.341000000008
97,29013.342000000008
98,29687.337000000007
99,29462.342000000008
100,29655.34500000001
