time,community
0,3463.659000000027
1,7007.635000000034
2,8415.62000000003
3,10292.605000000029
4,10845.609000000028
5,12672.594000000028
6,14047.599000000027
7,14500.594000000026
8,15433.595000000025
9,17118.590000000026
10,20597.578000000027
11,17807.576000000023
12,18134.57900000002
13,18622.566000000024
14,19860.556000000022
15,19745.55500000002
16,19886.553000000014
17,20670.548000000017
18,21812.538000000015
19,20740.54500000001
20,17919.54500000001
21,20541.544
22,22891.531000000006
23,22706.528000000002
24,23901.516000000007
25,26421.499000000007
26,27324.49300000001
27,28892.48900000001
28,28852.485000000004
29,29547.479000000007
30,30425.486000000008
31,30961.496000000003
32,28339.509000000005
33,29757.504000000008
34,30482.498000000003
35,29823.504000000004
36,29905.518000000004
37,28840.525000000005
38,28457.523000000005
39,29840.515000000007
40,28743.508000000005
41,27903.506
42,29803.506
43,30255.499000000003
44,30360.492000000002
45,28255.488000000005
46,27932.484000000004
47,26747.479000000003
48,27155.480000000003
49,25925.482000000004
50,25635.467000000004
51,25695.466000000004
52,24773.466000000004
53,24263.461000000003
54,23738.47100000001
55,25848.471000000005
56,25663.467000000008
57,25740.46300000001
58,25979.46300000001
59,25806.45100000001
60,26534.45000000001
61,27324.44200000001
62,25699.43900000001
63,25587.43600000001
64,24845.42800000001
65,24470.41900000001
66,25368.40800000001
67,24748.39800000001
68,24555.396000000008
69,24828.39600000001
70,24815.38700000001
71,23943.378000000008
72,25098.378000000008
73,26208.373000000007
74,26091.361000000008
75,25011.357000000007
76,24193.355000000007
77,25726.351000000006
78,26061.340000000007
79,26531.339000000007
80,25776.325000000004
81,26604.319000000003
82,25624.322000000007
83,25062.321000000007
84,25477.317000000006
85,28827.311000000005
86,29207.314000000006
87,28622.315000000006
88,28832.315000000002
89,29032.315000000002
90,29250.314000000006
91,28670.317000000006
92,27747.314000000006
93,28126.313000000006
94,28924.314000000006
95,27116.323000000008
96,27286.325000000008
97,27288.323000000008
98,27486.32700000001
99,28674.318000000003
100,28874.321000000004
101,28104.321000000004
102,29902.318000000003
103,30292.320000000003
104,29525.323000000004
105,28927.324000000004
106,28164.321000000004
107,28924.322000000004
108,27544.324000000004
109,27357.323000000004
110,26159.327000000005
111,27595.323000000004
112,25835.325000000004
113,26247.323000000004
114,26062.327000000005
115,27972.333000000006
116,29142.331000000006
117,30307.328000000005
118,29912.330000000005
119,30262.333000000006
120,30855.333000000006
121,30060.337000000007
122,29651.336000000007
123,29966.34800000001
124,29566.35300000001
125,29978.348000000005
126,30206.344000000005
127,29642.341000000004
128,30627.340000000007
129,32007.337000000007
130,31653.333000000006
131,30278.330000000005
132,31283.329000000005
133,30716.326000000005
134,30303.329000000005
135,26613.331000000006
136,26010.334000000006
137,25595.339000000007
138,25038.334000000006
