time,community
0,3440.6970000000065
1,6219.682000000034
2,7545.672000000031
3,9273.659000000036
4,10618.654000000035
5,12568.642000000034
6,13868.635000000033
7,15168.62200000003
8,16293.623000000029
9,18245.618000000028
10,22939.612000000026
11,21404.613000000023
12,21699.60600000002
13,20823.61000000002
14,20381.605000000018
15,19973.602000000017
16,20142.584000000013
17,19722.58200000001
18,20231.58200000001
19,19081.584000000006
20,15870.582000000006
21,18803.57900000001
22,19308.569000000007
23,21989.558000000008
24,23511.553000000007
25,24897.549000000006
26,26724.538
27,31112.524
28,31195.521
29,32440.512
30,32701.514000000003
31,31074.518000000004
32,30949.526
33,30439.533
34,31184.523
35,30829.515000000003
36,30529.519
37,27860.534000000003
38,27970.525
39,28405.524000000005
40,28545.521000000004
41,29070.525000000005
42,28090.520000000008
43,27603.507000000005
44,27108.502000000004
45,26198.501000000004
46,26618.487000000005
47,27183.477000000006
48,27898.475000000006
49,27723.480000000003
50,26663.479000000003
51,26296.484000000004
52,26216.480000000003
53,26016.485
54,24161.48800000001
55,25261.480000000007
56,24018.478000000006
57,24576.465000000007
58,24431.462000000007
59,23511.45100000001
60,24814.438000000006
61,25041.428000000007
62,24464.42100000001
63,25459.40600000001
64,26164.39800000001
65,25284.39900000001
66,27046.390000000007
67,26048.38700000001
68,26266.38200000001
69,27884.373000000007
70,28654.359000000008
71,28407.353000000006
72,34040.342000000004
73,33120.342000000004
74,32242.340000000007
75,32024.334000000006
76,31409.335000000006
77,32994.334
78,33329.32900000001
79,32139.324000000008
80,31002.315000000006
81,31387.305000000008
82,31774.304000000007
83,31784.304000000007
84,32039.299000000006
85,32427.301000000007
86,26369.302000000007
87,25599.308000000005
88,26417.305000000008
89,26417.307000000004
90,27817.307000000004
91,28189.308000000005
92,28404.305000000004
93,29129.310000000005
94,30539.306000000004
95,30536.308000000005
96,30531.312
97,29521.318000000007
98,28739.317000000006
99,28539.323000000008
100,29572.319000000007
101,29167.322000000004
102,28747.327000000005
103,27947.331000000006
104,26967.333000000006
105,27160.335000000003
106,28127.336000000007
107,28938.333000000006
108,29280.337000000007
109,28530.334000000006
110,26803.333000000006
111,27996.332000000006
112,28970.332000000006
113,28026.329000000005
114,28254.326000000005
115,27822.332000000006
116,27262.326000000005
117,27262.325000000004
118,27602.332000000006
119,28802.329000000005
120,29377.330000000005
121,28202.331000000006
122,28230.326000000005
123,29192.327000000005
124,29207.327000000005
125,29277.320000000003
126,29092.318000000003
127,27704.321000000007
128,28241.325000000004
129,28459.322000000004
130,29402.326000000005
131,29775.329000000005
132,29002.328000000005
133,28297.323000000004
134,28287.323000000004
135,27489.323000000004
136,29631.324000000004
137,30555.328000000005
138,31555.325000000004
139,30782.324000000004
140,30446.320000000003
141,30846.319000000003
142,31441.317
143,30671.313000000002
144,31251.311
145,31626.314000000002
146,29896.312000000005
147,30922.308000000005
148,32507.306000000004
149,33704.3
150,34289.301999999996
151,32387.303000000004
152,32062.297000000002
153,31677.299000000003
154,30877.305000000004
155,32067.302000000003
156,31072.305000000004
157,30125.302000000003
158,30114.302000000003
159,29484.311000000005
160,29699.308000000005
161,31059.307000000004
162,30849.306000000004
163,29529.303000000004
