time,community
0,5333.696000000032
1,9213.68900000005
2,13097.67400000005
3,16210.667000000047
4,19895.651000000045
5,22569.646000000048
6,25879.640000000043
7,28324.64100000004
8,31912.629000000037
9,34414.62699999999
10,36034.623999999996
11,35829.613
12,33992.61200000001
13,32920.606000000014
14,32300.599000000017
15,27005.603000000014
16,26270.604000000014
17,25662.605000000014
18,23791.59200000002
19,22847.586000000014
20,23914.576000000012
21,22637.56500000001
22,23214.551000000003
23,22308.546000000006
24,21382.540000000005
25,20362.522000000008
26,19867.516000000007
27,20233.502000000008
28,20716.495000000006
29,20766.489000000005
30,22376.492000000006
31,23710.492000000006
32,24138.50500000001
33,26391.504000000008
34,26909.513000000006
35,28667.511000000006
36,30897.517000000003
37,30365.516000000007
38,32065.51400000001
39,32898.512
40,32755.510000000006
41,33270.512
42,34075.503
43,33015.501
44,33635.492999999995
45,31830.489
46,31320.484000000004
47,30638.476000000002
48,29863.476000000002
49,28880.471000000005
50,30382.461000000003
51,29182.462000000003
52,28614.469000000005
53,26637.467000000008
54,25797.463000000007
55,24668.45600000001
56,23281.45500000001
57,23526.444000000007
58,24271.432000000008
59,23181.43400000001
60,24548.42200000001
61,25161.411000000007
62,24566.407000000007
63,25641.40500000001
64,25995.39400000001
65,26200.38900000001
66,27342.39100000001
67,28227.38700000001
68,27827.38700000001
69,29790.37600000001
70,29443.36700000001
71,27645.36000000001
72,28596.35600000001
73,28223.34500000001
74,29606.336000000007
75,30988.333000000006
76,30376.331000000006
77,28721.32800000001
78,28871.33300000001
79,28389.33300000001
80,29402.31900000001
81,29829.308000000008
82,29594.31400000001
83,29251.31100000001
84,27881.312000000005
85,26391.304000000007
86,26181.306000000008
87,26602.306000000004
88,27447.307000000004
89,26307.305000000004
90,27672.305000000004
91,28287.302000000003
92,27707.303000000004
93,26927.303000000004
94,28087.304000000004
95,26524.304000000004
96,28109.302000000003
97,29058.306000000004
98,28302.309000000005
99,29857.313000000002
100,29436.316000000006
101,27689.317000000003
102,27279.325000000004
103,28307.324000000004
104,30072.323000000004
105,31437.326000000005
106,30857.326000000005
107,29305.328000000005
108,29915.326000000005
109,29530.325000000004
110,31700.320000000003
111,32095.320000000003
112,32335.318000000003
113,31732.323000000004
114,30747.325000000004
115,28574.329000000005
116,29382.325000000004
117,30916.326000000005
118,29956.327000000005
119,28158.334000000006
120,27958.337000000007
121,29341.335000000006
122,28539.338000000007
123,28537.336000000007
124,29294.338000000007
125,28374.328000000005
126,29359.326000000005
127,28179.328000000005
128,28562.329000000005
129,29514.332000000006
130,31282.330000000005
131,29537.329000000005
132,30306.330000000005
133,29516.332000000006
134,31504.328000000005
135,29966.332000000006
136,29566.332000000006
137,29183.330000000005
138,29605.326000000005
139,28848.323000000004
140,30386.327000000005
141,29393.329000000005
142,29784.326000000005
143,30592.321000000004
144,29412.323000000004
145,29629.318000000003
146,29814.321000000004
147,30007.321000000004
148,30607.316000000003
149,28452.315000000002
150,27847.317000000003
151,30197.315000000002
152,29599.316000000003
153,29409.315000000002
154,30224.311
155,27889.311
156,29064.31
157,28869.312000000005
158,27674.315000000002
159,28194.322000000004
160,29744.326000000005
161,28615.319000000003
162,29965.321000000004
163,29033.317000000006
164,30813.315000000006
165,30873.309000000005
166,30108.309000000005
167,30553.304000000004
168,30700.309000000005
169,30130.307000000004
170,31105.307000000004
171,29735.306000000004
172,29322.310000000005
173,30552.304000000004
174,31762.299000000003
175,32347.298000000003
176,33084.302
177,32244.307000000004
178,33014.307
179,31680.302000000003
180,30713.300000000003
181,31898.297000000002
182,31298.297000000002
183,30713.297000000002
184,29888.300000000003
185,28338.299000000003
186,29113.302000000003
187,30293.298000000003
188,29128.301000000003
189,29720.300000000003
190,30444.305000000004
191,28705.304000000004
192,28713.304000000004
193,27675.312000000005
194,28620.315000000002
195,28787.316000000003
196,29162.316000000003
197,29902.314000000006
198,29902.315000000006
199,28935.313000000006
200,30075.318000000007
201,29282.319000000007
202,29084.318000000007
203,29496.316000000006
204,30869.313000000006
205,31069.311000000005
206,32469.306000000004
207,31702.304000000004
208,32069.307000000004
209,30699.307000000004
210,29307.314000000006
211,30450.318000000007
212,30425.316000000006
213,30420.318000000007
214,30650.313000000006
215,29850.310000000005
216,30040.312000000005
217,30430.31000000001
218,29270.308000000008
219,28485.30900000001
220,28852.308000000008
221,28674.303000000007
222,29497.299000000003
223,29139.297000000002
224,30894.295000000002
225,30666.300000000003
226,31451.294000000005
227,31661.292000000005
228,31737.284000000003
229,31137.284000000003
230,33097.28
231,31872.282000000003
232,31097.281000000003
233,31474.282000000003
234,34019.278999999995
235,33399.282
236,33837.27599999999
237,32903.274
238,34041.276999999995
239,32881.276
240,32641.282000000003
241,32461.280000000002
242,32282.276000000005
243,32467.283000000003
244,31482.287000000004
245,30577.281000000003
246,30820.281000000003
247,31393.287000000004
248,30187.295000000006
249,29607.299000000006
250,29824.297000000006
251,30784.299000000006
252,31171.301000000007
253,31623.297000000006
254,32614.302000000007
255,33281.299
256,32897.301999999996
257,32354.301000000007
258,32393.303000000007
259,32831.3
260,35171.30299999999
261,34580.303
262,33873.301
263,34110.302
264,36430.301
265,35235.306
266,36014.308999999994
267,36188.30999999999
268,37214.311
269,36267.313
270,35093.312000000005
271,35541.31
272,36188.30299999999
273,36094.311
274,35689.314000000006
275,33751.31700000001
276,33982.312000000005
277,34619.316000000006
278,34114.315
279,33049.315
280,34534.323000000004
281,34370.324
282,35415.315
283,35089.312
284,36114.312999999995
285,37709.316999999995
286,37587.316999999995
287,36785.32
288,37531.32
289,37401.32199999999
290,39350.325999999994
291,39022.322
292,39032.328
293,40463.32099999999
294,42450.323999999986
295,41337.321
296,41712.32899999999
297,40994.329
298,41629.331
299,40225.332
300,38691.333
301,39055.338999999985
302,39231.33999999999
303,39117.333999999995
304,39121.33899999999
305,37635.333000000006
306,37220.333999999995
307,37437.333
308,36111.334
309,34486.334
310,35113.333000000006
311,35399.325
312,36452.32399999999
313,35958.335
314,37298.33900000001
315,38899.33599999999
316,39277.33599999999
317,38234.34099999999
318,37518.34099999999
319,37713.34099999999
320,40142.33899999999
321,40472.34399999999
322,39745.344999999994
323,41164.34
324,42169.34099999999
325,42463.331999999995
326,42511.32699999999
327,42337.324
328,42789.32199999999
329,41654.314999999995
330,41512.306999999986
331,41002.29899999999
332,40663.29699999999
333,40519.29499999999
334,40099.30099999999
335,38050.29799999999
336,38724.297999999995
337,38823.299
338,38307.295
339,37346.29499999999
340,43437.292
341,43308.287
342,43578.280999999995
343,43404.282
344,44385.28799999999
345,45629.285
346,47423.280999999995
347,46290.286
348,46116.286
349,46226.286
350,47670.296
351,46875.299000000006
352,46976.293000000005
353,48400.29099999998
354,50426.28899999998
355,49038.29799999998
356,48851.29999999998
357,48473.289999999986
358,43609.289999999986
359,42836.29499999999
360,42316.29
361,41477.29899999999
362,42099.29699999999
363,42049.28600000001
364,42018.283
365,40824.280999999995
366,41109.275
367,41755.263
368,40649.266
369,38644.277
370,39342.271
371,39904.267
372,40318.275
373,39772.276
374,40968.275
375,40682.275
376,40529.286
377,40024.284
378,39718.287
379,39702.30099999999
380,41158.30999999999
381,41580.309
382,41148.318000000014
383,41402.323000000004
384,44014.326
385,43286.32900000001
386,43380.325000000004
387,42364.335
388,43678.335
389,42377.331
390,42228.333
391,42626.340000000004
392,43351.34
393,43426.346999999994
394,43513.350000000006
395,41901.356999999996
396,42280.35399999999
397,41868.36299999999
398,41641.371999999996
399,39171.383
400,39978.39
401,40867.388000000006
402,41725.388000000006
403,40127.39300000001
404,41160.403000000006
405,40292.405999999995
406,40034.401
407,39776.413
408,39557.41900000001
409,39595.418000000005
410,42610.421
411,41210.44499999999
412,42314.445
413,43373.435999999994
414,45794.44099999999
415,45208.43999999999
416,44248.437999999995
417,42902.43999999999
418,44124.431999999986
419,42719.429999999986
420,43852.42099999999
421,44817.41399999999
422,45988.40899999999
423,45526.40799999999
424,46039.409999999996
425,43898.40499999999
426,43391.40999999999
427,42032.41199999999
428,40946.42099999999
429,39360.40799999999
430,39554.40999999999
431,44718.419
432,45054.427
433,43865.422999999995
434,44980.420999999995
435,44143.414000000004
436,44854.412000000004
437,43378.416
438,44573.402
439,44436.39699999999
440,47169.38599999999
441,47534.373999999996
442,48440.368999999984
443,49205.36199999998
444,49661.35499999998
445,49625.355999999985
446,50426.34299999999
447,51010.33499999998
448,51999.33199999998
449,50827.32599999999
450,51341.32299999998
451,50739.313999999984
452,45372.32099999998
453,44053.31499999998
454,44623.302999999985
455,42451.297
456,43011.297999999995
457,40899.297999999995
458,40378.287000000004
459,40969.287
460,41251.284999999996
461,40159.278999999995
462,41451.26899999999
463,40495.25399999999
464,42019.24999999999
465,41387.24699999999
466,41835.24299999999
467,40753.23099999999
468,42741.21699999999
469,42317.206
470,42956.196
471,42769.193
472,44340.187999999995
473,44971.18299999999
474,43468.18699999999
475,43124.185
476,43901.184
477,43140.17999999999
478,43441.18299999999
479,41445.19
480,41746.191999999995
481,41371.192
482,42987.187999999995
