time,community
0,8900.517000000104
1,13840.485000000106
2,20169.4460000001
3,23457.426000000094
4,26496.39900000008
5,30395.377000000077
6,34067.36200000006
7,37517.347999999954
8,40139.338999999876
9,42987.32799999982
10,49248.322999999735
11,47658.30899999977
12,43587.301999999836
13,44812.26799999983
14,44857.273999999845
15,43304.26199999991
16,42575.25099999994
17,42766.24699999995
18,43099.243999999955
19,44671.22199999996
20,35918.21500000003
21,39935.20800000001
22,43379.19099999999
23,46026.172999999995
24,49445.14499999998
25,53765.119999999995
26,55720.09200000001
27,58062.081
28,60814.070999999996
29,59294.056000000026
30,62058.05800000002
31,62336.074
32,65122.087
33,62878.09700000001
34,60331.104999999996
35,61445.096
36,63647.08899999997
37,63335.104999999974
38,61169.11399999998
39,63805.083999999995
40,67384.06599999998
41,64752.069999999985
42,62052.05199999996
43,61978.04599999996
44,61363.026999999965
45,59415.03499999996
46,58602.02099999996
47,58190.01399999994
48,58352.01599999991
49,59677.005999999914
50,57649.99799999992
51,56718.98199999993
52,56496.97799999993
53,58553.95499999994
54,60451.944999999934
55,61679.93799999994
56,60087.93299999992
57,59801.92899999991
58,61823.92399999991
59,58186.9239999999
60,56693.9199999999
61,57258.90399999991
62,59248.89499999989
63,57335.885999999904
64,57062.86399999991
65,57150.85099999989
66,60313.83999999991
67,57908.8449999999
68,55693.8379999999
69,56662.8249999999
70,56617.8089999999
71,55922.807999999895
72,54873.783999999905
73,56331.7759999999
74,55081.76099999988
75,54304.75399999989
76,54659.74199999989
77,57120.72499999988
78,57120.71699999987
79,58009.711999999854
80,58604.696999999855
81,58576.683999999834
82,56891.68399999986
83,56635.68799999988
84,58593.69299999987
85,60098.70399999985
86,57738.707999999875
87,56875.72199999986
88,57843.722999999845
89,58283.71899999986
90,57138.72399999986
91,56381.71899999987
92,60188.7069999999
93,59803.70999999991
94,55881.7059999999
95,56238.7029999999
96,57315.69399999991
97,61830.69499999992
98,61091.69099999991
99,62144.68899999993
100,61738.69199999994
101,63741.69099999993
102,62536.69899999993
103,64123.69899999993
104,64710.69999999991
105,65638.6969999999
106,68850.70099999991
107,70067.69399999993
108,69355.68699999992
109,70292.68999999992
110,71445.6969999999
111,71668.69299999991
112,69681.6979999999
113,70593.6989999999
114,72396.6979999999
115,73921.7019999999
116,70438.6989999999
117,71113.6949999999
118,72195.70499999987
119,72253.69699999987
120,71714.69299999988
121,69148.69699999988
122,71036.6979999999
123,70360.6929999999
124,65217.70899999988
125,62694.70799999988
126,63044.71199999988
127,61131.708999999886
128,60571.7049999999
129,61819.69899999989
130,60682.68699999992
131,61620.6929999999
132,61450.6899999999
133,62118.68099999991
134,62548.67699999991
135,64091.675999999905
136,66033.6779999999
137,66403.67599999992
138,59695.68099999992
139,63635.67199999992
140,65374.67499999991
141,67133.6779999999
142,65761.68399999988
143,67533.6829999999
144,71200.68099999988
145,73171.6789999999
146,70009.68399999989
147,71744.68499999988
148,73874.68399999989
149,72469.68699999989
150,72416.68999999989
151,72043.6829999999
152,70831.68699999987
153,70236.68999999989
154,68101.6889999999
155,66383.68599999989
156,67618.6769999999
157,66215.6799999999
158,66288.67099999991
159,66261.6749999999
160,61976.67399999993
161,61208.67799999992
162,62840.676999999916
163,61848.677999999905
164,61415.681999999906
165,62360.6849999999
166,64333.68699999987
167,62953.692999999876
168,61925.6949999999
169,62909.69199999991
170,65962.6979999999
171,68340.69899999989
172,68273.69699999991
173,69983.70399999991
174,72389.6979999999
175,75561.69199999992
176,72794.69699999988
177,73261.6999999999
178,74996.6999999999
179,75614.6989999999
180,75353.70599999989
181,73404.70799999988
182,73209.70799999987
183,72201.71099999984
184,70413.70799999987
185,68130.70099999987
186,67301.70599999987
187,67119.70799999987
188,66456.71399999989
189,66864.70999999988
190,63989.7059999999
191,64305.7079999999
192,65685.70499999991
193,65285.706999999915
194,65147.69999999992
195,65397.69499999991
196,68472.6869999999
197,67659.68999999992
198,68484.6799999999
199,69685.6709999999
200,70199.66699999993
