time,community
0,27924.246000000465
1,49716.09899999773
2,67599.00399999622
3,83070.8789999982
4,97718.79199999936
5,110032.72300000032
6,126459.63300000163
7,141538.56900000205
8,154119.49400000094
9,166114.46100000018
10,201883.40999999814
11,192243.34999999875
12,188126.300999999
13,184842.2739999996
14,181986.22299999977
15,182073.19099999985
16,176240.17600000004
17,173053.1380000003
18,171246.14000000042
19,171469.1310000004
20,146115.081000001
21,165976.07100000058
22,181955.97300000026
23,199934.88900000014
24,212255.80300000004
25,230754.74000000022
26,244268.66900000031
27,254483.57100000032
28,267480.5020000004
29,275873.44500000065
30,275796.4890000004
31,277163.5150000003
32,278199.5230000003
33,274443.5410000001
34,274687.5609999999
35,271016.566
36,271063.59200000006
37,274886.61699999997
38,269202.6439999999
39,269610.6129999999
40,271063.5899999997
41,262179.5459999998
42,258006.49299999987
43,254312.48599999977
44,245472.45399999977
45,242481.4199999997
46,237990.36099999974
47,236720.29099999965
48,236735.24799999947
49,235588.19899999938
50,231369.17499999946
51,232405.15599999938
52,232254.14199999947
53,233294.10399999935
54,230105.07899999936
55,236769.02799999923
56,239467.97699999908
57,239286.93999999913
58,237381.88099999932
59,240025.81099999932
60,242721.75699999928
61,246478.69999999934
62,247526.65899999937
63,242139.62099999934
64,246237.58199999938
65,238841.5209999996
66,240147.45199999967
67,242703.40499999953
68,241855.39099999942
69,240797.33399999942
70,243104.27499999932
71,241821.2029999994
72,239628.16299999948
73,245429.1189999994
74,241009.06899999946
75,241549.00599999927
76,234803.95999999932
77,233429.91199999934
78,235085.85099999933
79,239318.81299999938
80,235683.73499999943
81,234904.6899999994
82,235618.69399999932
83,238884.6949999994
84,238336.7129999995
85,243638.73499999943
86,248126.74899999934
87,246661.7559999993
88,239644.76799999946
89,242667.76899999948
90,245826.76499999946
91,248415.78999999937
92,251075.81499999922
93,243865.8379999994
94,245886.8459999993
95,240471.84499999942
96,242328.84099999946
97,244760.86899999934
98,250480.88799999937
99,248412.89599999934
100,251989.91199999934
101,252552.92799999937
102,249636.93999999945
103,256513.93899999934
104,250981.96699999936
