time,community
0,2274.6369999999974
1,4435.6220000000285
2,5768.611000000028
3,7368.603000000029
4,9180.599000000033
5,10863.591000000037
6,13026.573000000031
7,14916.56800000003
8,16152.558000000025
9,17504.558000000026
10,21520.54500000002
11,20811.54100000002
12,20438.543000000016
13,20221.52900000001
14,19597.518000000007
15,18982.51200000001
16,18567.508000000005
17,18777.499000000003
18,18627.488
19,18395.487
20,15954.482
21,18147.481
22,20395.476000000006
23,21553.465000000007
24,23075.454000000005
25,23526.449000000004
26,25172.446000000007
27,26285.441000000006
28,28287.442000000003
29,29300.440000000002
30,29565.439000000006
31,29970.435000000005
32,29082.443000000007
33,30682.446000000007
34,31250.448000000008
35,31775.45400000001
36,32290.45100000001
37,31498.455000000005
38,31443.461000000007
39,30758.459000000006
40,31098.445000000007
41,29323.433000000005
42,27948.429000000007
43,26658.43100000001
44,24760.43400000001
45,24780.41900000001
46,23105.423000000006
47,23795.424000000006
48,21660.423000000006
49,21365.421000000006
50,21058.407000000007
51,20788.394000000008
52,20968.402000000006
53,20083.403000000006
54,20723.397000000004
55,20333.393000000004
56,19880.394000000004
57,19494.395000000004
58,20259.392000000003
59,21915.386000000006
60,22575.382000000005
61,24805.364
62,24786.354000000003
63,25634.350000000002
64,26789.343
65,26634.345000000005
66,27219.333000000002
67,26164.334000000006
68,28204.334000000006
69,27179.333000000006
70,27531.329000000005
71,25236.328000000005
72,24044.321000000004
73,24209.315000000006
74,22969.316000000006
75,23939.311000000005
76,24494.301000000003
77,24979.300000000007
78,23701.295000000006
79,22547.292000000005
80,22744.288000000008
81,23701.282000000007
82,23908.281000000003
83,23346.280000000006
84,23011.278000000006
85,22218.284000000003
86,21648.281000000006
87,21479.283000000003
88,21676.287
89,23843.284000000003
90,22856.288000000004
91,24179.294000000005
92,25187.293000000005
93,24597.298000000006
94,25187.300000000007
95,25617.296000000002
96,26202.297000000002
97,25424.298000000006
98,26572.298000000006
99,26210.294
100,27375.294
101,25045.298000000003
102,25037.297000000002
103,25282.294
104,23917.293999999998
105,23137.291999999998
106,24914.290000000005
107,26292.288000000004
108,26510.287000000004
109,25905.288000000004
110,25685.288000000004
111,25882.286
112,25877.286
113,26064.287
114,26857.285
115,26606.292
116,24226.298000000003
117,23841.298000000003
118,24244.298000000003
119,25252.296000000002
120,24651.297000000006
121,25244.296000000006
122,25424.294000000005
123,24649.292
124,25067.288000000004
125,25079.287000000004
126,26244.289
127,25611.294
128,26399.294000000005
129,26622.289000000004
130,28174.291000000005
131,26789.295000000006
132,26794.293000000005
133,26034.291000000005
134,24859.289000000004
135,24074.290000000005
136,25027.293000000005
137,26215.293000000005
138,27595.290000000005
139,27182.291000000005
140,26364.295000000006
141,25789.295000000006
142,26744.298000000006
143,27725.297000000006
144,28147.292000000005
145,29121.291000000005
146,28364.289000000004
147,26787.289000000004
148,26257.284000000003
149,25647.290000000005
150,24692.289000000004
151,25082.289000000004
152,24847.293000000005
153,24588.299000000006
154,24601.296000000006
155,23854.294000000005
156,25451.287000000004
157,25661.286000000004
158,25831.291000000005
159,27911.293000000005
160,28489.295000000006
161,27729.294000000005
162,26754.293000000005
163,26379.291000000005
164,26192.290000000005
165,25238.288000000004
166,24610.295000000006
167,25813.290000000005
168,27588.288000000004
169,27188.291000000005
170,28158.291000000005
171,28323.290000000005
172,29488.290000000005
173,30475.287000000004
174,30057.295000000002
175,30841.294000000005
176,31452.291
177,29517.292000000005
178,28565.289000000004
179,28180.288000000004
180,27790.287000000004
181,27980.289
182,28165.292
183,27768.295000000002
184,26334.303000000004
185,26121.306000000004
186,27498.304000000004
187,28125.300000000003
188,27745.299000000003
189,28928.298000000003
190,29143.295000000006
191,28353.297
192,28151.298000000003
193,28148.298000000006
194,26961.301000000007
195,25994.301000000007
196,26962.300000000007
197,27099.305000000008
198,28836.304000000007
199,28836.304000000007
200,29449.298000000006
201,28659.293000000005
202,28674.292000000005
203,29829.290000000005
204,29887.282000000007
205,29679.282000000007
206,28937.280000000006
207,28707.282000000007
208,27165.280000000006
209,32655.278000000006
210,32295.272000000004
211,32499.274000000005
212,32919.273
213,32762.270000000004
214,32149.270000000004
215,32159.269000000004
216,34109.268000000004
217,33922.266
218,34289.26700000001
219,34709.261
220,35676.258
221,35661.259000000005
222,35894.25600000001
223,35494.26000000001
224,35506.259000000005
225,35096.258
226,34511.258
227,35291.254
228,35835.256
229,35438.255
230,35788.26
231,35013.258
232,35170.263
233,35008.26
234,35550.259
235,34965.26
236,35155.261
237,35555.258
238,34780.259
239,36155.262
240,35208.257000000005
241,36350.26
242,36550.256
243,36550.256
