time,community
0,2549.6400000000053
1,4847.625000000023
2,6572.616000000033
3,7380.61000000003
4,9035.596000000029
5,11532.583000000031
6,12880.575000000032
7,13555.58100000003
8,14665.576000000028
9,16577.557000000023
10,21087.556000000022
11,20079.552000000025
12,20310.539000000026
13,20635.538000000022
14,20050.52900000002
15,18467.525000000016
16,17877.523000000016
17,17884.52000000001
18,17961.513000000014
19,17818.50900000001
20,15251.507000000005
21,17457.505999999998
22,18822.49500000001
23,20783.484000000004
24,22246.477000000006
25,24111.467000000008
26,26701.458000000006
27,28428.445000000003
28,29364.446000000004
29,30894.439000000002
30,29859.442000000003
31,29124.449000000004
32,28204.458000000006
33,26827.459000000003
34,26422.467000000004
35,26970.466000000004
36,26535.461000000007
37,27584.45800000001
38,27762.461000000007
39,27970.457000000006
40,28820.459000000003
41,27915.454000000005
42,28095.451000000005
43,27575.452000000005
44,27763.444000000003
45,27135.436
46,24432.436
47,22457.439000000002
48,22831.436
49,22956.432
50,22669.422000000002
51,22637.416
52,22955.411
53,22885.403000000002
54,21498.398
55,21578.392000000003
56,23168.390000000003
57,22955.390000000007
58,23400.377000000004
59,23090.378000000008
60,24220.372000000007
61,24510.369000000006
62,23495.359
63,23630.357000000004
64,24126.338000000003
65,23896.341
66,23854.336000000007
67,25571.334000000006
68,25521.336000000007
69,26931.328000000005
70,26246.322000000004
71,26996.317000000006
72,27146.317000000006
73,27371.302000000003
74,27921.298000000006
75,27306.294000000005
76,25688.292
77,24338.288000000004
78,24901.287000000008
79,24934.284000000007
80,24109.282000000007
81,23904.278000000002
82,23921.276000000005
83,23534.275000000005
84,22169.278000000006
85,21974.280000000006
86,22774.280000000002
87,23364.282000000007
88,22384.286000000004
89,21538.294000000005
90,23878.296000000006
91,24053.297000000006
92,23491.298000000006
93,24288.295000000006
94,23729.299000000006
95,24497.302000000007
96,24700.302000000007
97,25290.303000000007
98,26503.303000000007
99,27261.311000000005
100,25696.311000000005
101,25908.311000000005
102,26320.309000000005
103,31017.311000000005
104,31565.315000000006
105,31147.318000000007
106,30342.320000000007
107,29352.320000000007
108,30122.322000000007
109,30720.321000000007
110,30165.316000000006
111,29942.320000000007
112,29387.316000000006
113,29001.314000000006
114,29224.311000000005
115,23278.317000000006
116,23688.31200000001
117,24473.312000000005
118,24719.311000000005
119,25144.306000000004
120,26125.306000000004
121,27505.303000000004
122,27945.297000000002
123,27535.301000000003
124,26762.300000000007
125,27174.296000000002
126,27587.295000000002
127,27795.293
128,28610.289000000004
129,27855.288000000004
130,26115.288000000004
131,24724.291000000005
132,24742.290000000005
133,24147.291000000005
134,24152.291000000005
135,24757.288000000004
136,25364.284000000003
137,24964.285000000003
138,25174.282000000003
139,25597.277000000002
140,25967.281000000003
141,26532.283000000003
142,26900.285000000003
143,26910.282000000003
144,27870.281000000003
145,27492.280000000002
146,26135.282000000003
147,26960.278000000002
148,27885.282000000003
149,28865.28
150,29610.285000000003
151,30420.282000000003
152,30400.285000000003
153,30620.281000000003
154,30435.282000000003
155,31184.286000000004
156,31164.289000000004
157,30359.293000000005
158,31554.289000000004
159,31547.291000000005
160,30167.292
161,28395.292999999998
162,27245.291999999998
163,26855.290999999997
164,25625.299
165,25230.302000000003
166,25235.300000000003
167,25630.299
168,26020.299000000003
169,26602.297000000002
170,26787.300000000003
171,27857.294
172,28652.293
173,28262.293
