time,community
0,3186.782000000016
1,6006.756000000044
2,8571.741000000045
3,10771.733000000044
4,13836.710000000043
5,17003.69700000004
6,19020.693000000043
7,20641.681000000044
8,22766.677000000036
9,24452.680000000037
10,27619.676000000032
11,26289.674000000028
12,25551.662000000026
13,24386.65700000002
14,23324.650000000023
15,22995.64900000002
16,22092.64700000001
17,21574.643000000007
18,20253.64200000001
19,19861.63800000001
20,16891.635000000006
21,20325.625000000007
22,23670.60300000001
23,25124.59200000001
24,26096.590000000007
25,27256.58200000001
26,28696.57600000001
27,30986.566000000003
28,32295.557000000004
29,32435.548000000003
30,33395.54600000001
31,32698.557000000008
32,32509.557000000008
33,33229.562000000005
34,32691.56700000001
35,33446.57000000001
36,35169.56800000001
37,33969.57200000001
38,34144.57300000001
39,35356.568
40,34976.565
41,33438.56000000001
42,33770.55500000001
43,32395.556000000008
44,32631.544000000013
45,32466.53500000001
46,30991.53700000001
47,29798.53300000001
48,29848.51500000001
49,29768.50900000001
50,29536.497000000014
51,30835.491000000013
52,30085.49400000001
53,31228.492000000006
54,31691.481000000007
55,29732.481000000003
56,29592.477000000006
57,30002.473000000005
58,31002.467000000004
59,30107.471
60,30164.463000000007
61,29652.465000000004
62,29562.464000000004
63,29107.451000000005
64,28203.439000000006
65,30905.432000000004
66,30418.422000000006
67,30886.423000000006
68,31216.41800000001
69,31390.42000000001
70,31790.40300000001
71,31770.394000000008
72,31905.391000000007
73,31751.384000000005
74,32886.37900000001
75,32421.36600000001
76,31348.37000000001
77,29505.361000000008
78,29125.347000000005
79,27555.341000000004
80,27980.336000000007
81,28568.337000000003
82,28013.332000000006
83,28587.337000000007
84,28374.341000000008
85,27411.339000000007
86,28021.339000000007
87,28987.34400000001
88,29837.34600000001
89,30390.34800000001
90,29625.34900000001
91,30783.352000000003
92,30031.354000000007
93,30406.360000000008
94,29643.358000000007
95,30780.359000000008
96,28835.361000000008
97,29423.36200000001
98,29025.36500000001
99,30010.36400000001
100,29656.361000000004
101,30284.358000000004
102,31264.361000000004
103,30834.366000000005
104,31996.367000000006
105,33156.369000000006
106,33085.37500000001
107,31933.373000000007
108,31368.369000000006
109,30172.373000000007
110,31392.368000000006
111,32152.371000000006
112,33345.369000000006
113,33348.37
114,32750.371000000006
115,31170.375000000007
116,30003.375000000007
117,31173.373000000003
118,31206.370000000003
119,30841.369000000002
120,30078.368000000006
121,30288.368000000006
122,29268.371000000006
123,29458.373000000007
124,29038.377000000008
125,29435.374000000007
126,29265.371000000006
127,29467.370000000006
128,30313.365000000005
129,31483.364000000005
130,32493.360000000004
131,33633.36
132,34202.361
133,34425.358
134,34812.359
135,35797.359
136,35012.359000000004
137,33685.356999999996
138,33045.366
139,33665.361
140,34038.365
141,34446.364
142,34019.366
143,33804.369000000006
144,34149.37100000001
145,34131.372
146,32948.37300000001
147,33338.374
148,32705.377000000008
149,32470.38300000001
150,31343.379000000008
151,31545.376000000007
152,31917.378000000008
153,31970.373000000007
154,30348.379000000008
155,30543.377000000008
156,31178.370000000006
157,31960.369000000006
158,32778.365000000005
159,32563.369000000006
160,33201.364
161,34781.362
162,34606.358
163,34983.358
164,35573.356999999996
165,36599.34999999999
166,35114.346
167,34934.346
168,36304.34499999999
169,36306.346999999994
170,36489.349
171,37079.348
172,36093.350000000006
173,35338.350000000006
174,34953.349
175,35343.348
176,35518.348
177,36083.349
178,35283.350000000006
179,36303.344000000005
180,36302.340000000004
181,36295.34
182,37087.337
183,36477.34
184,37065.34
185,37871.33799999999
186,37671.336999999985
187,37653.33799999999
188,37471.33699999999
189,37306.333999999995
190,36161.331999999995
191,37883.334
192,37080.333999999995
193,37120.333
194,37713.334
195,38541.329
196,36829.322
197,36198.325
198,38355.32299999999
199,37760.324
200,37952.324
201,38499.325
202,38340.320999999996
203,38916.31999999999
204,38496.32199999999
205,39831.31899999999
206,39661.316999999995
207,40836.31899999999
208,38693.316
209,39408.31999999999
210,39181.321999999986
211,38533.329999999994
212,37883.333999999995
213,36870.337
214,37100.332
215,37432.33700000001
216,36417.334
217,37387.33
218,37399.325
219,37807.325000000004
220,35455.327
221,36193.333
222,35428.329
223,35994.323
224,35399.323000000004
225,36133.325
226,34915.33
227,34391.326
228,36189.31999999999
229,35786.318999999996
230,36366.32
231,36991.316
232,38361.314999999995
233,39144.315999999984
234,40522.30899999999
235,41912.30799999999
236,43037.30899999999
237,45035.301999999996
238,42880.304999999986
239,43415.31299999999
240,42824.31499999997
241,43394.317999999985
242,41863.319999999985
243,39747.32099999999
244,38152.325
245,37772.329999999994
246,36437.331999999995
247,37060.32999999999
248,38646.33399999999
249,38313.33099999999
250,36755.331999999995
251,37556.32699999999
252,37390.32999999999
253,37977.33699999999
254,39020.338999999985
255,45415.33999999999
256,43338.332999999984
257,42971.333999999995
258,43414.33499999999
259,42963.34599999999
260,43948.34799999999
261,44928.35399999999
262,45953.35299999999
263,45929.354
264,47865.359
265,48459.361999999994
266,49469.35899999999
267,50750.35299999999
268,48998.35499999999
269,49630.356
270,48485.35699999998
271,49527.35199999999
272,48359.357999999986
273,47581.35799999999
274,46599.35299999998
275,46978.35799999998
276,46228.35799999999
277,46628.35999999998
278,47213.36099999998
279,46590.36199999998
280,47098.355999999985
281,47558.35299999998
282,47607.35099999998
283,48625.35299999998
284,50015.352999999974
285,51194.34999999996
286,49285.347999999976
287,49132.345999999976
288,49135.34899999998
289,49346.34899999998
290,49382.34899999998
291,52049.34599999999
292,52621.351999999984
293,52910.34599999998
294,54674.350999999966
295,54319.35599999997
296,54296.36399999996
297,54477.365999999965
298,53165.365999999965
299,53275.362999999976
300,52336.36999999997
301,53211.364999999976
302,53793.36999999997
303,53764.36699999998
304,52395.37499999998
305,52657.37299999997
306,45634.37399999997
307,45829.37599999998
308,47214.374999999985
309,45533.36899999999
310,45371.371999999996
311,45456.367
312,45965.367999999995
313,47012.36499999999
314,47790.371
315,48307.363000000005
316,47436.361
317,47047.362
318,46773.36999999999
319,47119.36999999999
320,48220.35799999999
321,55541.358
322,55033.354999999996
323,54588.35999999999
324,56100.36099999998
325,55976.36199999999
326,57154.35899999998
327,57010.36299999998
328,55728.36999999999
329,55468.384999999995
330,55801.38699999998
331,55977.38999999998
332,56411.38499999997
333,55472.38299999997
334,54352.38799999997
335,55457.39499999997
336,53807.393999999964
337,54539.38799999997
338,55386.376999999964
339,53621.37699999998
340,53257.37099999998
341,51926.36999999997
