time,community
0,3745.793000000023
1,6464.7770000000455
2,9902.755000000052
3,11605.751000000047
4,14615.728000000045
5,16038.724000000038
6,18861.71100000004
7,19762.715000000033
8,20977.713000000032
9,22617.71200000003
10,26242.70700000003
11,24093.710000000032
12,22418.704000000027
13,22648.692000000025
14,21842.669000000024
15,22899.66100000002
16,21184.659000000018
17,21499.655000000017
18,21696.646000000015
19,21246.64600000001
20,17966.644000000008
21,20071.651000000005
22,22269.640000000014
23,22836.63300000001
24,26664.615000000013
25,27490.603000000006
26,28786.593000000008
27,31149.578000000005
28,32624.565000000006
29,33855.55499999999
30,33720.55300000001
31,34651.55699999999
32,34999.562
33,36551.55799999999
34,35511.55999999999
35,35234.571999999986
36,36391.57899999999
37,35043.58799999999
38,34078.596999999994
39,34998.592
40,35078.592999999986
41,34071.588
42,32866.577
43,31731.571000000007
44,31084.568000000007
45,30522.558000000005
46,29534.553000000007
47,30071.54300000001
48,29979.540000000005
49,29112.532000000007
50,27767.526000000005
51,27442.523000000005
52,27087.529000000006
53,26949.52300000001
54,27547.512000000006
55,27531.50600000001
56,27919.492000000006
57,27904.490000000005
58,28074.485000000004
59,27752.478000000006
60,27738.471000000005
61,27838.465000000007
62,30608.454000000005
63,30703.449000000004
64,30433.447000000007
65,30383.446000000007
66,30965.43400000001
67,29965.43400000001
68,29360.429000000007
69,29722.430000000008
70,30568.429000000007
71,30938.426000000007
72,29648.428000000007
73,28845.43100000001
74,28901.41900000001
75,28336.416000000012
76,27891.41200000001
77,29383.40400000001
78,30158.39200000001
79,30518.38800000001
80,28318.385000000013
81,28325.369000000006
82,28238.36700000001
83,29053.36200000001
84,27841.36700000001
85,27454.36800000001
86,28274.36500000001
87,28259.36300000001
88,29074.36200000001
89,28894.36300000001
90,29099.36300000001
91,29524.360000000008
92,30509.361000000008
93,30562.36500000001
94,31142.36500000001
95,31894.36800000001
96,31935.36700000001
97,31560.372000000007
98,30805.371000000006
99,31755.376000000007
100,32510.379000000008
101,31905.38400000001
102,31689.38600000001
103,30881.39000000001
104,31666.38900000001
105,31315.39000000001
106,30299.39300000001
107,31884.38900000001
108,31701.38700000001
109,31709.38900000001
110,31344.38400000001
111,31574.378000000008
112,31159.38200000001
113,31744.38300000001
114,30402.38200000001
115,29835.377000000008
116,31610.373000000007
117,31045.371000000006
118,32551.374000000007
119,31593.371000000006
120,31608.371000000006
121,31219.370000000006
122,30617.375000000007
123,32202.370000000006
124,32235.367000000006
125,32559.375000000007
126,33187.373
127,33354.377
128,33212.371
129,34207.36899999999
130,35422.36099999999
131,35600.361
132,35620.361
133,33667.36
134,35592.358
135,35572.362
136,34594.362
137,33849.359000000004
138,32891.36000000001
139,32909.359000000004
140,31159.359000000008
141,31209.354000000003
142,30804.358000000004
143,31404.356000000003
144,30209.359000000004
145,30136.365000000005
146,29926.368000000006
147,29924.368000000006
148,32669.369000000006
149,32294.368000000006
150,32305.365000000005
151,32315.363000000005
152,32675.366000000005
153,33807.371
154,33427.37100000001
155,34032.369
156,34997.37100000001
157,35599.369
158,33814.375
159,34971.378
160,36361.373999999996
161,37156.37299999999
162,37883.376999999986
163,36940.36999999999
164,37953.36699999999
165,37588.359999999986
166,36826.35999999999
167,36023.361999999994
168,34659.364
169,33715.362
170,33910.363000000005
171,33715.363000000005
172,34120.36
173,34390.355
174,33990.357
175,33595.359000000004
176,33382.35800000001
177,33828.348999999995
178,35245.34399999999
179,34865.342999999986
180,34055.348
181,33455.348000000005
182,32690.348000000005
183,33657.346999999994
184,33670.348
