time,community
0,1844.8749999999961
1,4987.859000000046
2,8193.845000000045
3,9831.835000000054
4,11791.82300000005
5,13644.802000000042
6,15854.78900000004
7,18844.771000000048
8,19823.765000000043
9,22113.749000000036
10,26482.752000000037
11,25232.746000000032
12,23607.741000000027
13,24207.730000000025
14,23839.733000000022
15,24355.72800000002
16,23635.73200000002
17,22753.722000000016
18,23537.712000000014
19,23193.71300000001
20,21708.70400000001
21,23371.706000000006
22,24804.692000000003
23,25789.679000000004
24,28427.674000000003
25,30722.653000000002
26,32403.643000000007
27,34244.633
28,36404.621999999996
29,37510.60599999999
30,35635.611000000004
31,37430.615
32,40355.61699999999
33,40560.60899999999
34,39099.613
35,37808.622
36,36903.632000000005
37,37390.631
38,36390.64600000001
39,36983.64
40,37571.634000000005
41,37231.627
42,34798.63000000001
43,33988.62
44,33838.606999999996
45,35198.599
46,34880.59999999999
47,35008.578
48,33808.575
49,32533.57000000001
50,32891.561
51,31006.558000000008
52,29576.553000000014
53,30801.547000000013
54,31141.547000000006
55,30341.537000000008
56,29226.534000000007
57,30506.522000000004
58,30628.518000000007
59,30648.520000000008
60,29413.51000000001
61,30905.503000000008
62,32363.496000000006
63,31718.483000000007
64,32563.48700000001
65,32468.482000000007
66,32243.478000000006
67,33063.462999999996
68,32623.454000000005
69,33343.452
70,34098.44499999999
71,33427.439
72,32882.433
73,31634.427000000007
74,29409.42600000001
75,28996.41600000001
76,30619.40000000001
77,28790.396000000008
78,28700.393000000007
79,26892.389000000006
80,27217.392000000007
81,27035.38700000001
82,28081.38100000001
83,30642.377000000008
84,31440.378000000008
85,33025.371999999996
86,33802.375
87,34551.37999999999
88,36317.38199999999
89,36687.389
90,35107.391
91,36235.394
92,37972.398
93,36615.398
94,35923.396
95,35935.39599999999
96,35537.396
97,34767.399000000005
98,32055.39900000001
99,32180.411000000007
100,33325.418
101,33003.413
102,31273.413000000008
103,31448.41700000001
104,31858.41600000001
105,31450.41600000001
106,31374.42500000001
107,31248.41800000001
108,31253.41900000001
109,30548.413000000008
110,30391.410000000007
111,29024.410000000007
112,29571.414000000008
113,30791.411000000007
114,32268.41800000001
115,33278.411
116,34023.416
117,34188.420999999995
118,36553.41799999999
119,36353.42
120,36211.412999999986
121,36370.414999999986
122,37970.41399999999
123,37220.41099999999
124,36053.410999999986
125,36116.404999999984
126,35579.397
127,35207.395
128,33207.404
129,33617.401
130,33807.401
131,34807.397
132,33974.399
133,33822.395
134,34612.393
135,34817.38999999999
136,34787.39399999999
137,34812.39099999999
138,34812.387999999984
139,34422.38999999999
140,35232.384999999995
141,33894.384
142,33674.389
143,34654.388999999996
144,36449.382999999994
145,36609.386999999995
146,38166.38399999999
147,37366.38699999999
148,39344.38599999999
149,39357.38499999999
150,39407.37999999999
151,39602.38199999999
152,40752.38699999999
153,40167.387999999984
154,38607.38899999999
155,37402.39299999999
156,37262.38499999999
157,36084.38399999999
158,33161.384
159,33746.381
160,34756.37899999999
161,35371.37499999999
162,33973.38
163,34324.38599999999
164,35243.38699999999
165,35428.388
166,35848.384999999995
167,36238.38799999999
168,36243.38899999999
169,34906.382999999994
170,33959.37699999999
171,33189.373999999996
172,34373.371999999996
173,35320.37799999999
174,36855.37799999999
175,36060.37999999999
176,36260.380999999994
177,37625.380999999994
178,39043.37699999999
179,40013.376999999986
180,39699.370999999985
181,40274.37399999998
182,40864.374999999985
183,39279.38099999999
184,39279.37999999999
185,39636.38299999999
186,39601.388999999996
187,37499.38599999999
188,36304.38599999999
189,36298.386
190,38248.386999999995
191,38648.38799999999
192,37665.38799999999
193,38407.38899999999
194,38782.39099999999
195,39154.38899999999
196,39968.38499999998
197,40336.38599999999
198,41116.38199999998
199,39501.38699999998
200,38919.383999999984
201,36194.38
202,36921.383
203,38086.382999999994
204,39066.378999999986
205,38096.378
206,38116.37899999999
207,38881.378
208,40231.376999999986
209,39796.38199999999
210,37996.385
211,38219.382999999994
212,40531.381999999976
213,39141.38299999998
214,39728.379999999976
215,40749.37699999997
216,41189.37499999996
217,38976.37799999998
218,37242.37699999999
219,36649.37599999999
220,39391.37399999999
221,41156.373999999974
222,39811.37199999999
223,40784.370999999985
224,42929.36899999998
225,42303.377999999975
226,42111.375999999975
227,43501.37399999997
228,45016.37799999996
229,44213.382999999965
230,43953.39099999997
231,41253.392999999975
232,42283.388999999974
233,41956.38399999998
234,42736.38099999997
235,42186.375999999975
236,42360.37599999998
237,41785.37099999998
238,41602.37199999999
239,41230.377
240,39275.387
241,39078.39399999999
242,38863.399
243,38106.40200000001
244,38517.40299999999
245,37737.40700000001
246,39071.409999999996
247,38980.406
248,38228.409
249,37099.405
250,39846.40599999999
251,41224.404999999984
252,41443.40499999999
253,42423.404
254,43421.41099999998
255,44570.41199999999
256,43949.412999999986
257,46331.41099999997
258,47163.40799999998
259,46736.419999999984
260,46539.41899999999
261,45630.410999999986
262,45692.40599999997
263,52026.40299999998
264,53233.40499999997
265,52174.41199999998
266,51572.40999999999
267,51594.40999999999
268,51542.417999999976
269,49795.42199999999
270,48202.427999999985
271,48007.42999999999
272,48008.42999999999
273,46670.43099999998
274,46990.426999999996
275,48211.427999999985
276,49643.423999999985
277,48325.42099999999
278,47146.42499999999
279,46081.421
280,48639.42099999999
281,50860.42099999999
282,50143.42099999999
283,51104.425999999985
284,52817.42399999999
285,53242.41799999999
286,52629.40899999999
287,55217.40499999998
288,56476.40699999998
289,51133.41999999997
290,50955.41999999997
291,49406.422999999966
292,50401.42599999997
293,50432.42899999996
294,52803.428999999946
295,50615.43199999996
296,52933.43099999996
297,52655.43799999997
298,54020.441999999966
299,52367.44299999996
300,51209.446999999964
301,51691.44399999997
302,51742.44399999997
303,50171.44999999997
304,49614.45599999998
305,50593.45999999996
306,51773.45699999997
307,50062.45499999998
308,49530.45299999999
309,53977.45099999999
310,55710.45099999998
311,56322.44799999998
312,56804.449999999975
313,57025.454999999994
314,59543.44099999998
315,58340.44199999998
316,58200.44299999997
317,60085.435999999965
318,60546.43299999997
319,60399.432999999975
320,60540.437999999966
321,58915.43599999998
322,58777.44199999999
323,59012.44399999998
324,61405.44499999996
325,59718.44999999998
326,57950.45299999998
327,58791.450999999994
328,58787.45599999999
329,58847.44899999999
330,58262.44599999998
331,58727.44499999999
332,58687.44999999998
333,58228.45299999998
334,58212.45599999998
335,59881.451999999976
336,60811.45299999998
337,58829.44899999998
338,58729.44199999998
339,58838.44299999997
340,60971.43599999997
341,61594.43999999997
342,62510.432999999975
343,63582.422999999966
344,58084.43399999997
345,56084.43699999998
346,55427.42799999997
347,57987.42299999997
348,58219.42299999997
349,58038.42199999996
350,57326.43499999997
351,56125.43499999997
352,56198.435999999965
353,57220.42799999997
354,58641.42599999996
355,57109.41999999996
356,57661.41199999996
357,57651.41099999997
358,58044.411999999975
359,56673.42099999999
360,57116.410999999986
361,57177.414000000004
362,57230.411
363,55963.406
364,56027.401000000005
365,57203.401999999995
366,57506.397000000004
367,54845.396
368,54795.39199999999
369,54622.397999999994
370,56459.41799999998
371,56806.42799999998
372,56650.43099999999
373,56048.437999999995
374,57002.44099999999
375,55009.44099999999
376,53930.44099999999
377,56212.445
378,56523.458
379,57020.459999999985
380,56906.46399999998
381,57229.45399999997
382,56704.45599999998
383,56982.453999999976
384,56819.45799999997
385,55527.459999999985
386,56611.46499999999
387,57067.47099999998
388,56522.47099999999
389,56712.46899999998
390,55570.46799999999
391,55853.48399999999
392,57129.476999999984
393,56619.48399999998
394,56110.489999999976
395,57820.48299999999
396,57793.47
397,56024.47200000001
398,57517.479000000014
399,58090.482
400,60443.485000000015
401,60702.48200000001
402,59545.494000000006
403,60120.50200000001
404,60970.505
405,60353.51
406,60155.51399999999
407,62841.51100000001
408,62577.52399999999
409,60825.532999999996
410,61049.53599999999
411,59617.549
412,58678.54800000002
413,58711.543000000005
414,59043.537000000004
415,59432.53699999999
416,60019.539000000004
417,59279.537999999986
418,58822.53699999999
419,58899.54199999998
420,57553.52999999999
421,58271.53499999998
422,59179.543
423,58899.55299999999
424,59415.53799999999
425,60980.53
426,60471.51999999998
427,58817.53199999998
428,59039.53299999999
429,58997.534
430,57646.539999999986
431,58531.53699999998
432,59856.52699999997
433,60667.521999999975
434,61390.515999999974
435,60771.50199999998
436,59993.50299999998
437,61866.49799999998
438,61493.48899999997
439,60914.48599999997
440,59775.49399999996
441,59032.48299999997
442,58193.468999999975
443,58139.46899999997
444,58941.46199999997
445,59408.46199999996
446,59138.45499999996
447,57227.45799999998
448,57214.44699999998
449,56966.433999999965
450,58187.430999999975
451,58809.414999999986
452,59132.41099999997
453,59098.39999999998
454,60422.38699999998
455,62042.38699999997
456,61935.38399999998
457,59622.38299999999
458,59467.367999999995
459,61016.35799999998
460,62479.35999999998
461,63417.354999999996
462,65887.34899999999
463,66282.33199999997
464,65336.33099999997
465,64677.31699999997
466,64027.30899999999
467,67727.28999999996
468,67191.29099999997
469,66400.28799999997
470,65237.27499999998
471,64684.25199999999
472,63709.25199999999
473,63708.25999999998
474,64033.25799999999
475,63527.268999999986
476,63709.26599999999
477,62188.26399999997
478,63710.265999999974
479,62640.25899999998
480,62948.254999999976
481,63809.24599999998
482,63214.25099999997
483,61727.25199999996
484,61643.25499999997
485,62823.254999999954
486,64245.24499999997
487,62829.24699999998
488,61951.252999999975
489,62807.246999999974
490,64241.25399999998
491,64384.25599999999
492,66330.25899999995
493,67060.25299999995
494,66294.25699999994
495,65053.254999999954
496,63594.25899999995
497,66643.25099999995
498,66050.24999999997
499,65121.25499999997
500,63566.24399999997
501,62158.24699999997
502,61081.24099999997
503,61788.24199999997
504,61821.23599999998
505,61222.23099999998
506,61785.22399999999
507,60853.221999999994
508,61890.21699999999
509,62308.21399999999
510,63686.208
511,62974.21399999999
512,62184.21699999999
513,61582.21799999998
514,66394.22399999996
515,67994.21199999997
516,69408.20999999998
517,67537.20799999997
518,67807.20599999998
519,68577.207
520,70123.19999999998
521,70589.19299999998
522,71790.19399999997
523,71781.18899999998
524,72422.18699999999
525,72417.18099999998
526,71242.18099999997
527,73265.17599999998
528,72732.17299999997
529,71535.16899999995
530,69409.16299999997
531,68574.16099999998
532,69088.161
533,68907.15699999998
534,69281.15299999996
535,68675.15499999998
536,69329.14799999999
537,68151.14999999998
538,68794.14699999998
539,68934.14099999999
540,69504.13599999998
541,69193.14
542,68848.132
543,67898.132
544,67253.135
545,67858.137
546,67688.139
547,65728.142
548,65158.14399999998
549,66963.14399999999
550,68503.14499999999
551,69353.14299999998
552,70013.13999999998
553,70433.13999999998
554,71358.131
555,72013.127
556,71248.124
557,74798.12
558,74273.118
559,72438.12499999999
560,70498.12799999998
561,69673.12699999998
562,70468.12899999996
563,65588.12799999997
564,65613.12899999997
565,65028.12999999997
566,66308.12999999998
567,65273.13399999998
568,66053.13499999998
569,65323.14199999997
570,65208.143999999964
571,65288.13999999998
572,64530.14699999997
573,64135.147999999965
574,62285.148999999954
575,63910.14699999996
576,63285.145999999964
577,62655.14399999997
578,62705.14399999996
579,65090.13999999997
580,65650.13999999997
581,67315.13399999998
582,66520.13699999997
583,66295.13799999996
584,68065.13599999997
585,67445.13799999996
586,68420.13799999996
587,70620.13699999996
588,70110.13199999995
589,68975.13999999996
590,68750.14099999997
591,68520.13799999999
592,68625.13799999996
593,66740.13799999998
594,67110.13799999998
595,65255.135
596,65000.13799999999
597,63930.142
598,64875.143
599,64880.143
600,64575.140999999996
601,63430.14199999999
602,63950.14499999999
603,63215.145999999986
604,61360.14299999998
605,62635.142999999975
606,61205.14699999998
607,59945.14099999998
608,59590.13899999999
609,61085.14099999998
610,61615.141999999985
611,62925.14399999998
612,63100.14399999998
613,63325.14399999997
614,65090.14199999998
615,64290.14599999998
616,66250.14499999997
617,68340.14199999996
618,67560.14299999998
619,67590.14299999998
620,67700.14199999998
621,67215.14699999998
