time,community
0,3004.87900000002
1,5344.8550000000405
2,7070.8430000000435
3,8588.836000000043
4,10000.827000000041
5,11997.818000000038
6,15525.805000000035
7,17726.79500000004
8,19696.796000000042
9,22298.78400000004
10,26728.78100000003
11,26751.76700000003
12,25903.77300000003
13,26490.755000000023
14,26345.748000000025
15,26762.74200000002
16,24614.736000000015
17,23571.728000000014
18,22918.722000000012
19,21593.72800000001
20,19498.71900000001
21,21490.716000000008
22,23030.702000000012
23,23806.697000000007
24,26429.68900000001
25,27489.67300000001
26,30719.660000000007
27,33499.64
28,34127.634999999995
29,35486.623999999996
30,35910.626
31,35777.63
32,36632.633
33,37604.63500000001
34,36387.630999999994
35,36430.636
36,37555.64200000001
37,38210.634
38,38575.638
39,40100.620999999985
40,39111.611999999994
41,38146.60699999999
42,37228.602999999996
43,35326.607
44,34299.60000000001
45,35831.595
46,34649.58800000001
47,33697.58300000001
48,33632.57600000001
49,33862.58000000001
50,32252.58000000001
51,31992.57400000001
52,32557.56600000001
53,34296.554000000004
54,34761.53999999999
55,32663.537000000008
56,34188.53400000001
57,33303.524000000005
58,32888.523
59,32783.522000000004
60,32913.527
61,33373.524999999994
62,33648.522
63,32903.515
64,32485.50800000001
65,32762.502000000008
66,32019.50100000001
67,32319.501000000007
68,31267.499000000007
69,31082.48500000001
70,31532.484000000004
71,31357.477000000006
72,30156.468000000008
73,29453.45600000001
74,29136.43600000001
75,30481.425000000007
76,31031.41800000001
77,32301.412000000008
78,31461.40400000001
79,32444.392000000007
80,31717.38500000001
81,30617.373000000003
82,31542.373000000003
83,33117.373
84,33699.377
85,32312.38500000001
86,33482.388000000006
87,30362.39100000001
88,31337.392000000003
89,32082.397000000008
90,32651.398000000005
91,33871.394
92,35061.39099999999
93,33702.393
94,34057.399999999994
95,34702.39599999999
96,33732.395
97,34732.39399999999
98,35927.39399999999
99,34015.392
100,34547.395
101,32534.40300000001
102,32186.40300000001
103,32004.40700000001
104,31012.41000000001
105,30850.408000000007
106,31310.40200000001
107,33065.40200000001
108,31447.408000000007
109,33379.41
110,32184.413000000004
111,32174.415000000005
112,32820.407
113,33802.407
114,33812.406
115,34595.403000000006
116,36765.399
117,34420.4
118,35414.396
119,35204.397999999994
120,35559.401000000005
121,36919.40299999999
122,36119.405999999995
123,34558.404
124,35796.39099999999
125,37769.38699999999
126,36431.38299999999
127,37001.38699999999
128,37548.38899999998
129,37168.38699999999
130,36781.387999999984
131,35442.384999999995
132,35087.383
133,34842.39
134,34837.392
135,32472.40000000001
136,31865.40400000001
137,33827.401000000005
138,32865.399000000005
139,34620.39800000001
140,34235.397000000004
141,34367.401000000005
142,34987.4
143,37337.39899999999
144,37737.397999999994
145,38927.39199999999
146,40476.393999999986
147,38268.39999999999
148,39408.40399999999
149,39879.39599999999
150,40451.39399999998
151,41439.392999999975
152,40456.394999999975
153,38516.395
154,37344.399
155,37359.395
156,36166.39799999999
157,36824.39499999999
158,35889.392
159,35814.399
160,35444.395
161,34466.394
162,34198.401000000005
163,34200.401000000005
164,33795.407
165,34788.403999999995
166,34220.4
167,36558.399
168,36189.402
169,37349.399999999994
170,36212.397
171,37567.397
172,38072.403999999995
173,38452.406
174,39247.40399999998
175,40292.39799999999
176,41262.40099999998
177,38899.404999999984
178,39042.40899999999
179,38854.406999999985
180,38702.404999999984
181,38887.40399999999
182,37919.40299999999
183,37284.405999999995
184,36514.405999999995
185,36139.403
186,35549.401999999995
187,34984.40099999999
188,33756.40700000001
189,34735.403
190,35263.407999999996
191,34505.407
192,34690.407
193,35080.403999999995
194,34430.41
195,36600.404
196,36180.405
197,39695.404999999984
198,40860.40599999998
199,43005.39999999998
200,42392.39599999997
201,42757.400999999976
202,42367.398999999976
203,42521.400999999976
204,43289.400999999976
205,43639.40099999997
206,45219.39699999997
207,43277.39599999997
208,43512.39599999997
209,42630.38799999998
210,42245.385999999984
211,42475.38099999999
212,42045.383999999984
213,42020.383999999984
214,41039.38499999999
215,40269.38199999998
216,38882.383999999984
217,38710.38099999999
218,37550.37599999999
219,37339.379
220,36194.378
221,36166.382999999994
222,36383.38099999999
223,35221.37899999999
224,34433.382
225,35585.380999999994
226,35093.377
227,37260.373999999996
228,38015.374999999985
229,41125.37699999997
230,41495.379999999976
231,42493.38199999997
232,41956.375999999975
233,42806.37199999997
234,42786.37299999997
235,41816.37499999998
236,43191.36899999998
237,42496.35999999998
238,43096.358999999975
239,41151.36199999998
240,40998.36199999999
241,41375.36999999998
242,40541.378999999986
243,41779.371999999974
244,41201.375999999975
245,41971.37499999997
246,40789.38299999998
247,40174.38799999998
248,39397.38499999999
249,40620.38399999999
250,44600.383999999984
251,44549.391999999985
252,46739.39199999999
253,45326.402999999984
254,38828.40599999999
255,40196.40999999999
256,40427.40899999999
257,42790.40799999998
258,43798.40699999998
259,46373.409999999974
260,46124.41999999998
261,46785.412999999986
262,45794.417999999976
263,47311.42099999998
264,47157.42099999999
265,48390.41599999998
266,48762.41699999997
267,46246.41899999997
268,47859.413999999975
269,46605.42099999998
270,47019.42299999997
271,48845.41699999998
272,48102.41999999998
273,47742.422999999966
274,46936.420999999966
275,46975.42099999998
276,47186.42399999997
277,46568.42699999996
278,44876.422999999966
279,44867.42399999996
280,42730.42599999998
281,42934.433999999965
282,44866.43399999997
283,43989.42299999996
284,43017.42299999997
285,43975.42799999997
286,43050.43199999998
287,44540.44599999997
288,44756.44499999996
289,47674.44399999999
290,49078.43999999998
291,48549.44099999999
292,47809.43499999999
293,48859.43099999999
294,50052.427999999985
295,50231.433999999965
296,50695.43099999996
297,48775.43399999997
298,52129.43299999997
299,52455.43099999997
300,52489.42799999997
301,53279.43099999996
302,53167.426999999974
303,53592.43199999997
304,52424.43199999997
305,52290.42999999998
306,52559.42999999997
307,51750.42999999997
308,50193.43599999999
309,49626.43599999998
310,48687.43399999999
311,48762.432999999975
312,49917.43799999998
313,48186.43699999998
314,47049.44099999999
315,48246.44199999999
316,48708.440999999984
317,50729.43999999999
318,50468.44699999998
319,52506.44299999998
320,53032.44699999998
321,53234.449999999975
322,52395.45199999997
323,53166.455999999984
324,53967.45399999997
325,53580.45799999997
326,52836.45199999996
327,52134.445999999974
328,53661.44899999998
329,52362.450999999965
330,52208.45099999997
331,52569.45199999996
332,52491.459999999955
333,53303.46099999997
334,53864.461999999956
335,52947.46499999997
336,51916.467999999964
337,51500.475999999966
338,50648.481999999975
339,49955.48199999996
340,49210.48099999996
341,50591.48099999997
342,51735.48599999997
343,50940.49699999997
344,50013.49599999996
345,51591.49199999998
346,51615.49399999996
347,53101.493999999955
348,52652.48699999996
349,55220.48199999995
350,55169.48199999997
351,56964.47199999996
352,55783.47199999997
353,55525.45999999997
354,55737.45699999997
355,55544.46199999997
356,54766.45999999996
357,53928.45399999997
358,55647.456999999966
359,54662.45599999996
360,54779.46799999996
361,56368.46199999998
362,56761.460999999974
363,56603.45899999998
364,55786.45399999998
365,55527.44599999998
366,53841.43999999999
367,52514.431999999986
368,52814.42199999998
369,52049.42599999998
370,49860.43899999998
371,49451.447999999975
372,50049.45299999998
373,49374.44899999998
374,46704.463999999985
375,48484.465999999986
376,49292.47599999999
377,51206.48699999999
378,51375.50099999999
379,55234.510999999984
380,55489.51199999999
381,55617.50999999998
382,54989.52299999999
383,54394.532999999974
384,54994.52699999998
385,56220.52399999998
386,57029.52499999999
387,57228.51999999999
388,58899.52499999998
389,58540.52499999998
390,58847.52399999998
391,60636.52599999998
392,60270.53499999999
393,59109.544999999984
394,58830.53299999999
395,58572.54299999998
396,56824.551999999974
397,56299.542999999976
398,55088.55499999997
399,54078.56499999998
400,51637.56599999997
401,50688.56999999998
402,49865.571999999986
403,49089.571999999986
404,49257.57799999997
405,51259.57099999998
406,51192.56099999998
407,53131.56299999999
408,53912.576999999976
409,56430.57899999997
410,57403.58299999998
411,57607.59299999998
412,57120.58699999998
413,57378.59699999999
414,60008.589999999975
415,59208.58999999997
416,60968.58999999997
417,61224.58499999996
418,63352.57899999995
419,62373.58299999996
420,62823.581999999966
421,64739.58099999997
422,66145.57299999996
423,64903.57199999996
424,65060.569999999956
425,66266.56899999996
426,66834.57499999997
427,66519.57299999996
428,63889.56999999996
429,62455.57499999998
430,59928.56899999998
431,58431.55899999998
432,58819.53999999998
433,58826.527999999984
434,57580.52799999999
435,58242.51399999998
436,57604.51399999998
437,58545.50399999997
438,59060.49299999997
439,61586.48599999997
440,61679.484999999964
441,61835.48599999996
442,66338.48099999997
443,68003.47499999996
444,68469.48299999996
445,70707.46599999999
446,72042.46499999997
447,72171.45799999998
448,74086.45499999997
449,73584.43999999997
450,74822.43299999996
451,75710.43699999995
452,76644.43399999995
453,76242.42099999994
454,82812.40599999994
455,82804.39899999993
456,81163.39799999994
457,80890.38999999996
458,78966.38599999995
459,76015.38599999997
