time,community
0,8114.860000000045
1,13558.849000000046
2,17513.83700000006
3,21727.822000000055
4,24632.82400000005
5,28567.80500000005
6,32276.798000000053
7,34346.79800000003
8,36435.79100000001
9,40317.77799999996
10,43622.77799999994
11,41286.76699999998
12,40885.75199999996
13,39220.75099999998
14,38713.74699999999
15,30201.74400000002
16,28523.75100000002
17,29224.748000000018
18,29220.752000000015
19,28195.745000000014
20,27943.73100000001
21,28130.727000000006
22,28717.708000000006
23,28734.693999999996
24,28589.68400000001
25,28894.670000000002
26,28100.660000000007
27,27516.641000000007
28,26631.644
29,26791.625
30,31159.626000000007
31,32047.640000000003
32,31768.644000000008
33,34461.633
34,35574.63099999999
35,35564.63499999998
36,37904.640999999974
37,39234.624999999985
38,40249.624999999985
39,40295.62099999998
40,41528.61399999999
41,40470.61499999998
42,41000.601999999984
43,38369.59399999999
44,38459.58499999999
45,36296.577
46,36996.572
47,36636.564999999995
48,34986.561
49,37379.551999999996
50,36846.54699999999
51,36269.53799999999
52,35898.537
53,36523.52999999999
54,37161.533999999985
55,36995.52999999998
56,34978.529999999984
57,35088.518999999986
58,34268.51499999999
59,33263.50699999999
60,32536.50900000001
61,32383.501000000007
62,33193.494
63,35138.488
64,34341.47799999999
65,33066.472
66,32814.467
67,33369.461
68,35134.46199999999
69,34252.44099999999
70,35395.435999999994
71,35447.42899999999
72,36562.421999999984
73,34792.406999999985
74,34750.393
75,34095.384999999995
76,34095.386999999995
77,32563.378000000008
78,33153.371
79,35243.365
80,35213.359
81,34418.356999999996
82,34028.36
83,34147.37
84,34932.37199999999
85,35097.378
86,33967.373999999996
87,33764.373999999996
88,33809.369
89,32866.369000000006
90,38602.365000000005
91,40167.367
92,43062.36499999999
93,43657.36399999997
94,42520.365000000005
95,42897.36899999999
96,41885.378
97,43115.37299999999
98,43078.37699999999
99,43691.380999999994
100,44251.386
101,44241.39099999999
102,44846.388999999996
103,44481.39
104,44286.393
105,42501.39799999999
106,43071.39899999999
107,40776.39599999999
108,39971.40000000001
109,41531.399999999994
110,42571.393999999986
111,42998.388999999996
112,42193.388999999996
113,41418.393
114,40981.399000000005
115,40597.399000000005
116,35282.401
117,34303.404
118,34930.403999999995
119,33005.402
120,32555.410000000007
121,32360.413000000008
122,34927.41099999999
123,37330.40099999999
124,37550.39899999999
125,38925.39599999998
126,38332.39499999999
127,39877.39599999997
128,40470.394999999975
129,41652.39399999997
130,41047.39699999998
131,41035.39899999999
132,41027.39899999999
133,39054.402999999984
134,39489.396999999975
135,37346.39699999999
136,37158.395999999986
137,34971.401000000005
138,34789.401999999995
139,35968.40099999999
140,36746.40099999999
141,36961.40099999999
142,35591.399999999994
143,34221.401
144,33869.397
145,32889.398
146,32843.402
147,31911.398000000005
148,32841.4
149,31088.40000000001
150,32163.390000000007
151,32803.381
152,35149.37999999999
153,36311.38299999999
154,38072.382
155,38482.39
156,39431.389999999985
157,41166.39299999997
158,41553.39199999997
159,42736.38999999996
