time,community
0,1163.310999999997
1,2436.3059999999978
2,3709.2990000000095
3,4709.298000000012
4,4742.303000000012
5,5202.301000000011
6,5832.297000000011
7,6102.297000000014
8,7212.294000000014
9,7262.295000000014
10,8814.285000000014
11,8541.277000000013
12,8018.27400000001
13,7321.271000000008
14,8016.268000000009
15,8132.260000000007
16,8025.259000000007
17,8229.262000000006
18,7469.261000000005
19,7524.261000000004
20,6304.265000000004
21,6809.262000000003
22,7939.263000000004
23,9027.252000000002
24,10009.247000000003
25,11228.243000000004
26,12448.235000000002
27,12883.231000000002
28,13214.231
29,14209.226
30,15166.229000000001
31,15606.230000000001
32,15239.232000000002
33,15197.236000000003
34,14232.233000000002
35,13902.234000000002
36,13359.231000000002
37,12482.237000000003
38,13537.234000000002
39,13642.231000000002
40,13417.225000000002
41,12937.227000000003
42,11397.223000000004
43,11896.223000000004
44,12071.217000000002
45,12136.211000000003
46,13236.208000000002
47,13231.208000000004
48,11689.206000000002
49,10654.202000000003
50,10374.203000000003
51,10284.210000000001
52,10967.197000000002
53,10887.194000000001
54,10697.194000000003
55,10422.194000000003
56,9172.195000000003
57,9927.196000000005
58,9986.194000000005
59,9971.189000000004
60,10066.184000000003
61,9829.183000000005
62,10437.180000000002
63,10547.182000000003
64,10904.181000000004
65,11479.174000000005
66,11284.171000000004
67,10535.165000000005
68,11570.161000000004
69,12385.160000000003
70,12725.161000000004
71,12642.164000000004
72,12002.165000000006
73,12612.161000000006
74,12547.158000000005
75,12957.153000000004
76,14122.148000000005
77,13332.144000000002
78,12932.136000000002
79,12937.132000000003
80,12330.132000000003
81,12920.128000000004
82,12715.130000000005
83,12525.131000000005
84,12530.132000000005
85,12920.135000000004
86,10990.134000000004
87,12580.129000000003
88,12600.131000000003
89,11615.135000000004
90,11215.137000000004
91,10640.139000000005
92,11009.142000000005
93,11815.140000000003
94,11010.143000000004
95,10840.142000000003
96,11635.142000000003
97,10870.142000000003
98,11675.141000000003
99,13225.142000000003
100,13593.144000000004
101,14028.142000000003
102,13453.141000000003
103,13220.144000000004
104,13215.145000000004
105,13615.144000000004
106,14185.145000000002
107,14155.148000000003
108,13385.147000000003
109,13203.146000000002
110,12983.150000000003
111,13568.150000000003
112,14320.154000000004
113,13925.155000000004
114,14125.154000000004
115,13535.155000000004
116,11600.155000000004
117,12231.151000000003
118,12816.151000000003
119,12643.149000000001
120,12253.149000000003
121,11868.147000000003
122,12498.142000000002
123,12878.144000000002
124,12518.138
125,12131.139000000001
126,12686.142000000002
127,12111.139000000003
128,11526.139000000003
129,12081.142000000002
130,12471.143000000002
131,12658.143000000002
132,12068.144000000002
133,12461.143000000004
134,12653.142000000003
135,13048.141000000003
136,14218.141000000003
137,14403.141000000003
138,13813.142000000003
139,14000.142000000003
140,14590.141000000003
141,15568.140000000003
142,16133.141000000003
143,16133.141000000003
144,15958.140000000003
145,15758.141000000003
146,14001.142000000003
147,14016.140000000003
148,14593.141000000003
149,14396.141000000001
150,13621.140000000003
151,13441.139000000003
152,13643.139000000003
153,14233.138000000003
154,13253.139000000003
155,13448.139000000003
156,13435.140000000003
157,13040.141000000003
158,13048.141000000003
159,13438.141000000003
160,14220.140000000003
161,14448.137000000002
162,14248.137000000002
163,14443.137000000002
164,14228.141000000003
165,14228.141000000003
166,14773.144000000004
167,15183.143000000004
168,14808.142000000003
169,15790.141000000003
170,16150.142000000003
171,16333.144000000004
172,15758.142000000003
173,15735.142000000003
174,15705.143000000004
175,15315.143000000004
176,14135.146000000004
177,13532.149000000005
178,13927.148000000005
179,13380.145000000004
180,13165.146000000004
181,13522.149000000005
182,14277.151000000005
183,14647.153000000004
184,14044.155000000004
185,14077.152000000004
186,14315.149000000005
