time,community
0,3093.4290000000174
1,5066.415000000022
2,6733.404000000021
3,7838.394000000022
4,8678.393000000022
5,9528.38700000002
6,10880.382000000021
7,11975.38000000002
8,12515.376000000017
9,13665.371000000016
10,16430.368000000013
11,15188.369000000012
12,13818.372000000012
13,13313.369000000012
14,12543.37400000001
15,12433.36900000001
16,12251.369000000012
17,12134.36600000001
18,12479.366000000009
19,12004.364000000009
20,9409.355000000003
21,10110.361000000004
22,12318.355000000005
23,15193.346000000007
24,16141.335000000005
25,17841.329
26,18655.325
27,18108.322
28,18894.316
29,19474.310999999998
30,19634.311999999998
31,20140.316
32,18718.325
33,16623.328
34,17213.33
35,17053.328
36,17003.334000000003
37,18801.329
38,17571.333000000002
39,16903.334000000003
40,17916.328000000005
41,18066.328000000005
42,16931.322
43,15856.320000000002
44,15551.311000000002
45,15018.313000000002
46,14743.318000000005
47,14390.317000000003
48,15577.315000000002
49,15947.312000000004
50,16132.307000000004
51,15667.307000000004
52,16022.303000000005
53,17630.292000000005
54,17823.291000000005
55,18651.289
56,18166.286000000004
57,18216.282000000007
58,17481.276000000005
59,16831.267
60,16611.265000000003
61,15381.269000000004
62,15926.263000000003
63,15041.263000000004
64,15203.255000000003
65,14748.252000000004
66,15548.245000000004
67,15693.245000000006
68,15083.244000000006
69,14096.238000000007
70,15263.232000000005
71,16838.226000000006
72,16018.224000000006
73,16578.217000000004
74,16310.219000000006
75,16136.219000000006
76,15131.219000000006
77,14356.216000000006
78,14809.204000000007
79,15994.196000000005
80,16034.190000000004
81,15264.189000000006
82,15039.194000000005
83,16639.188000000006
84,17269.184000000005
85,17440.185000000005
86,18426.191000000006
87,18431.190000000006
88,17638.193000000007
89,16833.197000000004
90,17244.196000000007
91,17041.194000000007
92,18051.191000000006
93,16666.193000000003
94,16502.191000000003
95,15902.194000000003
96,16312.193000000005
97,16887.197000000004
98,17082.200000000004
99,17249.204000000005
100,17269.201
101,16869.204
102,16667.203
103,16062.208000000004
104,16667.204
105,16664.204
106,15679.206000000004
107,15064.211000000005
108,16454.207000000002
109,16451.207000000002
110,16441.208000000002
111,17026.208000000006
112,17191.211000000003
113,19154.210000000006
114,18967.213000000007
115,18587.211000000007
116,19972.207000000006
117,19092.199000000008
118,18527.195000000003
119,17777.193000000003
120,17972.193000000003
121,17402.190000000002
122,18182.191000000003
123,17219.189
124,17214.190000000002
125,16804.193000000003
126,16766.194000000003
127,17137.195000000003
128,16957.192000000003
129,17947.189000000002
130,17147.193000000003
131,16344.196000000004
132,16162.195000000003
133,15367.199000000004
134,15357.201000000005
135,16117.202000000003
136,16492.204
137,16902.203
138,18072.203000000005
139,17682.203000000005
140,18254.204000000005
141,19042.204000000005
142,19037.205000000005
143,21002.204000000005
144,21194.202000000005
145,20029.204000000005
146,21399.203000000005
147,20822.203000000005
148,20422.204000000005
149,20232.202000000005
150,19237.206000000006
151,18257.207000000006
152,18807.210000000006
153,17057.209000000006
154,17812.212000000007
155,17802.215000000004
156,17792.217000000004
157,18182.214000000007
158,17417.211000000007
159,17797.212000000007
160,17782.215000000007
161,16984.215000000007
162,17574.212000000007
163,17387.215000000004
164,17169.218000000004
165,16774.219000000005
166,17344.219000000005
167,16377.218000000004
168,17147.220000000005
169,16942.222000000005
170,16767.22100000001
171,17197.217000000008
172,17382.218000000008
173,18537.217000000008
174,18177.213000000007
175,17602.213000000007
176,18397.213000000007
177,19002.209000000003
178,17394.211000000007
179,17594.209000000006
180,18354.207000000006
181,17977.207000000006
182,17932.211000000003
183,17167.209000000003
184,18517.209000000006
185,20127.202000000005
