time,community
0,1882.4419999999968
1,2733.4360000000015
2,4218.4250000000175
3,5796.405000000017
4,6676.4030000000175
5,7501.400000000016
6,8641.39300000002
7,9493.391000000023
8,10158.39200000002
9,10168.392000000018
10,11753.392000000016
11,12440.384000000016
12,11670.383000000013
13,10932.378000000012
14,11854.36600000001
15,11644.366000000009
16,10902.365000000007
17,10890.37000000001
18,11346.374000000007
19,11598.378000000008
20,9916.381000000007
21,10515.373000000003
22,11733.364000000001
23,13561.359000000004
24,13261.354000000003
25,14461.352000000003
26,15490.341
27,16325.339
28,17247.333000000002
29,19006.325999999997
30,18692.337
31,19350.336
32,19895.336
33,19106.344
34,19021.349000000002
35,19601.344
36,19964.345
37,19224.344
38,18389.347
39,16764.345
40,17358.342
41,18506.339
42,17946.332000000002
43,17431.325
44,17616.323
45,17156.320000000003
46,16011.313000000002
47,16024.308000000003
48,17159.292
49,17154.29
50,16764.286000000004
51,14989.286000000004
52,15161.286000000002
53,15086.286
54,14036.285000000003
55,14461.278000000002
56,15231.280000000002
57,16411.276
58,16573.261000000002
59,16673.263000000003
60,16108.262000000004
61,16046.260000000004
62,16249.254000000004
63,16906.254000000004
64,17448.251000000004
65,16990.252000000004
66,18913.252000000004
67,18698.253000000004
68,19308.248000000007
69,18956.242000000006
70,19336.232000000004
71,19131.232000000004
72,18991.224000000006
73,17268.22300000001
74,17258.220000000005
75,18360.218000000004
76,16355.219000000008
77,15980.212000000005
78,15569.210000000006
79,16129.209000000006
80,16256.210000000008
81,15281.205000000007
82,15894.200000000006
83,15719.199000000006
84,14479.208000000008
85,13914.206000000007
86,14094.211000000008
87,14521.206000000007
88,14708.208000000008
89,15293.209000000008
90,14908.209000000008
91,15706.206000000007
92,16086.206000000006
93,16519.205000000005
94,17301.207000000006
95,16967.203000000005
96,18942.200000000004
97,19332.2
98,19927.199000000004
99,19547.202
100,19362.202
101,19392.199
102,19812.199000000004
103,19019.202
104,19022.201999999997
105,19807.201
106,18224.203
107,18054.2
108,18216.203
109,19559.201
110,19764.2
111,18599.201
112,18161.206000000002
113,18391.204
114,17188.207000000002
115,17006.208000000002
116,17619.204000000005
117,17224.204000000005
118,17044.203000000005
119,17419.204000000005
120,16634.205000000005
121,18437.2
122,19207.200000000004
123,19782.202000000005
124,20952.202
125,20552.204
126,21886.206000000006
127,21884.204000000005
128,23099.198000000004
129,22706.200000000004
130,22744.195000000003
131,20424.196000000004
132,20829.195000000003
133,20242.194000000003
134,19622.196000000004
135,20202.197000000004
136,19237.196000000004
137,19437.195000000003
138,19057.195000000003
139,19257.196000000004
140,19654.195000000003
141,19654.195000000003
142,18879.196000000004
143,18309.193000000003
144,18114.193000000003
145,18091.196000000004
146,18499.194000000003
147,18681.195000000003
148,18356.191000000003
149,18741.192000000003
150,18366.191000000003
151,19151.189000000002
152,20516.187
153,21671.188000000002
154,21846.192000000003
155,21651.192000000003
156,22451.190000000002
157,22458.188000000002
158,23243.188000000002
159,22273.187
160,22241.190000000002
161,21666.186
162,21071.188000000002
163,20463.190000000002
164,20873.187
165,21261.187
166,20426.191000000003
167,20239.192000000003
168,19774.198
169,19589.197000000004
170,19561.199
171,19773.196000000004
172,19186.195000000003
173,19366.195000000003
174,18576.197000000004
175,18201.196000000004
176,19171.196000000004
177,19372.198000000004
178,19177.196000000004
179,19342.198000000004
180,18742.199000000004
181,19317.199000000004
182,20292.199000000004
183,20717.195000000003
184,21284.197000000004
185,21657.198
186,21872.196000000004
187,21662.199000000004
188,22409.201
189,22829.196000000004
190,23009.198
191,22191.202
192,23196.199
193,22619.199
194,23381.199
195,23984.197
196,23824.195
197,23247.195
198,22852.193
199,22862.192
200,23417.193
201,22632.192
202,21844.193
203,21429.199
204,20224.202
205,19431.203
206,19872.198000000004
207,20457.198000000004
208,20072.199000000004
209,19687.197000000004
210,19682.195000000003
211,19697.197000000004
212,20282.197000000004
213,20652.196000000004
214,21622.196000000004
215,21602.197000000004
216,21597.196000000004
217,21392.196000000004
218,22149.195000000003
219,23144.194000000003
220,22744.193000000003
221,21959.192000000003
222,22519.196000000004
223,22346.192000000003
224,22885.197000000004
225,23270.198000000004
226,23098.193000000003
227,22741.188000000006
228,22564.182000000004
229,22934.183000000005
230,23488.186000000005
231,23694.182000000004
232,21939.181000000004
233,22719.178000000004
234,21349.180000000004
235,21144.178000000004
236,21909.178000000004
237,22494.178000000004
238,22114.181000000004
239,21334.180000000004
240,21164.180000000004
241,20764.185000000005
242,21734.184000000005
243,21522.190000000002
244,22312.189000000006
245,21719.191000000006
246,21909.191000000006
247,22114.194000000003
248,22308.193000000003
249,22290.199000000004
250,22100.2
251,21113.202
252,21136.203
253,21138.203
254,21316.207000000002
255,22325.207000000002
256,22913.207000000002
257,22718.206000000002
258,22747.205
259,23684.215000000004
260,24073.215000000004
261,25240.211000000003
