time,community
0,3679.4310000000132
1,6709.419000000019
2,10399.403000000018
3,12607.39900000002
4,14467.392000000022
5,16351.386000000022
6,18026.386000000028
7,19324.383000000027
8,20994.379000000026
9,21634.380000000023
10,23286.38200000002
11,21191.386000000017
12,19396.381000000016
13,18576.377000000015
14,17336.37600000001
15,14128.371000000008
16,13658.36900000001
17,13158.371000000008
18,13318.366000000007
19,14230.362000000005
20,13888.360000000006
21,13831.356000000007
22,12951.352000000006
23,13056.344000000005
24,14771.335000000003
25,13979.332000000002
26,13554.326000000003
27,14184.322
28,14129.318999999998
29,13304.316999999997
30,15239.316999999997
31,16879.324
32,19174.333
33,21378.327999999998
34,19321.34
35,18871.350000000002
36,20706.345
37,21669.343
38,21134.342999999997
39,21824.336
40,21699.332
41,21399.331
42,21897.324999999997
43,20472.322
44,20044.323
45,19754.321
46,18222.318
47,16574.319
48,16769.314000000002
49,17029.311000000005
50,16369.307000000003
51,16352.308000000003
52,15202.305000000004
53,15602.299000000003
54,16132.296000000004
55,16412.292000000005
56,16152.286000000004
57,15334.290000000005
58,15674.287000000004
59,15074.283000000003
60,16002.277000000002
61,17494.276000000005
62,18094.274000000005
63,19109.272000000004
64,18274.271000000004
65,18651.268000000004
66,19206.264000000006
67,20989.256000000005
68,20504.260000000006
69,21019.262000000006
70,21047.254000000004
71,20632.254000000004
72,20280.243000000006
73,20025.241000000005
74,20005.238000000005
75,19610.231000000003
76,18240.228000000003
77,16627.230000000007
78,16007.225000000008
79,15592.222000000007
80,14417.217000000008
81,15047.202000000007
82,15292.196000000005
83,15245.201000000006
84,14835.206000000006
85,15045.205000000005
86,15617.206000000007
87,14842.206000000007
88,15027.210000000008
89,14860.208000000008
90,14860.207000000008
91,14853.209000000008
92,15443.209000000006
93,16453.205000000005
94,17038.205000000005
95,17633.202000000005
96,18028.201000000005
97,19593.200000000004
98,19963.204000000005
99,20908.209000000006
100,21915.208000000006
101,21720.208000000006
102,21933.208000000006
103,21181.205000000005
104,21391.203000000005
105,21566.206000000002
106,20199.207000000002
107,18824.209000000003
108,18249.208000000002
109,18064.206000000002
110,16909.205000000005
111,18089.204
112,17494.204000000005
113,17881.204
114,17524.199
115,17737.197
116,17519.2
117,16552.200000000004
118,16372.196000000004
119,15412.195000000003
120,15842.191000000003
121,15239.193000000003
122,16817.190000000002
123,17602.189000000002
124,17559.193000000003
125,18336.193000000003
126,18374.191000000003
127,19924.193000000003
128,19493.197000000004
129,20276.196000000004
130,20256.198000000004
131,20284.196000000004
132,20097.196000000004
133,19927.193000000003
134,20119.193000000003
135,19734.193000000003
136,19334.194
137,17177.196000000004
138,17767.194000000003
139,17767.194000000003
140,15994.196000000004
141,16974.196000000004
142,15979.198000000004
143,16999.195000000003
144,17409.194000000003
145,18006.192000000003
146,17424.193000000003
147,17194.195000000003
148,17427.192000000003
149,16839.192000000003
150,18399.190000000002
151,18217.189000000002
152,19987.189000000002
153,19397.189
154,19432.186
155,20802.184
156,20807.185
157,21802.183
158,21597.185
159,22187.184
160,21214.182
161,20976.187
162,21006.185
163,19401.191000000003
164,19593.191000000003
165,19653.185
166,18676.187
167,17496.187
168,17884.186
169,18274.186
170,17104.186000000005
171,17659.189000000002
172,16889.188000000006
173,18837.187
174,19627.184
175,19422.184
176,18632.185
177,19192.184
178,19374.185
179,18174.188000000002
180,19719.189000000002
181,19876.191000000003
182,21056.191000000003
183,19861.195
184,19461.196
185,20981.198
186,21366.199
187,22141.2
188,22364.196
189,22987.192
190,21599.195
191,21764.199
192,22349.2
193,21374.199
194,20984.199
195,20749.203
196,20184.2
197,19014.199
198,19822.193
199,19792.194000000003
200,19427.188000000002
201,19637.184
202,18447.186
203,19787.187
204,20372.187
205,20347.191000000003
206,19772.188000000002
207,19172.193000000003
208,18772.190000000006
209,17589.191000000006
210,18164.190000000006
211,24251.188000000006
212,25234.187
213,25228.185
214,26213.183
215,27586.181
216,27561.183000000005
217,27762.182000000004
218,28352.181000000004
219,28537.183000000005
220,26972.185000000005
221,26784.188000000006
222,27417.184000000005
223,21532.185
224,21107.189000000002
225,21097.188000000006
226,21704.185000000005
227,20724.185000000005
228,20096.190000000006
229,19901.189000000006
230,20283.190000000006
231,20046.193000000007
232,19826.192000000003
233,20436.190000000002
234,19448.191000000003
235,20048.188000000002
236,19840.188000000002
237,19050.190000000002
238,19273.190000000002
239,18129.194000000007
240,18765.191000000003
241,19183.191000000003
242,20170.191000000003
243,20959.191000000003
244,22318.197000000004
245,22704.196000000004
246,22504.198000000004
247,22283.201
248,22547.2
249,23343.195000000003
250,22125.199
251,21690.201
252,22718.198
253,22362.199
254,22584.2
255,22190.202
256,22780.201
257,21815.2
258,21079.199
259,20336.2
260,21326.201
261,21131.203
262,21778.199
263,21974.205
264,20791.205
265,20841.203
266,20244.206000000002
267,19204.212000000003
268,19973.213000000003
269,19620.213000000003
270,19438.213000000003
271,19409.215000000004
272,20445.214000000004
273,21624.211000000003
274,23032.210000000003
275,22932.203
276,22581.205
277,22613.207000000002
278,22436.211000000003
279,24216.210000000003
280,23640.214000000004
281,24427.212000000003
282,25221.210000000003
283,24693.208000000002
284,24928.208000000002
285,25925.210000000003
286,26674.211000000003
287,25537.215000000004
288,24520.218000000004
289,22738.220000000005
290,23184.216000000004
291,23796.218000000004
292,24819.219000000005
293,25019.217000000004
294,23534.216000000004
295,24774.214000000004
296,23946.215000000004
297,23245.214000000004
298,23649.218000000004
299,23922.221
300,23594.219
301,23422.218000000004
302,24067.217000000004
303,24702.212000000003
304,25114.212000000003
305,24930.216000000004
306,24556.213000000003
307,24508.218000000004
308,24580.212000000003
309,25616.206000000002
310,24447.205
311,25066.201000000005
312,25866.201000000005
313,25467.204
314,25312.204000000005
315,25518.204000000005
316,25321.207000000002
317,24908.207
318,23985.21
319,22636.212
320,23645.210000000003
321,24209.218
322,24576.219
323,24723.22
324,24485.222
325,25514.217
326,25951.215
327,25846.211
328,26134.213
329,25919.215
330,25950.211
331,25888.211
332,26143.21
333,26900.213
334,28422.211000000003
335,26847.211000000003
336,26345.205
337,25620.204
338,25416.206000000002
339,25779.205
340,25277.199000000004
341,24915.198
342,25301.201
343,25244.195
344,25425.198
345,24813.2
346,24943.192
347,24756.189000000002
348,23634.189000000002
349,22860.183
350,24278.182
351,24527.18
352,24730.183
353,24942.181
354,24996.181
355,25371.185
356,25553.188
357,24939.19
358,24993.193
359,31086.188
360,30740.183000000005
361,31154.178000000004
362,32104.168
363,31865.171000000002
364,26785.171000000006
365,26384.170000000006
366,26254.168000000005
367,26240.165000000005
368,26692.163000000004
369,27099.170000000006
370,26372.176000000003
371,26480.174000000003
372,27693.178000000004
373,26574.183000000005
374,26179.187000000005
375,26783.190000000002
376,25757.198000000004
377,24631.196000000004
378,24920.193000000007
379,23917.195000000003
380,24739.199000000004
381,24771.197000000007
382,25242.197000000004
383,24793.199000000008
384,24747.207000000006
385,25191.204000000005
386,26042.202000000005
387,24811.212000000003
388,25745.216000000004
389,26150.216000000004
390,25953.223000000005
391,26147.224000000006
392,27116.224000000006
393,26515.227000000006
394,27828.220000000005
395,27916.224000000002
396,27488.227000000003
397,27232.242000000006
398,27495.237000000005
399,27373.237000000005
400,27347.234000000004
401,26869.230000000003
402,28018.231000000007
403,27553.241000000005
404,27821.232000000007
405,27995.239000000005
406,27081.232000000007
407,26957.227000000006
408,26733.235000000008
409,25575.241000000005
410,26151.241000000005
411,26420.238000000005
412,27216.235000000008
413,27224.23700000001
414,27567.245000000006
415,27850.238000000005
416,28668.239000000005
417,27220.247000000007
418,28194.245000000006
419,27771.246000000006
420,27390.245000000006
421,27685.248000000007
422,28782.249000000003
423,28315.253
424,28681.257
425,28265.263000000003
426,27816.267000000003
427,26770.263000000003
428,26295.267000000003
429,25664.268000000004
430,25719.263000000003
431,26381.251000000004
432,26860.256
433,26303.250000000004
434,27587.248000000003
435,28601.238
436,27525.232000000007
437,26564.228000000006
438,27012.223000000005
439,26344.225000000006
440,26291.221000000005
441,26097.230000000003
442,27728.218000000004
443,28336.216000000004
444,28775.203
445,28973.201
446,28560.205
447,27734.204
448,28830.211000000003
449,28354.207000000002
450,27064.2
451,27427.202
452,28273.201000000005
453,27045.198
454,27197.193000000003
455,27592.188000000002
456,27106.181000000004
457,25564.179000000004
458,24959.181
459,24533.177000000003
460,24792.168
461,25281.164000000004
462,26469.161000000004
463,26083.155000000002
464,26930.142000000003
465,27601.146
466,26571.15
467,25561.147
468,26340.143
469,25701.135000000002
470,25916.132
471,26587.119000000002
472,27729.119000000002
473,28126.119000000002
474,28686.115
475,28955.108000000004
476,27700.114000000005
477,27050.108000000004
478,28736.105000000003
479,28100.105
480,27082.111
481,27650.113
482,27929.114
483,27123.116
484,27441.117000000002
485,27234.116
486,26437.117000000002
487,25429.118000000002
488,24939.112
489,24913.109000000004
490,24725.106000000003
491,25675.105000000003
492,31736.107000000004
493,30714.108000000004
494,31649.111000000004
495,32747.114000000005
496,31741.116000000005
497,31321.114000000005
498,31407.114000000005
499,31038.110000000004
500,31563.110000000004
501,32736.105000000003
502,33983.100000000006
503,34119.101
504,34681.100000000006
505,34902.095
506,33597.091
507,32841.094000000005
508,34458.09400000001
509,34077.09100000001
510,32268.092000000004
511,32858.092000000004
512,33136.08900000001
513,32335.089000000007
514,33521.08700000001
515,33170.08600000001
516,32780.08600000001
517,31431.083000000006
518,31392.082000000006
519,31163.081000000006
520,31156.080000000005
521,32839.08500000001
522,33830.084
523,32426.082000000002
524,32823.081000000006
525,34383.08
526,33619.079000000005
527,33213.07800000001
528,33421.07800000001
529,27280.072
530,28105.069000000003
531,28685.067000000003
532,30475.064000000002
533,30035.069
534,29828.069000000003
535,28998.073000000004
536,26428.077000000005
537,25843.075000000004
538,27636.072000000004
539,28005.071000000004
540,26925.067000000003
541,27570.064000000006
542,27955.066000000006
543,27435.063000000006
544,27860.061000000005
545,27075.064000000002
546,26490.064000000006
547,24720.067000000003
548,24945.066000000006
549,24780.065000000006
550,25345.065000000002
551,26535.067000000006
552,26700.068000000007
553,24930.072000000004
554,24760.073000000008
555,25795.072000000007
556,25030.074000000008
557,25175.075000000008
558,25910.075000000008
559,25335.07800000001
560,26450.07900000001
561,27010.08000000001
562,28550.079000000005
563,28320.081000000006
564,28535.083000000006
565,27760.08200000001
566,26203.08100000001
567,26208.080000000005
568,28258.07600000001
569,28423.078000000005
570,28013.078000000005
571,28803.07700000001
572,27673.07900000001
573,26473.080000000005
574,27408.083000000006
575,26818.084000000006
576,26328.080000000005
577,25553.07900000001
578,25583.07900000001
579,24423.080000000005
580,24850.082000000006
581,26205.084000000006
582,26635.081000000006
583,25330.08000000001
584,25000.07800000001
585,25580.07900000001
586,24660.07900000001
587,25070.08100000001
588,25770.07800000001
589,24785.08000000001
590,24560.08100000001
591,24920.08200000001
592,25500.08400000001
593,25850.08300000001
594,26295.08200000001
595,26660.08300000001
596,26075.08200000001
597,26130.08100000001
598,26850.08300000001
599,27535.07900000001
600,27335.08000000001
601,28205.07600000001
602,28440.074000000008
603,28190.07600000001
604,28535.08100000001
605,29710.08000000001
606,29125.08000000001
607,28560.08100000001
608,27380.08300000001
609,26430.08300000001
610,25785.08500000001
611,27155.08500000001
612,27615.08400000001
613,26595.08800000001
614,26395.08900000001
615,26490.08700000001
616,25605.08400000001
617,25040.08500000001
618,26090.07900000001
619,25335.08000000001
620,24495.08200000001
621,25935.07700000001
622,26695.07600000001
623,27825.071000000007
624,28270.07000000001
625,28330.068000000007
626,27615.06500000001
627,27080.06500000001
628,27620.07100000001
629,27845.07100000001
630,27220.07500000001
631,27610.075000000008
632,28055.075000000008
633,27335.07300000001
634,27970.07300000001
635,29140.07400000001
636,28010.07200000001
637,27430.07100000001
638,27625.06600000001
639,26920.07000000001
640,27570.06800000001
641,28485.07000000001
642,29220.06900000001
643,28190.06600000001
644,28365.06500000001
645,28165.06700000001
646,27960.06900000001
647,27565.07000000001
648,27920.07200000001
649,27175.07000000001
650,26980.07100000001
651,27915.06900000001
652,28435.07300000001
653,28615.07100000001
654,29170.07200000001
655,28590.07100000001
656,28070.07000000001
657,27250.073000000008
658,27860.07400000001
659,27670.073000000008
660,27820.07700000001
661,28415.07700000001
662,28600.07900000001
663,28020.08400000001
664,28665.08300000001
665,28700.08100000001
666,28215.07600000001
667,27460.07600000001
668,27495.075000000008
669,26895.073000000008
670,27220.067000000006
671,28258.065000000006
672,29158.065000000006
673,28938.065000000006
674,28693.070000000007
675,28138.069000000007
676,28538.067000000006
677,28138.069000000007
678,27653.073000000008
679,27128.071000000007
680,27918.069000000007
681,28765.068000000007
682,29545.068000000007
683,30505.066000000006
684,31310.066000000006
685,30920.066000000006
686,29580.065000000006
687,28200.069000000007
688,28630.066000000006
689,28690.064000000006
690,29040.067000000006
691,28995.071000000007
692,29140.072000000007
693,29030.071000000007
694,29685.06700000001
695,29500.06500000001
696,27505.06900000001
697,26465.073000000008
698,26700.071000000007
699,25990.06900000001
700,25995.06900000001
701,27345.06800000001
702,28740.06700000001
703,28585.06600000001
704,28410.06700000001
705,28835.06700000001
706,29220.06800000001
707,28740.06700000001
708,29060.06200000001
709,28990.06200000001
710,27970.07000000001
711,28940.07100000001
712,29635.07300000001
713,29810.07200000001
714,30420.07200000001
715,30510.06900000001
716,29540.06800000001
717,28560.07100000001
718,28685.076000000012
719,28700.07400000001
720,28445.077000000012
721,28785.077000000012
722,29155.076000000012
723,28730.078000000012
724,28870.076000000012
725,29040.07700000001
726,29080.06900000001
727,27725.07200000001
728,27290.076000000012
729,27470.075000000008
730,26525.07600000001
