time,community
0,10584.296000000168
1,19594.233000000153
2,27705.19200000014
3,34023.15400000013
4,39157.127999999786
5,42682.10999999969
6,47542.08799999958
7,53655.05699999948
8,58832.02199999942
9,64015.98499999933
10,78701.96099999946
11,75022.94399999942
12,71069.93699999944
13,68017.92399999953
14,72030.91599999956
15,72298.91599999963
16,70856.91599999966
17,68883.91199999976
18,67462.91099999979
19,66099.9039999998
20,56002.90499999999
21,62826.88699999994
22,73837.84999999992
23,80906.81299999998
24,85836.772
25,91429.74800000005
26,95297.72700000006
27,99536.6910000001
28,106936.65500000014
29,110913.61800000013
30,110139.63300000018
31,111029.65200000015
32,113252.6640000001
33,114397.67200000014
34,113409.67400000014
35,112374.6860000001
36,112170.68500000011
37,113098.70500000013
38,110266.72000000009
39,108584.6990000001
40,110034.6940000001
41,106921.67500000005
42,104651.65800000007
43,101214.63700000005
44,99073.64400000003
45,97818.63600000004
46,97716.60700000005
47,96275.578
48,95470.56899999996
49,96861.55099999996
50,93359.52999999991
51,92256.49999999991
52,90269.52099999983
53,91262.50099999987
54,85202.48199999989
55,85705.47699999985
56,81279.46099999985
57,82237.43399999985
58,83278.42599999986
59,84588.40499999998
60,87013.38100000001
61,90247.36699999997
62,92232.35699999999
63,91410.343
64,89114.33699999993
65,89832.30299999993
66,85897.30999999991
67,86843.3059999999
68,84701.28399999988
69,82184.2669999998
70,83919.23799999985
71,84276.21699999986
72,83029.18799999986
73,82369.17799999985
74,82241.15799999985
75,82991.13599999988
76,83603.11499999989
77,81452.09199999986
78,82715.07899999985
79,83058.06499999987
80,82083.03699999991
81,80776.00399999987
82,81989.0079999999
83,82832.02599999991
84,85833.04599999993
85,85458.05899999988
86,85757.05499999985
87,86995.05399999984
88,87085.06599999983
89,86823.06499999986
90,86958.05899999985
91,89031.05199999987
92,89001.06599999988
93,88086.06499999987
94,87421.05899999988
95,86403.07199999983
96,89383.07299999987
97,88632.07399999988
98,88852.07999999989
99,86688.08999999987
100,88512.0869999999
101,89717.0819999999
102,89411.09499999991
103,93432.09199999983
104,91327.08699999982
105,94548.08299999987
106,93106.07499999992
107,92058.08399999987
108,93212.07999999989
109,95767.08099999993
110,93767.08899999993
111,92745.09899999987
112,93135.09599999986
113,91081.08599999991
114,99502.09099999996
115,98115.09199999992
116,97084.09599999993
117,99301.08599999992
118,99451.08799999993
119,98545.09599999993
120,99950.08999999997
121,100336.09299999996
122,102811.074
123,101411.07299999997
124,101440.07199999999
125,98453.08099999998
126,99275.08099999998
127,97138.08199999994
128,96761.07899999997
129,94963.08299999993
130,93985.08599999995
131,94558.08199999997
132,94964.07999999996
133,95733.07999999993
134,93249.07299999992
135,94817.07499999992
136,93005.07699999996
137,94153.08099999995
138,95346.07499999995
139,98915.07099999998
140,100479.072
141,101846.07299999997
142,101358.062
143,103888.064
144,105668.05999999997
145,106269.05999999994
146,106509.05399999997
