time,community
0,8177.293000000149
1,13796.244000000144
2,21276.198000000128
3,29688.151000000118
4,36098.10500000009
5,40307.0819999999
6,45504.05299999968
7,50758.03599999948
8,55198.01499999944
9,61791.99299999938
10,76626.96899999942
11,76214.9509999994
12,73052.92699999938
13,67800.92099999951
14,64913.90399999955
15,65294.89299999959
16,65286.88299999962
17,63178.87999999968
18,62680.87599999971
19,59110.86899999981
20,49321.87399999997
21,56321.868999999904
22,64009.85199999987
23,70926.80299999993
24,79865.75899999995
25,85391.738
26,90916.70100000007
27,95391.66400000014
28,100355.64200000015
29,104480.61400000016
30,104900.62300000014
31,101179.62700000014
32,101383.64000000016
33,103921.65100000019
34,100893.66100000014
35,98020.6670000001
36,95855.68600000012
37,96416.6920000001
38,94015.70900000009
39,96948.68000000011
40,96507.68100000011
41,96557.6790000001
42,98837.65100000009
43,96167.634
44,94320.63799999996
45,94868.62499999999
46,97393.59399999998
47,95236.58099999995
48,95433.54599999999
49,93418.51399999995
50,89880.49099999997
51,89367.47299999994
52,90339.44699999997
53,90335.44199999995
54,90900.43999999993
55,89820.41499999986
56,87594.39399999984
57,85512.38999999982
58,87522.37899999987
59,89649.36599999992
60,90252.35399999995
61,89277.33599999994
62,89564.32099999995
63,93229.29599999997
64,91829.28099999996
65,91894.26999999995
66,94259.25799999996
67,96614.23299999996
68,97873.208
69,96147.18799999997
70,99510.15199999991
71,99644.14299999994
72,97699.14099999993
73,95231.12499999991
74,93379.09399999992
75,92504.08499999985
76,93692.0679999999
77,95582.04499999995
78,93684.02999999993
79,93973.99899999991
80,91340.00099999989
81,90794.97799999989
82,91387.98299999989
83,88990.97299999993
84,92099.97799999992
85,91092.98899999994
86,83994.00299999992
87,82255.00299999988
88,84137.01499999991
89,84803.01399999988
90,84634.01899999987
91,86019.02099999988
92,85204.0329999999
93,88749.0379999999
94,89317.04099999992
95,93024.04299999996
96,94716.03599999993
97,102149.04499999995
98,102569.04899999996
99,102592.04799999994
100,100850.0579999999
101,99462.06699999992
102,99469.0739999999
103,100744.06999999992
104,97976.07699999996
105,95292.07799999995
106,95683.07999999994
107,96715.07199999996
108,95510.07299999996
109,94801.06799999997
110,94991.06999999999
111,94854.06899999994
112,94502.06499999993
113,92820.0549999999
114,97290.05499999995
115,96365.05299999994
116,97701.0569999999
117,97149.05499999988
118,96764.05599999994
119,96554.06199999992
120,97281.06799999994
121,94926.06899999993
122,94316.07299999992
123,97628.07499999997
124,97069.06699999995
125,99913.06899999994
126,100161.05899999995
127,101534.06299999998
128,103042.06599999993
129,98537.05899999998
130,97085.05099999995
131,97773.03899999998
132,98083.04799999997
133,97722.04299999996
134,96347.04599999994
135,96728.04799999991
136,96988.04399999992
137,96209.0439999999
138,94416.04399999992
139,94061.04599999993
140,93923.0389999999
141,95165.05299999993
142,93565.05599999992
143,92767.05999999992
144,94730.05899999996
145,93455.05099999999
146,95207.04899999997
147,95855.04300000002
148,94475.04300000002
149,97060.032
150,99607.03300000004
151,98786.03400000001
152,98136.04000000002
153,101654.03900000003
154,101306.03800000003
155,101828.04599999999
156,102541.056
157,109796.05600000001
158,112131.05700000006
159,105781.04500000006
160,102431.04600000003
161,101299.03800000004
162,102514.03500000005
163,100509.03300000002
164,100060.03000000006
165,102047.02100000004
166,102656.02000000005
167,102687.02000000005
168,100552.01900000003
169,101736.013
170,99936.022
171,102292.02200000003
172,101744.01799999998
173,102529.019
174,104449.02100000004
175,102584.03100000005
176,100556.04200000004
177,100776.03800000003
178,101340.03900000002
179,102138.03700000001
180,103480.041
181,100947.04099999997
182,100339.04399999997
183,105469.036
184,106251.03500000003
185,109315.04000000007
186,110301.03600000002
187,112279.03400000004
188,114603.03000000003
189,111475.03300000005
190,108675.04100000003
191,108343.032
192,107763.03400000001
193,103446.03799999997
194,102258.04099999997
195,102700.04399999997
196,103292.04199999999
197,104388.03399999996
198,100977.01799999995
199,100912.02399999998
200,101537.01199999999
201,104633.005
202,105540.00799999997
203,104961.99799999999
204,107321.98899999997
205,106926.98499999999
206,106664.96899999998
207,105337.96399999998
208,106703.96100000001
209,107820.968
210,108747.96600000001
211,105955.96500000001
212,105145.963
213,108476.96300000005
214,108740.95300000004
215,110307.94500000005
216,111857.94900000005
217,112604.94900000007
218,114358.95100000004
219,113253.94400000006
220,111680.94600000004
221,112119.94000000006
222,110696.94200000007
223,109662.94000000008
224,109251.93700000006
225,108623.94200000005
226,108570.93800000002
227,109195.95300000001
228,107603.95200000005
229,107798.94400000006
230,107164.94800000002
231,110090.94100000005
232,109741.93800000002
233,108368.93800000004
234,109225.94300000004
235,111202.93800000004
236,116937.93500000001
237,116890.947
238,118422.95400000001
239,119842.952
240,119749.94900000001
241,117771.96500000003
242,119160.97499999999
243,122665.97800000005
244,125633.97600000005
245,124903.98100000001
246,125023.00500000002
247,124424.01199999997
248,123331.01199999999
249,121126.01
250,122354.019
251,121549.02999999997
252,120857.02899999998
253,118232.036
254,118305.04199999999
255,118381.03899999999
256,118436.046
257,118109.03900000002
258,118555.044
259,118708.04800000001
260,119467.05600000001
261,120620.06400000004
262,120293.062
263,118944.06400000001
264,121967.055
265,125022.05500000002
266,125440.06499999997
267,127016.07199999999
268,126924.06999999998
269,125826.07499999998
270,124667.081
271,123993.08199999998
272,126783.08700000003
273,130926.08100000002
274,138385.08200000005
275,137866.08700000006
276,140174.08000000005
277,140237.09300000005
278,141784.09300000008
279,139252.10400000005
280,138854.09500000006
281,139198.10200000004
282,139389.10900000005
283,137474.11500000008
284,138013.11700000006
285,138902.11600000004
286,139778.11400000003
287,140031.11400000003
288,139207.11300000004
289,139111.11400000006
290,141646.11500000005
291,142501.12300000005
292,141959.13200000004
293,141873.13600000006
294,143507.14500000002
295,146664.14100000006
296,147799.13000000006
297,147877.13100000005
298,147217.14900000003
299,146655.15300000002
300,145613.152
301,144016.151
302,146277.149
303,149267.15600000002
304,138516.162
305,137828.162
306,136291.17600000004
307,136428.16500000004
308,136880.16600000003
309,135833.16900000002
310,134534.16700000002
311,133855.16000000003
312,133611.15800000002
313,133011.17100000003
314,134503.17600000004
315,134000.18700000006
316,134993.17600000004
317,134943.18000000005
318,134697.17300000007
319,135478.18100000004
320,135121.18000000008
321,136402.18200000006
322,136009.1920000001
323,135580.1950000001
324,134539.18900000007
325,135709.20000000007
326,137333.19900000008
327,138467.20400000009
328,139229.2070000001
329,138845.21400000012
330,139693.21700000015
331,139509.22000000012
332,141256.21600000016
333,142404.21900000013
334,140981.2160000002
335,140311.23300000015
336,141460.22800000015
337,140508.2190000002
338,140826.21800000017
339,139574.2130000002
340,139600.20900000018
341,138126.21400000018
342,139048.21900000016
343,138085.2080000002
344,137241.2160000002
345,136801.2230000002
346,137385.2310000002
347,137843.2350000002
348,137380.23300000024
349,137147.2320000002
350,137949.22600000014
351,138707.23000000016
352,141490.22900000014
353,143307.23500000016
354,143187.24400000012
355,145070.23300000015
356,146102.23200000016
357,145232.22700000016
358,144352.22500000015
359,145918.22000000015
360,146677.22300000014
361,146822.21400000012
362,148536.20800000013
363,149300.21100000013
364,148600.2020000001
365,147511.19100000014
366,147915.16900000008
367,146350.15500000014
368,146570.14900000015
369,146271.17900000015
370,146283.19000000015
371,147012.19700000022
372,148414.20500000016
373,147042.21400000024
374,148316.21100000016
375,149961.22200000018
376,151477.24000000017
377,151603.2500000002
378,148849.27700000018
379,147628.28900000016
380,147357.29600000015
381,149713.2960000001
382,149621.30600000013
383,152302.29300000012
384,152787.2930000001
385,154669.2990000001
386,154041.3170000001
387,153122.34300000014
388,153507.35300000015
389,153796.36200000017
390,153066.37000000017
391,152383.38500000015
392,154672.39700000017
393,159621.41800000012
394,161193.42000000022
395,159219.42700000017
396,158524.44100000017
397,155972.43700000015
398,155526.44000000012
399,156061.4500000002
400,155929.45900000015
401,154660.48400000017
402,154469.48800000016
403,151616.50700000013
404,150642.5370000001
405,153564.52900000013
406,157027.5490000001
407,157193.5740000001
408,155588.5730000001
409,153770.60300000015
410,154434.59200000006
411,155898.60500000013
412,157543.6060000001
413,158712.62100000016
414,161550.60800000015
415,160801.59500000012
416,166980.58500000014
417,168022.59400000013
418,169661.59400000013
419,170527.58100000012
420,170726.57700000008
421,172556.5660000001
422,173629.5500000001
423,177287.54800000013
424,177632.55100000015
425,178166.54100000017
426,178191.56000000014
427,174906.56700000016
428,176092.57300000012
429,175283.5370000001
430,171389.50600000014
431,170295.5020000001
432,169370.50600000008
433,166263.48700000008
434,163069.4840000001
435,164329.46000000008
436,163026.43600000007
437,164810.43100000013
438,164457.40800000014
439,163564.37300000014
440,164029.36700000014
441,166342.34400000016
442,167262.33200000017
443,167440.32000000018
444,170058.3030000002
445,171464.28300000017
446,171127.29500000016
447,169914.28900000016
448,172316.26000000018
449,177752.24300000016
450,177419.23200000016
451,179672.21300000008
452,178841.17500000016
453,180856.1480000001
454,181233.13100000005
455,180663.10300000006
456,180021.08400000003
457,178047.06000000008
458,180189.02600000004
459,178511.0040000001
460,178153.98700000014
461,176658.96900000013
462,175586.9510000001
463,171444.94000000012
464,168189.92800000016
465,168995.8930000001
466,169473.88200000013
467,171246.8530000001
468,171844.82800000007
469,170804.80600000004
470,171078.7850000001
471,173321.74800000005
472,172945.7480000001
473,171024.7540000001
474,173491.74700000012
475,174778.74900000013
476,172625.7560000001
477,173839.741
478,174243.7430000001
479,176392.7340000001
480,175131.71400000007
481,180566.71200000006
482,183523.70500000002
483,183938.70200000002
484,184435.693
485,181599.70300000004
486,185478.68099999998
487,183148.675
488,181318.67700000003
489,181545.674
490,183720.67000000004
491,180916.6600000001
492,181321.64200000005
493,178680.64000000007
494,177309.622
495,179779.60899999994
496,179729.60700000002
497,182057.597
498,182899.59400000004
499,178552.59600000002
500,179014.60100000005
501,180753.59500000003
502,180305.59000000005
503,182735.59000000008
504,184238.58900000004
505,183111.58900000007
506,183512.5770000001
507,187062.56900000008
508,185041.55800000002
509,186109.55099999998
510,182411.55000000008
511,182415.54000000007
512,189626.53000000006
513,188622.53300000005
514,184369.53100000002
515,182224.5240000001
516,182743.50700000004
517,180739.505
518,179854.504
519,181597.48500000004
520,183015.474
521,186857.47900000008
522,181823.47199999998
523,177723.472
524,176247.46600000004
525,176190.47400000005
526,176239.46700000003
527,179312.46000000005
528,179319.451
529,179457.44600000003
530,181092.43399999995
531,181580.43199999997
532,179535.432
533,184881.425
534,184571.42800000004
535,185349.415
536,187553.41100000002
537,189108.39800000002
538,182723.40099999998
539,184179.388
540,182684.37400000004
541,183270.36400000006
542,184810.36000000007
543,183928.3680000001
544,184123.3730000001
545,183793.3720000001
546,183980.36000000007
547,182670.36200000005
548,182905.36200000008
549,182671.36200000005
550,184927.35500000004
551,183952.356
552,186382.36
553,184107.34800000003
554,184472.348
555,185697.35299999997
556,186657.358
557,185777.35100000002
558,185052.35800000007
559,184032.35700000005
560,184652.35
561,190787.359
562,186602.36500000008
563,191547.36299999998
564,192797.358
565,192471.35
566,186224.34500000003
567,192214.34200000003
568,192589.34300000002
569,193054.3420000001
