time,community
0,1993.4579999999967
1,3276.448000000004
2,4439.438000000019
3,5889.439000000024
4,6562.431000000021
5,7565.4260000000195
6,8548.41200000002
7,9628.411000000022
8,11283.406000000019
9,11388.40100000002
10,13816.397000000017
11,13170.393000000016
12,13972.380000000014
13,13372.373000000012
14,13227.375000000013
15,13061.362000000008
16,12481.369000000008
17,12226.368000000008
18,11615.372000000005
19,12038.368000000004
20,10363.363000000005
21,11738.364000000003
22,12784.354000000001
23,13539.345
24,14644.341
25,15469.335
26,16854.332
27,17464.329999999998
28,18789.32
29,20331.318999999996
30,20168.319
31,20481.319
32,20765.325
33,20605.327
34,20935.326999999997
35,21350.321999999996
36,20608.319999999996
37,20473.320999999996
38,20866.323
39,19405.322
40,20818.314
41,20066.311999999998
42,19229.315
43,19074.305
44,18669.305
45,17499.297
46,17206.303
47,17611.293
48,16796.299
49,18181.292
50,17743.291999999998
51,17580.289
52,17108.288
53,16758.28
54,15746.281
55,16144.277000000004
56,16469.273
57,15644.271000000002
58,15079.279000000002
59,14502.272000000003
60,15972.271000000002
61,16347.259000000002
62,16977.258
63,17444.258
64,17202.256000000005
65,17162.254000000004
66,17105.256000000005
67,17710.248000000003
68,18670.242000000002
69,18702.234000000004
70,19077.228000000003
71,18257.227000000003
72,17465.225000000002
73,17630.222
74,16665.217000000004
75,16465.213000000003
76,16280.204000000005
77,17042.200000000004
78,16452.198000000004
79,17980.195000000003
80,16420.195000000003
81,16605.195000000003
82,16405.198000000004
83,15820.199000000004
84,15890.190000000004
85,15472.196000000005
86,15647.201000000006
87,15257.202000000007
88,15470.203000000005
89,15665.203000000005
90,17030.203000000005
91,16645.205000000005
92,17425.205000000005
93,17630.205
94,17985.206000000002
95,19325.205
96,18742.205
97,17940.209000000006
98,19140.208000000002
99,18747.207000000002
100,20117.205
101,20132.206000000002
102,19752.207000000002
103,19972.205
104,19605.205
105,19025.206000000002
106,18640.205
107,19017.206000000002
108,19017.206000000002
109,19987.206000000002
110,18240.206000000006
111,19010.209000000003
112,19810.206000000002
113,19400.208000000002
114,19050.203
115,19412.205
116,19597.207000000002
117,18847.205
118,19042.204
119,19067.203
120,19637.206000000002
121,19650.204
122,18862.204
123,18867.203
124,19465.202
125,19647.203
126,19642.204
127,19660.2
128,20225.202
129,20240.202
130,21570.206000000002
131,21190.204
132,20998.206000000002
133,20983.209000000003
134,20603.208000000002
135,20203.210000000003
136,19813.210000000003
137,21368.209000000003
138,20785.208000000002
139,20020.208000000002
140,18392.215000000007
141,18990.214000000004
142,20188.211000000003
143,20375.211000000003
144,18805.213000000003
145,18815.211
146,19572.213000000003
147,18445.206000000002
148,18200.209000000003
149,19170.212000000003
150,19735.215000000004
151,19517.214000000004
152,18352.214000000004
153,17195.214000000007
154,18160.213000000007
155,18160.212000000003
156,18755.212000000003
157,18185.211000000003
158,19375.209000000003
159,19760.209000000003
160,20114.213000000003
161,19896.216000000004
162,20455.218000000004
163,21453.215000000004
164,22233.216000000004
165,22048.215000000004
166,21681.212000000003
167,23631.214000000004
168,23419.216000000004
169,23437.213000000003
170,23057.213000000003
171,23054.214000000004
172,23644.211000000003
173,23444.212000000003
174,21479.214000000004
175,21117.212
176,20717.214000000004
177,19747.213000000003
178,20739.208000000002
179,20172.208000000002
180,21552.205
181,20772.205
182,20027.204
183,19432.204
184,19842.205
185,19411.210000000003
186,19232.209000000003
187,18627.211000000007
188,18602.213000000007
189,18197.215000000004
190,17817.216000000004
191,18022.215000000004
192,18812.214000000004
193,18622.213000000003
194,20385.210000000003
195,20385.210000000003
196,20965.209000000003
197,22942.207000000002
198,22922.208000000002
199,23487.210000000003
200,24070.209000000003
201,23865.208000000002
202,23485.206000000002
203,23480.206000000002
204,21920.205
205,22505.203
206,22500.202
207,21134.202
208,20722.207000000002
209,20699.208000000002
210,21249.209000000003
211,20854.208000000002
212,20695.204
213,20900.203
214,20718.199
215,19745.196
216,19573.195
217,20443.185
218,21213.187
219,21413.183
220,21602.18
221,21969.177
222,23121.179
223,22974.174
224,23934.177
225,23321.18
226,24288.179000000004
227,26456.177000000003
228,26229.180000000004
229,26049.177000000003
230,24897.178000000004
231,25252.178000000004
232,24447.182
233,23072.183
234,22126.179
235,22126.178
236,20986.179
237,19081.176
238,18676.18
239,19071.179
240,20403.186
241,19400.191000000003
242,19440.189000000002
243,19625.194000000003
244,20254.190000000002
245,20253.194000000003
246,20134.190000000002
247,20129.196000000004
248,20714.197000000004
249,20753.198000000004
250,19983.196000000004
251,21303.199000000004
252,22078.200000000004
253,22470.201
254,23038.206000000006
255,23040.202000000005
256,23053.205000000005
257,23862.205000000005
258,24092.208000000002
259,23728.206000000002
260,23561.204000000005
261,23171.207000000006
262,22399.210000000003
263,20791.216000000004
264,20200.216000000004
265,19999.217000000004
266,21008.210000000006
267,20022.209000000006
268,21257.206000000006
269,21993.214000000004
270,24115.218000000004
271,23593.212000000003
272,24227.209000000003
273,24247.201000000005
274,25252.199000000004
275,25072.2
276,24812.207000000002
277,26162.206000000002
278,26387.210000000003
279,26014.212000000003
280,25074.212000000003
281,25257.215000000004
282,24678.218000000004
283,24467.220000000005
284,25358.211000000003
285,25034.208000000002
286,25619.209000000003
287,25568.216000000004
288,27090.218
289,26498.216000000004
290,26718.215000000004
291,27043.213000000003
292,27105.210000000003
293,26142.208000000002
294,25734.208000000002
295,25728.217
296,25908.223
297,25509.227000000003
298,26410.233000000004
299,26292.231000000003
300,27927.228000000003
301,26338.234000000004
302,26712.231000000003
303,25575.230000000003
304,26006.229000000003
305,25258.228000000003
306,25684.223000000005
307,26719.219000000005
308,27733.218000000004
309,28044.220000000005
310,28032.222000000005
311,28538.215000000004
312,28478.219000000005
313,28096.218000000004
314,29366.224000000002
315,29013.222
316,29180.225000000002
317,35124.223
318,35455.227
319,35001.22900000001
320,34639.228
321,35006.23
322,34296.225
323,32013.227000000003
324,30703.225000000006
325,30652.229
326,30048.232
327,29106.232
328,24183.234
329,23934.239
330,26146.24
331,25551.238
332,24753.236
333,25222.236
334,25729.231
335,25592.232
336,25652.23
337,27031.228
338,28429.226000000002
339,29240.222
340,29041.222999999998
341,29578.226
342,29561.223
343,29478.225000000002
344,30702.224
345,29323.221999999998
346,30371.220999999998
347,31537.215
348,30953.217
349,30768.221
350,30416.216
351,30805.219
352,29488.217
353,27833.211
354,26106.21
355,26586.208000000002
356,26282.216000000004
357,25536.215000000004
358,26701.212000000003
359,26989.210000000003
360,28984.215000000004
361,27403.219000000005
362,27733.216000000004
363,27512.218000000004
