time,community
0,2060.455999999997
1,4425.438000000021
2,7060.422000000021
3,8214.412000000022
4,9267.406000000019
5,10297.402000000018
6,11057.398000000017
7,11632.392000000016
8,11837.399000000016
9,12903.395000000015
10,16103.392000000018
11,14206.386000000015
12,13346.376000000013
13,13016.376000000013
14,12526.37300000001
15,13023.36500000001
16,13103.36700000001
17,13470.364000000009
18,13885.364000000009
19,13469.363000000007
20,11131.365000000005
21,13653.356000000003
22,14461.351000000002
23,15282.350000000002
24,16574.343000000004
25,15921.340000000002
26,16959.337000000003
27,18007.326999999997
28,18715.318999999996
29,18873.310999999998
30,18693.313
31,18873.32
32,19150.322
33,18680.325
34,18733.332
35,19468.335
36,18798.34
37,18486.34
38,18296.335
39,19321.331000000002
40,20941.33
41,19892.333000000002
42,19553.328
43,17936.328
44,16534.328
45,16169.329000000003
46,17244.320000000003
47,17564.315000000002
48,18074.311
49,18119.308
50,16677.303000000004
51,15812.305000000004
52,16174.302000000005
53,17614.295000000002
54,18049.289
55,17544.291
56,16544.280000000002
57,15394.281000000003
58,15827.274000000001
59,14872.268000000002
60,16096.262000000002
61,16894.259000000002
62,17779.262000000002
63,17169.259000000002
64,17387.25
65,18087.253000000004
66,18995.25
67,19825.245
68,18933.240000000005
69,19883.234
70,19513.232
71,18300.233000000004
72,17830.231000000003
73,17042.229000000003
74,16744.229000000003
75,18237.229000000003
76,19642.224000000002
77,20017.219
78,19367.219
79,18572.213000000003
80,17585.210000000003
81,17362.203000000005
82,16187.207000000006
83,17962.205000000005
84,17787.203000000005
85,16647.202000000005
86,15697.201000000005
87,14527.201000000005
88,16292.199000000004
89,14740.200000000004
90,15715.201000000005
91,15300.207000000006
92,16100.204000000005
93,16710.200000000004
94,17710.197000000004
95,18520.197000000004
96,18297.202000000005
97,19287.202000000005
98,17970.199000000004
99,18740.201000000005
100,17770.201000000005
101,18530.204
102,19140.201
103,18170.203
104,17540.209000000003
105,19270.213000000003
106,20440.213000000003
107,19630.216000000004
108,19997.216000000004
109,20025.214000000004
110,18660.214000000004
111,18297.213000000003
112,18257.217
113,18817.218000000004
114,19455.212
115,17685.215000000004
116,17510.211000000007
117,17315.211000000007
118,17114.210000000003
119,16516.211000000003
120,17881.211000000007
121,17101.212000000003
122,16561.207000000006
123,16571.205000000005
124,16984.204000000005
125,17412.199000000004
126,17027.200000000004
127,17802.201000000005
128,17832.198000000004
129,17617.201000000005
130,17817.198000000004
131,17797.203000000005
132,17574.206000000006
133,17549.209000000006
134,17794.204000000005
135,19334.207000000002
136,20339.203
137,20322.204
138,21094.204
139,20699.203
140,18774.199
141,19184.196000000004
