;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.06E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.084252758;0.084252758;0.795491519;0.841145001;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;9.73E-05;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.09327984;0.09327984;0.797322219;0.841903891;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;9.10E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.108324975;0.108324975;0.79915292;0.84266278;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;8.80E-05;0;0.000164203;0.0000083;0.000114155;0;0.109327984;0.109327984;0.80098362;0.84342167;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;8.63E-05;0;0.000164203;0.0000249;0.000114155;0;0.099297894;0.099297894;0.802814321;0.84418056;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;7.76E-05;0;0.000164203;0.0000693;0.000114155;0;0.05115346;0.05115346;0.804645021;0.844939449;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;7.66E-05;0;0.000164203;0.000143;0.000114155;0.075707155;0;0;0.806475722;0.845698339;0.0001;0.137615849;0.0001
2017-01-01 07:00:00+00:00;7.96E-05;0;0.000164627;0.00019;0.000114155;0.149750416;0.001003009;0.001003009;0.80795256;0.846457229;0.0001;0.344437689;0.0001
2017-01-01 08:00:00+00:00;8.25E-05;0;0.000165051;0.000168;0.000114155;0.340266223;0.013039117;0.013039117;0.809429398;0.847216118;0.0001;0.54267444;0.0001
2017-01-01 09:00:00+00:00;8.72E-05;0;0.000165476;0.000165;0.000114155;0.760399334;0.044132397;0.044132397;0.810906236;0.847975008;0.0001;0.708860742;0.0001
2017-01-01 10:00:00+00:00;9.11E-05;0;0.000166324;0.000179;0.000114155;0.490016639;0.097291876;0.097291876;0.812383074;0.848733898;0.0001;0.827533585;0.0001
