;ELECTRICITY;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2019-01-01 00:00:00+00:00;5.643142830526156e-05;0.0;6.773822468018704e-06;0.0001141552511415525;0.0;0.026;0.026;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 01:00:00+00:00;6.768427653174578e-05;0.0;3.752117319803566e-06;0.0001141552511415525;0.0;0.014;0.014;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 02:00:00+00:00;7.50915170348363e-05;0.0;2.3813437923019965e-06;0.0001141552511415525;0.0;0.014;0.014;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 03:00:00+00:00;8.144733387758207e-05;3.675700115484533e-07;8.30468633449856e-06;0.0001141552511415525;0.0;0.025;0.025;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 04:00:00+00:00;9.280553713270572e-05;8.21993360406432e-06;2.4914059003495675e-05;0.0001141552511415525;0.0;0.041;0.041;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 05:00:00+00:00;0.00010497304582313192;2.341184116531591e-05;6.933912806996991e-05;0.0001141552511415525;0.0;0.043;0.043;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 06:00:00+00:00;0.00011684742551545665;4.653479911767039e-05;0.00014308074046184266;0.0001141552511415525;0.0;0.035;0.035;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 07:00:00+00:00;0.000124470884489641;7.266681955727431e-05;0.000190107277536714;0.0001141552511415525;0.0;0.031;0.031;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 08:00:00+00:00;0.0001339340392215287;0.00010495532425511679;0.00016809485592719973;0.0001141552511415525;0.0;0.034;0.034;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 09:00:00+00:00;0.00014090882931248647;0.00013396406210640198;0.0001650931620713569;0.0001141552511415525;0.0;0.038;0.038;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 10:00:00+00:00;0.00014464718134109928;0.00016596223463091205;0.00017910106673195685;0.0001141552511415525;0.001;0.044;0.044;0.0001;0.0001;0.0001;0.016602;0.0001
2019-01-01 11:00:00+00:00;0.0001465613587639205;0.00019789427119579488;0.0001961106652483997;0.0001141552511415525;0.08;0.01;0.01;0.0001;0.0001;0.0001;0.108398;0.0001
2019-01-01 12:00:00+00:00;0.0001493839249431523;0.0002296796568703157;0.00019511010062978542;0.0001141552511415525;0.204;0.02;0.02;0.0001;0.0001;0.0001;0.246094;0.0001
2019-01-01 13:00:00+00:00;0.000147153347023299;0.0002435742724461928;0.00018510445444364258;0.0001141552511415525;0.324;0.012;0.012;0.0001;0.0001;0.0001;0.388672;0.0001
2019-01-01 14:00:00+00:00;0.00014511957393739357;0.0002477623983987466;0.00019911235910424259;0.0001141552511415525;0.418;0.008;0.008;0.0001;0.0001;0.0001;0.508789;0.0001
2019-01-01 15:00:00+00:00;0.00015122588979844814;0.00024272515501141883;0.00021612195762068539;0.0001141552511415525;0.476;0.01;0.01;0.0001;0.0001;0.0001;0.586914;0.0001
2019-01-01 16:00:00+00:00;0.00015959133532830925;0.00022958452194455208;0.00022412647456959966;0.0001141552511415525;0.483;0.018;0.018;0.0001;0.0001;0.0001;0.598633;0.0001
2019-01-01 17:00:00+00:00;0.00016467030086594433;0.00019594860714566465;0.00019811179448562827;0.0001141552511415525;0.426;0.031;0.031;0.0001;0.0001;0.0001;0.524414;0.0001
2019-01-01 18:00:00+00:00;0.00016931395399177946;0.00016863573560585337;0.00013707735275015693;0.0001141552511415525;0.36;0.039;0.039;0.0001;0.0001;0.0001;0.439453;0.0001
2019-01-01 19:00:00+00:00;0.00016226030580001198;0.00013450979484477848;9.075121090831558e-05;0.0001141552511415525;0.28;0.041;0.041;0.0001;0.0001;0.0001;0.342773;0.0001
2019-01-01 20:00:00+00:00;0.00014363780475249683;0.00010627832288681887;6.333574035828419e-05;0.0001141552511415525;0.212;0.043;0.043;0.0001;0.0001;0.0001;0.261719;0.0001
2019-01-01 21:00:00+00:00;0.00011917851575631213;7.728385374146234e-05;4.112320582504708e-05;0.0001141552511415525;0.108;0.046;0.046;0.0001;0.0001;0.0001;0.143555;0.0001
2019-01-01 22:00:00+00:00;9.590100534117714e-05;5.1168988293735e-05;2.4613889617911394e-05;0.0001141552511415525;0.016;0.037;0.037;0.0001;0.0001;0.0001;0.038086;0.0001
2019-01-01 23:00:00+00:00;6.514359803338931e-05;2.5019892223789454e-05;8.084562118403417e-06;0.0001141552511415525;0.0;0.056;0.056;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 00:00:00+00:00;5.6520906069530196e-05;0.0;6.773822468018704e-06;0.0001141552511415525;0.0;0.108;0.108;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 01:00:00+00:00;6.751748884711712e-05;0.0;3.752117319803566e-06;0.0001141552511415525;0.0;0.146;0.146;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 02:00:00+00:00;7.321462430252491e-05;0.0;2.3813437923019965e-06;0.0001141552511415525;0.0;0.152;0.152;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 03:00:00+00:00;8.458594479868821e-05;3.5533106668720545e-07;8.30468633449856e-06;0.0001141552511415525;0.0;0.079;0.079;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 04:00:00+00:00;9.105121549525947e-05;8.240783316289242e-06;2.4914059003495675e-05;0.0001141552511415525;0.0;0.041;0.041;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 05:00:00+00:00;0.00010334484769710571;2.6058442131589627e-05;6.933912806996991e-05;0.0001141552511415525;0.0;0.02;0.02;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 06:00:00+00:00;0.00011524336399715357;4.63768676627932e-05;0.00014308074046184266;0.0001141552511415525;0.0;0.015;0.015;0.0001;0.0001;0.0001;0.0;0.0001
