;ELECTRICITY;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2019-01-01 00:00:00+00:00;5.348461932876953e-05;0.0;6.773822468018704e-06;0.0001141552511415;0.0;0.113167;0.113167;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 01:00:00+00:00;6.485869942472343e-05;0.0;3.752117319803566e-06;0.0001141552511415;0.0;0.078167;0.078167;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 02:00:00+00:00;7.452305647393174e-05;0.0;2.3813437923019965e-06;0.0001141552511415;0.0;0.059333;0.059333;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 03:00:00+00:00;8.566170077149836e-05;5.825194257984466e-07;8.30468633449856e-06;0.0001141552511415;0.0;0.045833;0.045833;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 04:00:00+00:00;8.759473074669315e-05;9.303599405061878e-06;2.4914059003495675e-05;0.0001141552511415;0.0;0.035167;0.035167;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 05:00:00+00:00;0.00010337704190078782;2.7660680151115983e-05;6.933912806996991e-05;0.0001141552511415;0.0;0.028167;0.028167;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 06:00:00+00:00;0.00011278558598194039;4.9374320956828963e-05;0.0001430807404618;0.0001141552511415;0.0;0.026333;0.026333;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 07:00:00+00:00;0.00013182720162053534;6.913179958760369e-05;0.0001901072775367;0.0001141552511415;0.0;0.028333;0.028333;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 08:00:00+00:00;0.00014627780363444685;0.0001013854880687861;0.0001680948559271;0.0001141552511415;0.0;0.027667;0.027667;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 09:00:00+00:00;0.0001413359769312276;0.0001330681472441045;0.0001650931620713;0.0001141552511415;0.0;0.032167;0.032167;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 10:00:00+00:00;0.0001472322943995991;0.0001646281466551722;0.0001791010667319;0.0001141552511415;0.007333;0.0395;0.0395;0.0001;0.0001;0.0001;0.023831;0.0001
2019-01-01 11:00:00+00:00;0.00014726040060293737;0.00020373314365056174;0.0001961106652483;0.0001141552511415;0.086;0.003667;0.003667;0.0001;0.0001;0.0001;0.109227;0.0001
2019-01-01 12:00:00+00:00;0.00014203779507479173;0.00024241081567638907;0.0001951101006297;0.0001141552511415;0.196;0.014833;0.014833;0.0001;0.0001;0.0001;0.22319;0.0001
2019-01-01 13:00:00+00:00;0.00015574610978797774;0.0002498751356061874;0.0001851044544436;0.0001141552511415;0.298833;0.0265;0.0265;0.0001;0.0001;0.0001;0.336541;0.0001
2019-01-01 14:00:00+00:00;0.00016266872019573184;0.0002455765480598135;0.0001991123591042;0.0001141552511415;0.379;0.0485;0.0485;0.0001;0.0001;0.0001;0.430797;0.0001
2019-01-01 15:00:00+00:00;0.00015592374373534304;0.00024289897201354628;0.0002161219576206;0.0001141552511415;0.433333;0.078;0.078;0.0001;0.0001;0.0001;0.500458;0.0001
2019-01-01 16:00:00+00:00;0.0001590909472350353;0.00022812164025882655;0.0002241264745695;0.0001141552511415;0.4535;0.1015;0.1015;0.0001;0.0001;0.0001;0.52872;0.0001
2019-01-01 17:00:00+00:00;0.0001699460792426627;0.00019845338489380996;0.0001981117944856;0.0001141552511415;0.436833;0.117333;0.117333;0.0001;0.0001;0.0001;0.510541;0.0001
2019-01-01 18:00:00+00:00;0.00016453832510587965;0.00016362567260251988;0.0001370773527501;0.0001141552511415;0.384667;0.123667;0.123667;0.0001;0.0001;0.0001;0.446685;0.0001
2019-01-01 19:00:00+00:00;0.0001639411277256638;0.0001289323769349593;9.075121090831558e-05;0.0001141552511415;0.304833;0.125833;0.125833;0.0001;0.0001;0.0001;0.351971;0.0001
2019-01-01 20:00:00+00:00;0.00014832357272484426;9.554107946967712e-05;6.333574035828419e-05;0.0001141552511415;0.197667;0.121167;0.121167;0.0001;0.0001;0.0001;0.231745;0.0001
2019-01-01 21:00:00+00:00;0.0001259746263943612;7.014819253426478e-05;4.112320582504708e-05;0.0001141552511415;0.080167;0.112333;0.112333;0.0001;0.0001;0.0001;0.105408;0.0001
2019-01-01 22:00:00+00:00;0.00010006582036291855;4.475971198477247e-05;2.4613889617911397e-05;0.0001141552511415;0.004333;0.122333;0.122333;0.0001;0.0001;0.0001;0.019401;0.0001
2019-01-01 23:00:00+00:00;6.28690080571944e-05;2.1709494359851735e-05;8.084562118403417e-06;0.0001141552511415;0.0;0.1605;0.1605;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 00:00:00+00:00;5.194525128108952e-05;0.0;6.773822468018704e-06;0.0001141552511415;0.0;0.118;0.118;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 01:00:00+00:00;6.695310872378728e-05;0.0;3.752117319803566e-06;0.0001141552511415;0.0;0.067667;0.067667;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 02:00:00+00:00;7.097388412441619e-05;0.0;2.3813437923019965e-06;0.0001141552511415;0.0;0.053;0.053;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 03:00:00+00:00;7.22222586290931e-05;1.379630654994901e-07;8.30468633449856e-06;0.0001141552511415;0.0;0.037667;0.037667;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 04:00:00+00:00;8.576242944436558e-05;5.993892349053586e-06;2.4914059003495675e-05;0.0001141552511415;0.0;0.0235;0.0235;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 05:00:00+00:00;9.870481375244201e-05;1.985978894447378e-05;6.933912806996991e-05;0.0001141552511415;0.0;0.014;0.014;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 06:00:00+00:00;0.00011540257067987665;4.59820201764498e-05;0.0001430807404618;0.0001141552511415;0.0;0.008833;0.008833;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 07:00:00+00:00;0.00012864517606909608;7.388258710190718e-05;0.0001901072775367;0.0001141552511415;0.0;0.004667;0.004667;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 08:00:00+00:00;0.00013481359346490475;0.00010394220338554551;0.0001680948559271;0.0001141552511415;0.0;0.004;0.004;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 09:00:00+00:00;0.00014722004370931348;0.00013308211843431923;0.0001650931620713;0.0001141552511415;0.0;0.006167;0.006167;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 10:00:00+00:00;0.00015252217904386653;0.00017146694906970697;0.0001791010667319;0.0001141552511415;0.008833;0.007167;0.007167;0.0001;0.0001;0.0001;0.026276;0.0001
2019-01-02 11:00:00+00:00;0.0001517031327299445;0.00020560609886442681;0.0001961106652483;0.0001141552511415;0.094833;0.003833;0.003833;0.0001;0.0001;0.0001;0.117935;0.0001
