Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;0.056566342643767156;0.002874816781833333;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;0.01530844259039256;0.0009037846500801368;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Lighting;Public lighting;LIGHTING_P;0.0;0.0;0.0;0.0;0.0020504641148749335;0.0;0.0;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;0.0;0.00013422906149772153;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Heat;Cooking;COOKING;1.068498285;0.0010926634068666669;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;0.1805004471134588;0.005966011517958333;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;0.2610792758099482;0.02047766611032635;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[Mpkm]
Mobility;International shipping;SHIPPING;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0.0;0.032090089901545264;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0.0;0.0;0.013336956012643697;0.0;0.0;0.0;0.0;0.0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[GWh]
