;ELECTRICITY;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2019-01-01 00:00:00+00:00;5.76883634352735e-05;0.0;6.773822468018704e-06;0.0001141552511415525;0.0;0.1075;0.1075;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 01:00:00+00:00;6.67101468573904e-05;0.0;3.752117319803566e-06;0.0001141552511415525;0.0;0.092;0.092;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 02:00:00+00:00;7.367151260367964e-05;0.0;2.3813437923019965e-06;0.0001141552511415525;0.0;0.078;0.078;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 03:00:00+00:00;8.107209764568875e-05;3.8544759763296863e-07;8.30468633449856e-06;0.0001141552511415525;0.0;0.0645;0.0645;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 04:00:00+00:00;9.21981519421793e-05;7.333976894355563e-06;2.4914059003495675e-05;0.0001141552511415525;0.0;0.053;0.053;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 05:00:00+00:00;0.00010428096001272018;2.2286623527241852e-05;6.933912806996991e-05;0.0001141552511415525;0.0;0.035;0.035;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 06:00:00+00:00;0.0001132216375674511;4.363987627140378e-05;0.00014308074046184266;0.0001141552511415525;0.0;0.016;0.016;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 07:00:00+00:00;0.0001253289581282605;6.85395423744661e-05;0.000190107277536714;0.0001141552511415525;0.0;0.0095;0.0095;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 08:00:00+00:00;0.00013485239308584353;9.599202637957102e-05;0.00016809485592719973;0.0001141552511415525;0.0;0.02;0.02;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 09:00:00+00:00;0.00014020334545481256;0.0001260575031027469;0.0001650931620713569;0.0001141552511415525;0.0;0.0615;0.0615;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-01 10:00:00+00:00;0.00014387502672876597;0.0001566986365541163;0.00017910106673195685;0.0001141552511415525;0.012;0.068;0.068;0.0001;0.0001;0.0001;0.03066;0.0001
2019-01-01 11:00:00+00:00;0.00014531816744790834;0.00018981149159999402;0.0001961106652483997;0.0001141552511415525;0.101;0.0115;0.0115;0.0001;0.0001;0.0001;0.12783;0.0001
2019-01-01 12:00:00+00:00;0.00014920759311188238;0.00022185068025960795;0.00019511010062978542;0.0001141552511415525;0.2175;0.015;0.015;0.0001;0.0001;0.0001;0.253774;0.0001
2019-01-01 13:00:00+00:00;0.00014938797524258882;0.00023823373432964678;0.00018510445444364258;0.0001141552511415525;0.319;0.0315;0.0315;0.0001;0.0001;0.0001;0.370755;0.0001
2019-01-01 14:00:00+00:00;0.00015006828842895482;0.00023506766007551225;0.00019911235910424259;0.0001141552511415525;0.383;0.059;0.059;0.0001;0.0001;0.0001;0.449057;0.0001
2019-01-01 15:00:00+00:00;0.00015287961191293205;0.00023099975330681774;0.00021612195762068539;0.0001141552511415525;0.4125;0.074;0.074;0.0001;0.0001;0.0001;0.488679;0.0001
2019-01-01 16:00:00+00:00;0.00015735906344254121;0.0002220574513305125;0.00022412647456959966;0.0001141552511415525;0.415;0.0745;0.0745;0.0001;0.0001;0.0001;0.492925;0.0001
2019-01-01 17:00:00+00:00;0.00016469566282522845;0.00019263027156766783;0.00019811179448562827;0.0001141552511415525;0.367;0.068;0.068;0.0001;0.0001;0.0001;0.432547;0.0001
2019-01-01 18:00:00+00:00;0.00016669760547675241;0.00016583323496218442;0.00013707735275015693;0.0001141552511415525;0.3015;0.057;0.057;0.0001;0.0001;0.0001;0.353774;0.0001
2019-01-01 19:00:00+00:00;0.00016232300115930897;0.00013474014547147775;9.075121090831558e-05;0.0001141552511415525;0.232;0.0515;0.0515;0.0001;0.0001;0.0001;0.273585;0.0001
2019-01-01 20:00:00+00:00;0.0001426569199851195;0.000103412261346419;6.333574035828419e-05;0.0001141552511415525;0.148;0.0575;0.0575;0.0001;0.0001;0.0001;0.181604;0.0001
2019-01-01 21:00:00+00:00;0.00011646998561390103;7.394706197470095e-05;4.112320582504708e-05;0.0001141552511415525;0.061;0.061;0.061;0.0001;0.0001;0.0001;0.086792;0.0001
2019-01-01 22:00:00+00:00;9.413873841271087e-05;4.8583491701978374e-05;2.4613889617911394e-05;0.0001141552511415525;0.0;0.075;0.075;0.0001;0.0001;0.0001;0.012736;0.0001
2019-01-01 23:00:00+00:00;6.541107992136715e-05;2.2924678653994868e-05;8.084562118403417e-06;0.0001141552511415525;0.0;0.0935;0.0935;0.0001;0.0001;0.0001;0.0;0.0001
2019-01-02 00:00:00+00:00;5.829218531251742e-05;0.0;6.773822468018704e-06;0.0001141552511415525;0.0;0.084;0.084;0.0001;0.0001;0.0001;0.0;0.0001
