;avail_local;avail_exterior;gwp_op_local;c_op_local
WOOD;0.295315;1.000000e+15;0.011800;0.016981
BIOMASS_RESIDUES;1.146905;0.000000e+00;0.011800;0.010318
WASTE;0.000000;0.000000e+00;0.150100;0.021188
ELECTRICITY;0.000000;0.000000e+00;0.412971;0.063732
GAS;0.000000;1.000000e+00;0.266600;0.003808
GASOLINE;0.000000;1.000000e+00;0.344800;0.053480
DIESEL;0.000000;2.151550e+01;0.314800;0.046630
LFO;0.000000;1.000000e+00;0.311500;0.035454
LPG;0.000000;1.000000e+00;0.283609;0.021579
LNG;0.000000;1.000000e+00;0.266600;0.010663
JET_FUEL;0.000000;1.000000e+00;0.311500;0.035454
