i_rate,MV_scenario,SHS_scenario,Cluster,share_dispersion
0.064,MV-50%,SHS-25%,C1,0.1966
0.064,MV-50%,SHS-25%,C2,0.098
0.064,MV-50%,SHS-25%,C3,0.0335
0.064,MV-50%,SHS-25%,C4,0.0692
0.064,MV-50%,SHS-25%,C5,0.002
0.064,MV-50%,SHS base,C1,0.1426
0.064,MV-50%,SHS base,C2,0.0196
0.064,MV-50%,SHS base,C3,0.0254
0.064,MV-50%,SHS base,C4,0.0462
0.064,MV-50%,SHS base,C5,0.0
0.064,MV-50%,SHS+25%,C1,0.1117
0.064,MV-50%,SHS+25%,C2,0.0196
0.064,MV-50%,SHS+25%,C3,0.0218
0.064,MV-50%,SHS+25%,C4,0.0354
0.064,MV-50%,SHS+25%,C5,0.0
0.064,MV base,SHS-25%,C1,0.3872
0.064,MV base,SHS-25%,C2,0.3627
0.064,MV base,SHS-25%,C3,0.0951
0.064,MV base,SHS-25%,C4,0.1996
0.064,MV base,SHS-25%,C5,0.002
0.064,MV base,SHS base,C1,0.318
0.064,MV base,SHS base,C2,0.098
0.064,MV base,SHS base,C3,0.0634
0.064,MV base,SHS base,C4,0.1393
0.064,MV base,SHS base,C5,0.002
0.064,MV base,SHS+25%,C1,0.2427
0.064,MV base,SHS+25%,C2,0.098
0.064,MV base,SHS+25%,C3,0.0407
0.064,MV base,SHS+25%,C4,0.0981
0.064,MV base,SHS+25%,C5,0.002
0.064,MV+50%,SHS-25%,C1,0.4987
0.064,MV+50%,SHS-25%,C2,0.4869
0.064,MV+50%,SHS-25%,C3,0.1236
0.064,MV+50%,SHS-25%,C4,0.331
0.064,MV+50%,SHS-25%,C5,0.004
0.064,MV+50%,SHS base,C1,0.3955
0.064,MV+50%,SHS base,C2,0.4869
0.064,MV+50%,SHS base,C3,0.0999
0.064,MV+50%,SHS base,C4,0.2224
0.064,MV+50%,SHS base,C5,0.003
0.064,MV+50%,SHS+25%,C1,0.3688
0.064,MV+50%,SHS+25%,C2,0.3627
0.064,MV+50%,SHS+25%,C3,0.0739
0.064,MV+50%,SHS+25%,C4,0.1768
0.064,MV+50%,SHS+25%,C5,0.002
0.1,MV-50%,SHS-25%,C1,0.2201
0.1,MV-50%,SHS-25%,C2,0.098
0.1,MV-50%,SHS-25%,C3,0.0335
0.1,MV-50%,SHS-25%,C4,0.0785
0.1,MV-50%,SHS-25%,C5,0.002
0.1,MV-50%,SHS base,C1,0.1779
0.1,MV-50%,SHS base,C2,0.0196
0.1,MV-50%,SHS base,C3,0.0282
0.1,MV-50%,SHS base,C4,0.0548
0.1,MV-50%,SHS base,C5,0.0
0.1,MV-50%,SHS+25%,C1,0.1285
0.1,MV-50%,SHS+25%,C2,0.0196
0.1,MV-50%,SHS+25%,C3,0.0223
0.1,MV-50%,SHS+25%,C4,0.0401
0.1,MV-50%,SHS+25%,C5,0.0
0.1,MV base,SHS-25%,C1,0.3955
0.1,MV base,SHS-25%,C2,0.4869
0.1,MV base,SHS-25%,C3,0.0999
0.1,MV base,SHS-25%,C4,0.2224
0.1,MV base,SHS-25%,C5,0.003
0.1,MV base,SHS base,C1,0.3423
0.1,MV base,SHS base,C2,0.2353
0.1,MV base,SHS base,C3,0.067
0.1,MV base,SHS base,C4,0.1529
0.1,MV base,SHS base,C5,0.002
0.1,MV base,SHS+25%,C1,0.2912
0.1,MV base,SHS+25%,C2,0.098
0.1,MV base,SHS+25%,C3,0.0494
0.1,MV base,SHS+25%,C4,0.1099
0.1,MV base,SHS+25%,C5,0.002
0.1,MV+50%,SHS-25%,C1,0.5023
0.1,MV+50%,SHS-25%,C2,0.4869
0.1,MV+50%,SHS-25%,C3,0.131
0.1,MV+50%,SHS-25%,C4,0.3417
0.1,MV+50%,SHS-25%,C5,0.004
0.1,MV+50%,SHS base,C1,0.3994
0.1,MV+50%,SHS base,C2,0.4869
0.1,MV+50%,SHS base,C3,0.1107
0.1,MV+50%,SHS base,C4,0.2662
0.1,MV+50%,SHS base,C5,0.004
0.1,MV+50%,SHS+25%,C1,0.3872
0.1,MV+50%,SHS+25%,C2,0.3627
0.1,MV+50%,SHS+25%,C3,0.0951
0.1,MV+50%,SHS+25%,C4,0.1996
0.1,MV+50%,SHS+25%,C5,0.002
0.12,MV-50%,SHS-25%,C1,0.234
0.12,MV-50%,SHS-25%,C2,0.098
0.12,MV-50%,SHS-25%,C3,0.0407
0.12,MV-50%,SHS-25%,C4,0.0935
0.12,MV-50%,SHS-25%,C5,0.002
0.12,MV-50%,SHS base,C1,0.1803
0.12,MV-50%,SHS base,C2,0.0196
0.12,MV-50%,SHS base,C3,0.031
0.12,MV-50%,SHS base,C4,0.0574
0.12,MV-50%,SHS base,C5,0.0
0.12,MV-50%,SHS+25%,C1,0.1338
0.12,MV-50%,SHS+25%,C2,0.0196
0.12,MV-50%,SHS+25%,C3,0.0254
0.12,MV-50%,SHS+25%,C4,0.0426
0.12,MV-50%,SHS+25%,C5,0.0
0.12,MV base,SHS-25%,C1,0.3955
0.12,MV base,SHS-25%,C2,0.4869
0.12,MV base,SHS-25%,C3,0.0999
0.12,MV base,SHS-25%,C4,0.2264
0.12,MV base,SHS-25%,C5,0.003
0.12,MV base,SHS base,C1,0.3688
0.12,MV base,SHS base,C2,0.3627
0.12,MV base,SHS base,C3,0.0712
0.12,MV base,SHS base,C4,0.1692
0.12,MV base,SHS base,C5,0.002
0.12,MV base,SHS+25%,C1,0.2943
0.12,MV base,SHS+25%,C2,0.098
0.12,MV base,SHS+25%,C3,0.0494
0.12,MV base,SHS+25%,C4,0.1245
0.12,MV base,SHS+25%,C5,0.002
0.12,MV+50%,SHS-25%,C1,0.5232
0.12,MV+50%,SHS-25%,C2,0.4869
0.12,MV+50%,SHS-25%,C3,0.1315
0.12,MV+50%,SHS-25%,C4,0.3437
0.12,MV+50%,SHS-25%,C5,0.004
0.12,MV+50%,SHS base,C1,0.4089
0.12,MV+50%,SHS base,C2,0.4869
0.12,MV+50%,SHS base,C3,0.1111
0.12,MV+50%,SHS base,C4,0.2856
0.12,MV+50%,SHS base,C5,0.004
0.12,MV+50%,SHS+25%,C1,0.3872
0.12,MV+50%,SHS+25%,C2,0.3627
0.12,MV+50%,SHS+25%,C3,0.0999
0.12,MV+50%,SHS+25%,C4,0.2066
0.12,MV+50%,SHS+25%,C5,0.003
