Cluster,Dist_band,HH_2024_scaled,N_communities,Mean_dist_km,Median_dist_km,Share_of_cluster
C1,<5 km,68.5,4,1.27,0.3,0.0281
C1,5-10 km,27.2,2,7.8,7.8,0.0112
C1,10-25 km,10.1,2,13.71,13.71,0.0041
C1,25-50 km,156.4,11,39.15,38.95,0.0643
C1,>50 km,2171.8,145,165.44,143.87,0.8923
C2,25-50 km,130.6,6,43.39,45.79,0.5163
C2,>50 km,122.4,10,68.11,67.26,0.4837
C3,<5 km,1512.1,15,2.46,2.56,0.369
C3,5-10 km,526.0,33,7.87,8.61,0.1283
C3,10-25 km,1204.8,58,16.55,16.29,0.294
C3,25-50 km,477.7,27,32.37,29.11,0.1166
C3,>50 km,377.5,27,66.66,65.7,0.0921
C4,<5 km,395.4,10,1.84,1.94,0.0939
C4,5-10 km,131.0,7,8.34,8.09,0.0311
C4,10-25 km,780.6,63,18.52,18.99,0.1855
C4,25-50 km,1132.4,117,37.36,36.61,0.269
C4,>50 km,1769.7,146,72.37,69.38,0.4204
C5,<5 km,359.6,5,3.14,3.15,0.9104
C5,5-10 km,11.4,5,6.99,6.76,0.0289
C5,10-25 km,24.0,4,16.19,14.67,0.0608
