fid,OBJECTID,Titular,SIN,SHAPE_Leng
1,1,SEPSA,SIN,3.50627010537
2,2,SEPSA,SIN,2.34172002208
3,3,SEPSA,SIN,0.03117861748
4,4,SEPSA,SIN,2.15343915423
5,5,SEPSA,SIN,0.00195736728
6,6,SEPSA,SIN,0.09003888005
7,7,SEPSA,SIN,12.3584183462
8,8,SEPSA,SIN,0.09579265985
9,9,SEPSA,SIN,0.01824509216
10,10,SEPSA,SIN,0.00471486266
11,11,SEPSA,SIN,0.00470611909
12,12,SEPSA,SIN,7.0405913E-4
13,13,SEPSA,SIN,3.30972540699
27,27,SEPSA,SIN,0.04195279344
28,28,SEPSA,SIN,11.5450505587
61,61,SEPSA,SIN,3.05016059816
62,62,SEPSA,SIN,0.75437079777
360,360,DEORURO,SIN,9.3826904E-4
469,887,DELBENI,SIN,0.00259711472
14,14,SEPSA,SIN,0.15647864636
15,15,SEPSA,SIN,0.57861826223
16,16,SEPSA,SIN,0.04422094893
17,17,SEPSA,SIN,0.01694035946
18,18,SEPSA,SIN,2.40815002527
19,19,SEPSA,SIN,1.01844273649
20,20,SEPSA,SIN,0.00518875792
21,21,SEPSA,SIN,1.21556593628
22,22,SEPSA,SIN,6.14356971763
23,23,SEPSA,SIN,1.55397312267
24,24,SEPSA,SIN,0.01125135954
361,361,DEORURO,SIN,1.126535E-4
25,25,SEPSA,SIN,0.351411867
26,26,SEPSA,SIN,0.00162572199
470,888,DELBENI,SIN,0.00319198126
29,29,SEPSA,SIN,0.01790863702
30,30,SEPSA,SIN,0.10515375008
386,386,DEORURO,SIN,0.01692848545
31,31,SEPSA,SIN,0.07314361047
32,32,SEPSA,SIN,7.5111872811
33,33,SEPSA,SIN,0.14980585159
34,34,SEPSA,SIN,2.1137371958
35,35,SEPSA,SIN,4.70366939214
36,36,SEPSA,SIN,0.00202968615
387,387,DEORURO,SIN,9.094799E-5
388,388,DEORURO,SIN,2.45050155085
471,889,DELBENI,SIN,0.00120743304
37,37,SEPSA,SIN,0.33897294152
38,38,SEPSA,SIN,1.84553737787
39,39,SEPSA,SIN,7.35594777097
40,40,SEPSA,SIN,0.02718994641
41,41,SEPSA,SIN,0.03003925134
411,411,SETAR,SIN,0.00979037789
42,42,SEPSA,SIN,0.03459735737
43,43,SEPSA,SIN,0.07351516209
44,44,SEPSA,SIN,1.71414963635
45,45,SEPSA,SIN,0.22836029879
54,54,SEPSA,SIN,0.00710674016
55,55,SEPSA,SIN,0.00164856533
412,412,SETAR,SIN,0.01696069692
413,413,SETAR,SIN,0.01242276718
414,414,SETAR,SIN,0.01278408295
46,46,SEPSA,SIN,0.38960717115
47,47,SEPSA,SIN,0.39758284141
48,48,SEPSA,SIN,0.01001831746
415,415,SETAR,SIN,0.00635150916
416,416,SETAR,SIN,0.00719155507
417,417,SETAR,SIN,0.00335330361
418,418,SETAR,SIN,0.00511285223
49,49,SEPSA,Sist. Ais.,0.29510303754
50,50,SEPSA,SIN,4.571854327
51,51,SEPSA,SIN,0.03180311218
52,52,SEPSA,SIN,5.39728072506
53,53,SEPSA,SIN,0.09624820435
56,56,SEPSA,SIN,0.06070469875
57,57,SEPSA,SIN,8.945714449
419,419,SETAR,SIN,0.00421168711
420,420,SETAR,SIN,0.01445011116
58,58,SEPSA,SIN,0.45548707318
59,59,SEPSA,SIN,0.02829150588
60,60,SEPSA,SIN,0.01581187004
63,63,SEPSA,SIN,0.04256946701
64,64,SEPSA,SIN,0.85672666748
65,65,SEPSA,SIN,10.4909028725
66,66,SEPSA,SIN,0.11202252827
67,67,SEPSA,SIN,0.20047526519
421,421,SETAR,SIN,0.00599298802
68,68,SEPSA,SIN,0.17076064471
69,69,SEPSA,SIN,0.07780052133
70,70,SEPSA,SIN,0.03206504131
71,71,SEPSA,SIN,7.040695E-5
72,72,SEPSA,SIN,0.03934228079
270,270,CESSA,SIN,0.00323035921
73,73,SEPSA,SIN,0.45780543103
74,74,SEPSA,SIN,6.01386889434
75,75,SEPSA,SIN,4.99253884738
271,271,CESSA,SIN,0.1278199938
272,272,CESSA,SIN,0.36740222347
76,76,SEPSA,SIN,0.10747034793
273,273,CESSA,SIN,0.18766398725
274,274,CESSA,SIN,0.12288135914
275,275,CESSA,SIN,0.01333511191
276,276,CESSA,SIN,0.01447268766
277,277,CESSA,SIN,0.0144388525
278,278,CESSA,SIN,2.25638144736
279,279,CESSA,SIN,0.11645493843
422,422,SETAR,SIN,0.01652477064
423,423,SETAR,SIN,0.00497344806
424,424,SETAR,SIN,0.00392763784
425,425,SETAR,SIN,3.89559582728
77,77,SEPSA,SIN,0.06123970375
78,78,SEPSA,SIN,2.71265282778
79,79,SEPSA,SIN,0.00241444042
80,80,SEPSA,SIN,0.93797526234
81,81,SEPSA,SIN,0.03158359859
82,82,ENDE DELAPAZ,SIN,0.03564897539
83,83,ENDE DELAPAZ,SIN,0.26510841967
84,84,ENDE DELAPAZ,SIN,0.05599160654
280,280,CESSA,SIN,0.03099155073
426,426,SETAR,SIN,0.53056432788
427,427,SETAR,SIN,1.33619668436
85,85,ENDE DELAPAZ,SIN,0.06308404757
428,428,SETAR,SIN,9.75379283791
429,429,SETAR,SIN,15.4950709199
430,822,SETAR,SIN,0.33918667507
431,849,DELBENI,SIN,2.38659981249
612,1030,ENDE Cobija,Sist. Ais.,0.00824735416
613,1031,ENDE Cobija,Sist. Ais.,0.05757049487
86,86,ENDE DELAPAZ,SIN,0.05842977423
87,87,ENDE DELAPAZ,SIN,0.04227357375
138,138,ENDE DELAPAZ,SIN,0.03858467635
614,1032,ENDE Cobija,Sist. Ais.,0.02537441523
615,1033,ENDE Cobija,Sist. Ais.,0.05039676749
88,88,ENDE DELAPAZ,SIN,0.04730970873
89,89,ENDE DELAPAZ,SIN,0.48515585135
90,90,ENDE DELAPAZ,SIN,0.09888573714
162,162,ENDE DELAPAZ,SIN,0.07885058418
163,163,ENDE DELAPAZ,SIN,0.11001374269
164,164,ENDE DELAPAZ,SIN,3.53795760439
165,165,ENDE DELAPAZ,SIN,1.85821485292
166,166,ENDE DELAPAZ,SIN,0.43353338232
167,167,ENDE DELAPAZ,SIN,0.06901163124
168,168,ENDE DELAPAZ,SIN,0.0950742011
635,1053,ENDE CAMARGO,SIN,0.02257338098
91,91,ENDE DELAPAZ,SIN,0.0819503225
92,92,ENDE DELAPAZ,SIN,2.34520735047
93,93,ENDE DELAPAZ,SIN,0.03178046095
94,94,ENDE DELAPAZ,SIN,0.02387533337
95,95,ENDE DELAPAZ,SIN,0.14323571969
96,96,ENDE DELAPAZ,SIN,0.0410010814
97,97,ENDE DELAPAZ,SIN,0.0899805105
98,98,ENDE DELAPAZ,SIN,0.18494581893
99,99,ENDE DELAPAZ,SIN,0.23278395502
100,100,ENDE DELAPAZ,SIN,2.05309995824
101,101,ENDE DELAPAZ,SIN,0.16653304769
102,102,ENDE DELAPAZ,SIN,0.04371336422
636,1054,ENDE CAMARGO,SIN,0.16150173243
103,103,ENDE DELAPAZ,SIN,0.01363133833
104,104,ENDE DELAPAZ,SIN,0.19072853279
174,174,ENDE DELAPAZ,SIN,0.01648471686
175,175,ENDE DELAPAZ,SIN,0.14317592978
176,176,ENDE DELAPAZ,SIN,0.12622843568
177,177,ENDE DELAPAZ,SIN,0.3576911089
637,1055,ENDE CAMARGO,SIN,0.01251755131
105,105,ENDE DELAPAZ,SIN,0.04088425698
106,106,ENDE DELAPAZ,SIN,0.03259012432
190,190,ENDE DELAPAZ,SIN,0.41525176391
281,281,CESSA,SIN,0.03407567144
282,282,CESSA,SIN,0.01869154557
283,283,CESSA,SIN,1.88714319807
284,284,CESSA,SIN,4.9041305091
285,285,CESSA,SIN,0.47080415543
286,286,CESSA,SIN,3.1733465789
287,287,CESSA,SIN,0.30057292063
107,107,ENDE DELAPAZ,SIN,0.06503039039
201,201,ENDE DELAPAZ,SIN,0.01220977801
202,202,ENDE DELAPAZ,SIN,0.20052793904
288,288,CESSA,SIN,0.01413821553
289,289,CESSA,SIN,7.23007626018
108,108,ENDE DELAPAZ,SIN,0.06635210978
109,109,ENDE DELAPAZ,SIN,0.07593757447
110,110,ENDE DELAPAZ,SIN,0.06342144047
111,111,ENDE DELAPAZ,SIN,0.0431412464
112,112,ENDE DELAPAZ,SIN,0.0112757688
113,113,ENDE DELAPAZ,SIN,0.04768976979
290,290,CESSA,SIN,1.1747187E-4
291,291,CESSA,SIN,18.1029773026
292,292,CESSA,SIN,5.04271488848
293,293,COSERMO,SIN,6.78589365255
294,294,ELFEC,SIN,26.5432955398
295,295,ELFEC,SIN,76.4590352108
296,296,CRE,Sist. Ais.,14.3821410014
297,297,CRE,Sist. Ais.,5.50304671062
298,298,CRE,Sist. Ais.,12.8450907436
299,299,CRE,Sist. Ais.,3.77450741189
300,300,CRE,SIN,169.238556009
301,301,CRE,Sist. Ais.,3.22184026911
303,303,DEORURO,SIN,0.00161624917
304,304,DEORURO,SIN,7.1221272E-4
305,305,DEORURO,SIN,2.1538511E-4
638,1056,ENDE CAMARGO,SIN,0.02737038112
639,1057,ENDE CAMARGO,SIN,0.01014893902
114,114,ENDE DELAPAZ,SIN,0.080152146
115,115,ENDE DELAPAZ,SIN,0.20710326097
116,116,ENDE DELAPAZ,SIN,0.27954801834
117,117,ENDE DELAPAZ,SIN,0.12192207561
118,118,ENDE DELAPAZ,SIN,0.47357488162
119,119,ENDE DELAPAZ,SIN,0.16948532573
120,120,ENDE DELAPAZ,SIN,0.09202062075
121,121,ENDE DELAPAZ,SIN,0.08501001159
122,122,ENDE DELAPAZ,SIN,14.2855083303
123,123,ENDE DELAPAZ,SIN,0.22175651557
640,1058,ENDE CAMARGO,SIN,0.06780787821
641,1059,ENDE CAMARGO,SIN,0.0265502221
642,1060,ENDE CAMARGO,SIN,0.00961625625
124,124,ENDE DELAPAZ,SIN,0.27905313993
125,125,ENDE DELAPAZ,SIN,3.2489265047
126,126,ENDE DELAPAZ,SIN,0.21782670042
127,127,ENDE DELAPAZ,SIN,14.1846506647
128,128,ENDE DELAPAZ,SIN,0.07000288258
129,129,ENDE DELAPAZ,SIN,0.0679047769
130,130,ENDE DELAPAZ,SIN,0.31293601758
131,131,ENDE DELAPAZ,SIN,7.46580714663
132,132,ENDE DELAPAZ,SIN,0.15070326708
133,133,ENDE DELAPAZ,SIN,4.61398E-5
134,134,ENDE DELAPAZ,SIN,0.04025709433
135,135,ENDE DELAPAZ,SIN,0.13241931782
326,326,DEORURO,SIN,0.05315665935
