Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km,dispersed_breakeven_independant,km_arete_parent_glouton
C1,EXALTACION,Exaltación,145.6524273967637,0.0466155111328188,SIN,17.81,1258.21,False,172.361,False,0.0466155111328188
C1,BOCORONDO,Exaltación,56.64363501477981,6.621175174356837,SIN,140.03,1258.21,False,67.031,False,6.621175174356837
C1,20 DE ENERO,Exaltación,12.95076223252802,9.23373335335436,SIN,765.02,1258.21,False,15.326,False,9.23373335335436
C1,TROMPILLO,Exaltación,28.31006929327392,25.196975927875904,SIN,950.65,1258.21,False,33.501,False,18.770373470401072
C1,PUERTO SANTIAGO,Exaltación,20.46341179550654,26.13837843789098,SIN,1356.72,1258.21,False,24.216,True,1.6625843413937527
C1,SAN CARLOS,Exaltación,71.78894525166731,38.88060115910172,SIN,585.32,1258.21,False,84.953,False,30.1105233595478
C1,RANCHO GINEBRA,Exaltación,83.23667177764553,47.53665032392087,SIN,616.26,1258.21,False,98.5,False,31.010513745299512
C1,NUEVO PARAISO,Exaltación,5.628613065175899,55.491363268560434,SIN,10354.18,1258.21,True,6.661,True,
C1,ANA MARIA,Exaltación,5.628613065175899,57.97884882569683,SIN,10817.54,1258.21,True,6.661,True,
C1,COOPERATIVA,Exaltación,58.33717111695604,59.63582981686783,SIN,1089.29,1258.21,False,69.035,False,49.684921230744905
C1,LAS MARAVILLAS,Exaltación,38.685282730189634,62.36583964672258,SIN,1707.76,1258.21,False,45.779,True,15.602218855666218
C1,SANTA ROSA,Exaltación,27.809057391090644,65.39327980163179,SIN,2482.97,1258.21,True,32.909,True,
C1,EXALTACION DE SANTA CRUZ,Exaltación,14.66779476293622,65.73754362739461,SIN,4716.49,1258.21,True,17.357,True,
C1,LAS PEÑAS DE NAZARETH,Exaltación,29.00158159108359,66.86261596164935,SIN,2434.71,1258.21,False,34.32,True,7.539549766639472
C1,PIRAQUINAL,Exaltación,27.809057391090644,68.1721909210026,SIN,2587.75,1258.21,False,32.909,True,4.20865869797959
C1,COQUINAL,Exaltación,306.5206543151108,71.91205849780054,SIN,263.45,1258.21,False,362.729,False,71.91205849780054
C1,BIENVENIDO,Exaltación,40.25880772143539,76.56691313909643,SIN,2011.54,1258.21,False,47.641,True,29.140815569698734
C1,SANTA FE,Exaltación,21.822939962893916,81.44804871313407,Sist. Ais.,3930.62,1258.21,True,25.825,True,
C1,LAS ABRAS,Exaltación,101.33853160139815,102.83551200173416,Sist. Ais.,1081.44,1258.21,False,119.921,False,60.849236094578195
C1,PALMERA,Exaltación,27.952564930253086,105.98506383034974,SIN,3992.88,1258.21,False,33.078,True,28.269992781335265
C1,SAN JUAN DEL RIO JORDAN,Exaltación,24.37499233027424,108.63006591687127,SIN,4690.13,1258.21,False,28.845,True,14.764042997289696
C1,LAS PETAS,Exaltación,57.288154456125525,120.12380051721308,Sist. Ais.,2215.95,1258.21,False,67.793,True,48.683969807027346
C1,ESTANCIAS DISPERSAS,Exaltación,161.70324675531924,128.11332687214735,SIN,848.15,1258.21,False,191.355,False,57.41143493556772
C1,CARMEN TAHUA,Ixiamas,73.43456211109353,0.0004381443347964,SIN,17.48,1212.8,False,83.72,False,0.0004381443347964
C1,IXIAMAS,Ixiamas,301.7403602159457,0.0404778045096563,SIN,17.62,1212.8,False,344.001,False,0.0404778045096563
C1,SANTA ANA,Ixiamas,15.857718802506707,0.0406040349345042,SIN,20.16,1212.8,False,18.079,False,0.0406040349345042
C1,TARENE,Ixiamas,11.269995632278505,0.0441934250365481,SIN,21.59,1212.8,False,12.848,False,0.0441934250365481
C1,EL CARMEN DE PECHA,Ixiamas,35.4777376134897,0.0481916777161336,SIN,18.9,1212.8,False,40.447,False,0.0481916777161336
C1,MACHAJ MARKA,Ixiamas,17.531104316877677,0.0525118787219095,SIN,20.62,1212.8,False,19.986,False,0.0525118787219095
C1,FLOR DE MAYO,Ixiamas,9.59942751676593,0.0615083501681539,SIN,24.19,1212.8,False,10.944,False,0.0615083501681539
C1,MACAHUA,Ixiamas,3.3383188321667596,0.0796388744760145,SIN,42.49,1212.8,False,3.806,False,0.0796388744760145
C1,30 DE AGOSTO,Ixiamas,2.504443473839668,0.1103038796185135,SIN,63.65,1212.8,False,2.855,False,0.1103038796185135
C1,NUEVA EDEN,Ixiamas,1.252221736919834,0.1119245748864452,SIN,111.19,1212.8,False,1.428,False,0.1119245748864452
C1,SANTA ROSA DE MARAVILLA,Ixiamas,30.875927448969534,0.1184126375546518,SIN,21.5,1212.8,False,35.2,False,0.1184126375546518
C1,SAN FELIPE,Ixiamas,28.371483975129866,0.1301892366289315,SIN,22.29,1212.8,False,32.345,False,0.1301892366289315
C1,RUSO,Ixiamas,5.424415927413685,0.2014349003677267,SIN,56.41,1212.8,False,6.184,False,0.2014349003677267
C1,ITURRALDE,Ixiamas,10.017773895358673,0.3241022690739487,SIN,51.4,1212.8,False,11.421,False,0.3241022690739487
C1,PALMA  REAL,Ixiamas,7.513330421519004,0.970402419584973,SIN,152.89,1212.8,False,8.566,False,0.970402419584973
C1,ALAMOS,Ixiamas,5.008886947679336,1.38101036220025,SIN,306.55,1212.8,False,5.71,False,1.3778535843739683
C1,3 DE JUNIO,Ixiamas,6.26110868459917,1.4307217062899211,SIN,257.06,1212.8,False,7.138,False,1.4307217062899211
C1,SANTA FE,Ixiamas,38.39771006706372,1.82896771982947,SIN,67.42,1212.8,False,43.776,False,1.82896771982947
C1,SAN PABLO,Ixiamas,1.252221736919834,1.877658646441145,SIN,1589.62,1212.8,True,1.428,True,
C1,CORAZON DE LEON,Ixiamas,13.774439106118175,4.68522658108807,SIN,374.1,1212.8,False,15.704,False,0.6425028410703701
C1,BUENA VISTA,Ixiamas,28.377118772846654,5.18041963631259,SIN,208.88,1212.8,False,32.352,False,3.4377885013115383
C1,PUERTO PEREZ,Ixiamas,52.9975723349338,6.147346071861433,Sist. Ais.,139.09,1212.8,False,60.42,False,6.147346071861433
C1,COROCORO,Ixiamas,30.46885066581037,7.467829026019695,SIN,274.45,1212.8,False,34.736,False,6.32975245411366
C1,COMANDO,Ixiamas,18.783326053797513,7.968352252652989,SIN,462.26,1212.8,False,21.414,False,2.150266576595662
C1,SAN PEDRO,Ixiamas,23.79221300147685,8.686355655204979,SIN,400.26,1212.8,False,27.124,False,8.686355655204979
C1,LAS MERCEDES,Ixiamas,50.91429263854528,10.416047097012902,Sist. Ais.,231.97,1212.8,False,58.045,False,5.510272175237024
C1,ALTO ZATARIAPU,Ixiamas,36.72432455269275,10.743158739502794,SIN,324.19,1212.8,False,41.868,False,3.8395750337869408
C1,CARINDE,Ixiamas,20.035547790717345,12.05349735432156,SIN,648.24,1212.8,False,22.842,False,2.232711120269079
C1,SAN MARCOS,Ixiamas,109.73772288633515,12.656591167257314,SIN,138.4,1212.8,False,125.107,False,12.656591167257314
C1,5 DE JUNIO,Ixiamas,17.531104316877677,14.224354926757984,SIN,868.18,1212.8,False,19.986,False,2.378151379560585
