Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km
C1,EXALTACION,Exaltación,167.37733246869064,0.0466155111328188,SIN,17.77,1258.21,False,198.07
C1,BOCORONDO,Exaltación,65.09236199873058,6.621175174356837,SIN,124.13,1258.21,False,77.029
C1,20 DE ENERO,Exaltación,14.88244359987212,9.23373335335436,SIN,668.0,1258.21,False,17.611
C1,TROMPILLO,Exaltación,32.53268047091445,25.196975927875904,SIN,829.53,1258.21,False,38.498
C1,PUERTO SANTIAGO,Exaltación,23.51564845678863,26.13837843789098,SIN,1182.89,1258.21,False,27.828
C1,SAN CARLOS,Exaltación,82.49668317736486,38.88060115910172,SIN,511.62,1258.21,False,97.624
C1,RANCHO GINEBRA,Exaltación,95.65190456979512,47.53665032392087,SIN,538.54,1258.21,False,113.192
C1,NUEVO PARAISO,Exaltación,6.46815337846196,55.491363268560434,SIN,9012.52,1258.21,True,7.654
C1,ANA MARIA,Exaltación,6.46815337846196,57.97884882569683,SIN,9415.73,1258.21,True,7.654
C1,COOPERATIVA,Exaltación,67.0384988416788,59.63582981686783,SIN,950.17,1258.21,False,79.332
C1,LAS MARAVILLAS,Exaltación,44.455417221011714,62.36583964672258,SIN,1488.36,1258.21,True,52.607
C1,SANTA ROSA,Exaltación,31.956939735100494,65.39327980163179,SIN,2162.96,1258.21,True,37.817
C1,EXALTACION DE SANTA CRUZ,Exaltación,16.855581499722025,65.73754362739461,SIN,4106.58,1258.21,True,19.946
C1,LAS PEÑAS DE NAZARETH,Exaltación,33.327335842234746,66.86261596164935,SIN,2120.97,1258.21,True,39.439
C1,PIRAQUINAL,Exaltación,31.956939735100494,68.1721909210026,SIN,2254.14,1258.21,True,37.817
C1,COQUINAL,Exaltación,352.23998928672063,71.91205849780054,SIN,231.53,1258.21,False,416.832
C1,BIENVENIDO,Exaltación,46.263642599158665,76.56691313909643,SIN,1752.71,1258.21,True,54.747
C1,SANTA FE,Exaltación,25.077958142527535,81.44804871313407,Sist. Ais.,3422.71,1258.21,True,29.677
C1,LAS ABRAS,Exaltación,116.45376186921696,102.83551200173416,Sist. Ais.,943.34,1258.21,False,137.808
C1,PALMERA,Exaltación,32.12185225680344,105.98506383034974,SIN,3476.89,1258.21,True,38.012
C1,SAN JUAN DEL RIO JORDAN,Exaltación,28.01066393540069,108.63006591687127,SIN,4083.64,1258.21,True,33.147
C1,LAS PETAS,Exaltación,65.83301525624749,120.12380051721308,Sist. Ais.,1930.6,1258.21,True,77.905
C1,ESTANCIAS DISPERSAS,Exaltación,185.82222471105325,128.11332687214735,SIN,740.34,1258.21,False,219.897
C1,CARMEN TAHUA,Ixiamas,84.38775334433127,0.0004381443347964,SIN,17.48,1212.8,False,96.207
C1,IXIAMAS,Ixiamas,346.7466865726194,0.0404778045096563,SIN,17.6,1212.8,False,395.311
C1,SANTA ANA,Ixiamas,18.222989617412633,0.0406040349345042,SIN,19.81,1212.8,False,20.775
C1,TARENE,Ixiamas,12.950980904191125,0.0441934250365481,SIN,21.05,1212.8,False,14.765
C1,EL CARMEN DE PECHA,Ixiamas,40.76944813006241,0.0481916777161336,SIN,18.71,1212.8,False,46.479
C1,MACHAJ MARKA,Ixiamas,20.145970295408418,0.0525118787219095,SIN,20.21,1212.8,False,22.968
C1,FLOR DE MAYO,Ixiamas,11.031237856448723,0.0615083501681539,SIN,23.32,1212.8,False,12.576
C1,MACAHUA,Ixiamas,3.836248465231429,0.0796388744760145,SIN,39.24,1212.8,False,4.374
C1,30 DE AGOSTO,Ixiamas,2.877995756486917,0.1103038796185135,SIN,57.66,1212.8,False,3.281
C1,NUEVA EDEN,Ixiamas,1.4389978782434585,0.1119245748864452,SIN,99.02,1212.8,False,1.641
C1,SANTA ROSA DE MARAVILLA,Ixiamas,35.48125126557399,0.1184126375546518,SIN,20.97,1212.8,False,40.451
C1,SAN FELIPE,Ixiamas,32.60325550908707,0.1301892366289315,SIN,21.66,1212.8,False,37.17
C1,RUSO,Ixiamas,6.2334990522194,0.2014349003677267,SIN,51.36,1212.8,False,7.107
C1,ITURRALDE,Ixiamas,11.511983025947668,0.3241022690739487,SIN,46.99,1212.8,False,13.124
C1,PALMA  REAL,Ixiamas,8.633987269460752,0.970402419584973,SIN,135.32,1212.8,False,9.843
C1,ALAMOS,Ixiamas,5.755991512973834,1.38101036220025,SIN,269.03,1212.8,False,6.562
C1,3 DE JUNIO,Ixiamas,7.194989391217293,1.4307217062899211,SIN,225.96,1212.8,False,8.203
C1,SANTA FE,Ixiamas,44.12495142579489,1.82896771982947,SIN,60.93,1212.8,False,50.305
C1,SAN PABLO,Ixiamas,1.4389978782434585,1.877658646441145,SIN,1385.56,1212.8,True,1.641
C1,CORAZON DE LEON,Ixiamas,15.828976660678045,4.68522658108807,SIN,327.81,1212.8,False,18.046
C1,BUENA VISTA,Ixiamas,32.60973076959383,5.18041963631259,SIN,184.04,1212.8,False,37.177
C1,PUERTO PEREZ,Ixiamas,60.90246790445729,6.147346071861433,Sist. Ais.,123.31,1212.8,False,69.432
C1,COROCORO,Ixiamas,35.01345661708857,7.467829026019695,SIN,241.1,1212.8,False,39.917
C1,COMANDO,Ixiamas,21.58496817365188,7.968352252652989,SIN,404.53,1212.8,False,24.608
