N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | 2001 | Total hogares,NÚMERO DE HOGARES | 2001 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2001 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Total hogares,NÚMERO DE HOGARES | 2012 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2012 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Total hogares,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Sin especificar,NÚMERO DE HOGARES | 2024 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | Sin especificar,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Sin especificar,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Sin especificar,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | No tiene
1,País,,,,Bolivia,1977665.0,250298,1727367,741690,1235975,71144,1906521,2803982.0,614383,2189599,854404,1949578,319813,2484169,112619,2691363,23826,2780156,3623711.0,1055352,2440563,127796,1298053,2199365,126293,783765,2712536,127410,133184,3362463,128064,47605,3447876,128230,12.6562385,87.3437615,37.5033183,62.4966817,3.5973737,96.4026263,21.9110893,78.0889107,30.4710943,69.5289057,11.4056724,88.5943276,4.0163953,95.9836047,0.8497201,99.1502799,30.1881482,69.8118518,37.1146085,62.8853915,22.4169773,77.5830227,3.8099957,96.1900043,1.3619013,98.6380987
2,País,,,,Urbana,1210962.0,217813,993149,476005,734957,55906,1155056,1826480.0,494917,1331563,573325,1253155,217206,1609274,59609,1766871,6882,1819598,2386919.0,806020,1507532,73367,990525,1323447,72947,504242,1809439,73238,52455,2260981,73483,26396,2286977,73546,17.9867742,82.0132258,39.3080047,60.6919953,4.6166601,95.3833399,27.0967654,72.9032346,31.3896128,68.6103872,11.8920547,88.1079453,3.2635999,96.7364001,0.3767903,99.6232097,34.83907,65.16093,42.8062656,57.1937344,21.7939292,78.2060708,2.2674066,97.7325934,1.1410179,98.8589821
3,País,,,,Rural,766703.0,32485,734218,265685,501018,15238,751465,977502.0,119466,858036,281079,696423,102607,874895,53010,924492,16944,960558,1236792.0,249332,933031,54429,307528,875918,53346,279523,903097,54172,80729,1101482,54581,21209,1160899,54684,4.2369731,95.7630269,34.652923,65.347077,1.987471,98.012529,12.2215607,87.7784393,28.7548261,71.2451739,10.4968583,89.5031417,5.4230068,94.5769932,1.733398,98.266602,21.0876017,78.9123983,25.9858075,74.0141925,23.6359101,76.3640899,6.8286456,93.1713544,1.7941677,98.2058323
4,Departamento,Chuquisaca,,,Chuquisaca,118918.0,11601,107317,33054,85864,2557,116361,150081.0,26571,123510,32774,117307,11183,138898,2321,147760,326,149755,184969.0,48187,130028,6754,49788,128513,6668,36600,141647,6722,5625,172574,6770,1573,176620,6776,9.7554617,90.2445383,27.7956239,72.2043761,2.1502212,97.8497788,17.7044396,82.2955604,21.8375411,78.1624589,7.4513096,92.5486904,1.5464982,98.4535018,0.217216,99.782784,27.0386892,72.9613108,27.9235675,72.0764325,20.5333049,79.4666951,3.1565834,96.8434166,0.8827507,99.1172493
5,Departamento,Chuquisaca,,,Urbana,50517.0,9821,40696,17090,33427,2026,48491,74401.0,20608,53793,17119,57282,8375,66026,980,73421,151,74250,102961.0,36783,63403,2775,35783,64415,2763,22681,77511,2769,2472,97711,2778,1077,99103,2781,19.4409803,80.5590197,33.8301958,66.1698042,4.0105311,95.9894689,27.6985524,72.3014476,23.0090993,76.9909007,11.2565691,88.7434309,1.3171866,98.6828134,0.2029543,99.7970457,36.7147106,63.2852894,35.7122897,64.2877103,22.6375359,77.3624641,2.4674845,97.5325155,1.0750649,98.9249351
6,Departamento,Chuquisaca,,,Rural,68401.0,1780,66621,15964,52437,531,67870,75680.0,5963,69717,15655,60025,2808,72872,1341,74339,175,75505,82008.0,11404,66625,3979,14005,64098,3905,13919,64136,3953,3153,74863,3992,496,77517,3995,2.6023011,97.3976989,23.3388401,76.6611599,0.7763044,99.2236956,7.8792283,92.1207717,20.6857822,79.3142178,3.7103594,96.2896406,1.7719345,98.2280655,0.2312368,99.7687632,14.615079,85.384921,17.9314495,82.0685505,17.8322977,82.1677023,4.0414787,95.9585213,0.6357915,99.3642085
7,Provincia,Chuquisaca,Oropeza,,Oropeza,56073.0,9238,46835,16213,39860,1732,54341,77255.0,19931,57324,15302,61953,7212,70043,825,76430,145,77110,100241.0,34491,62802,2948,31055,66269,2917,18940,78365,2936,2276,95013,2952,995,96292,2954,16.4749523,83.5250477,28.9140941,71.0859059,3.0888306,96.9111694,25.7989774,74.2010226,19.8071322,80.1928678,9.3353181,90.6646819,1.067892,98.932108,0.1876901,99.8123099,35.4506491,64.5493509,31.9088817,68.0911183,19.4645702,80.5354298,2.3394217,97.6605783,1.0227471,98.9772529
8,Provincia,Chuquisaca,Oropeza,,Urbana,44815.0,8985,35830,14745,30070,1698,43117,63108.0,18429,44679,13486,49622,7024,56084,643,62465,121,62987,84913.0,32052,50773,2088,29104,53733,2076,17694,65137,2082,1627,81196,2090,904,81918,2091,20.0490907,79.9509093,32.9019302,67.0980698,3.78891,96.21109,29.2023198,70.7976802,21.3697154,78.6302846,11.1301261,88.8698739,1.0188883,98.9811117,0.1917348,99.8082652,38.6984606,61.3015394,35.1340585,64.8659415,21.3615675,78.6384325,1.9644302,98.0355698,1.0914974,98.9085026
9,Provincia,Chuquisaca,Oropeza,,Rural,11258.0,253,11005,1468,9790,34,11224,14147.0,1502,12645,1816,12331,188,13959,182,13965,24,14123,15328.0,2439,12029,860,1951,12536,841,1246,13228,854,649,13817,862,91,14374,863,2.2472908,97.7527092,13.0396163,86.9603837,0.3020075,99.6979925,10.617092,89.382908,12.8366438,87.1633562,1.3289037,98.6710963,1.2864918,98.7135082,0.1696473,99.8303527,16.8578933,83.1421067,13.4672465,86.5327535,8.6085395,91.3914605,4.4863819,95.5136181,0.6291047,99.3708953
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,49756.0,9069,40687,15491,34265,1709,48047,69949.0,19246,50703,14494,55455,7097,62852,743,69206,138,69811,92531.0,33362,56637,2532,30060,59956,2515,18270,71734,2527,2013,87983,2535,958,89036,2537,18.2269475,81.7730525,31.1339336,68.8660664,3.4347616,96.5652384,27.5143319,72.4856681,20.7208109,79.2791891,10.1459635,89.8540365,1.0622025,98.9377975,0.1972866,99.8027134,37.0693008,62.9306992,33.3940633,66.6059367,20.2990978,79.7009022,2.2367661,97.7632339,1.0645154,98.9354846
