N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | Total hogares,NÚMERO DE HOGARES | Refrigerador o congelador | Tiene,NÚMERO DE HOGARES | Refrigerador o congelador | No tiene,NÚMERO DE HOGARES | Refrigerador o congelador | Sin especificar,NÚMERO DE HOGARES | Microondas | Tiene,NÚMERO DE HOGARES | Microondas | No tiene,NÚMERO DE HOGARES | Microondas | Sin especificar,NÚMERO DE HOGARES | Calefón o termotanque | Tiene,NÚMERO DE HOGARES | Calefón o termotanque | No tiene,NÚMERO DE HOGARES | Calefón o termotanque | Sin especificar,NÚMERO DE HOGARES | Aire Acondicionado | Tiene,NÚMERO DE HOGARES | Aire Acondicionado | No tiene,NÚMERO DE HOGARES | Aire Acondicionado | Sin especificar,NÚMERO DE HOGARES | Lavadora de ropa | Tiene,NÚMERO DE HOGARES | Lavadora de ropa | No tiene,NÚMERO DE HOGARES | Lavadora de ropa | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | No tiene
1,País,,,,Bolivia,3623711.0,1925507.0,1569908.0,128296.0,682364.0,2813094.0,128253.0,273418.0,3221975.0,128318.0,228075.0,3267313.0,128323.0,930639.0,2564741.0,128331.0,55.0866492,44.9133508,19.5214475,80.4785525,7.8222392,92.1777608,6.5250267,93.4749733,26.6248305,73.3751695
2,País,,,,Urbana,2386919.0,1656792.0,656551.0,73576.0,650140.0,1663203.0,73576.0,254932.0,2058406.0,73581.0,216010.0,2097333.0,73576.0,877487.0,1435861.0,73571.0,71.6189514,28.3810486,28.1039171,71.8960829,11.020093,88.979907,9.3375691,90.6624309,37.9314742,62.0685258
3,País,,,,Rural,1236792.0,268715.0,913357.0,54720.0,32224.0,1149891.0,54677.0,18486.0,1163569.0,54737.0,12065.0,1169980.0,54747.0,53152.0,1128880.0,54760.0,22.7325408,77.2674592,2.7259615,97.2740385,1.5638866,98.4361134,1.0206887,98.9793113,4.4966634,95.5033366
4,Departamento,Chuquisaca,,,Chuquisaca,184969.0,91647.0,86524.0,6798.0,32912.0,145272.0,6785.0,13472.0,164700.0,6797.0,1687.0,176485.0,6797.0,39711.0,138459.0,6799.0,51.4376638,48.5623362,18.4707942,81.5292058,7.561233,92.438767,0.9468379,99.0531621,22.288264,77.711736
5,Departamento,Chuquisaca,,,Urbana,102961.0,74267.0,25913.0,2781.0,31016.0,69164.0,2781.0,12663.0,87517.0,2781.0,1352.0,98827.0,2782.0,37000.0,63179.0,2782.0,74.1335596,25.8664404,30.9602715,69.0397285,12.6402476,87.3597524,1.3495842,98.6504158,36.9338883,63.0661117
6,Departamento,Chuquisaca,,,Rural,82008.0,17380.0,60611.0,4017.0,1896.0,76108.0,4004.0,809.0,77183.0,4016.0,335.0,77658.0,4015.0,2711.0,75280.0,4017.0,22.2846226,77.7153774,2.4306446,97.5693554,1.0372859,98.9627141,0.4295257,99.5704743,3.4760421,96.5239579
7,Provincia,Chuquisaca,Oropeza,,Oropeza,100241.0,67400.0,29882.0,2959.0,29253.0,68031.0,2957.0,12276.0,85007.0,2958.0,1155.0,96125.0,2961.0,33824.0,63457.0,2960.0,69.2831151,30.7168849,30.0696929,69.9303071,12.6188543,87.3811457,1.1872944,98.8127056,34.7693794,65.2306206
8,Provincia,Chuquisaca,Oropeza,,Urbana,84913.0,63704.0,19117.0,2092.0,28704.0,54117.0,2092.0,12071.0,70750.0,2092.0,1091.0,81729.0,2093.0,33303.0,49517.0,2093.0,76.91769,23.08231,34.6578766,65.3421234,14.5748059,85.4251941,1.3173147,98.6826853,40.2113016,59.7886984
9,Provincia,Chuquisaca,Oropeza,,Rural,15328.0,3696.0,10765.0,867.0,549.0,13914.0,865.0,205.0,14257.0,866.0,64.0,14396.0,868.0,521.0,13940.0,867.0,25.5583985,74.4416015,3.795893,96.204107,1.417508,98.582492,0.4426003,99.5573997,3.6027937,96.3972063
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,92531.0,65544.0,24448.0,2539.0,28900.0,61093.0,2538.0,12138.0,77854.0,2539.0,1127.0,88863.0,2541.0,33461.0,56530.0,2540.0,72.8331407,27.1668593,32.1136088,67.8863912,13.4878656,86.5121344,1.2523614,98.7476386,37.1826071,62.8173929
11,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Urbana,84913.0,63704.0,19117.0,2092.0,28704.0,54117.0,2092.0,12071.0,70750.0,2092.0,1091.0,81729.0,2093.0,33303.0,49517.0,2093.0,76.91769,23.08231,34.6578766,65.3421234,14.5748059,85.4251941,1.3173147,98.6826853,40.2113016,59.7886984
12,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Rural,7618.0,1840.0,5331.0,447.0,196.0,6976.0,446.0,67.0,7104.0,447.0,36.0,7134.0,448.0,158.0,7013.0,447.0,25.6589039,74.3410961,2.73285,97.26715,0.9343188,99.0656812,0.5020921,99.4979079,2.2033189,97.7966811
13,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,3056.0,1580.0,1339.0,137.0,332.0,2588.0,136.0,124.0,2796.0,136.0,19.0,2901.0,136.0,332.0,2588.0,136.0,54.1281261,45.8718739,11.369863,88.630137,4.2465753,95.7534247,0.6506849,99.3493151,11.369863,88.630137
14,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Rural,3056.0,1580.0,1339.0,137.0,332.0,2588.0,136.0,124.0,2796.0,136.0,19.0,2901.0,136.0,332.0,2588.0,136.0,54.1281261,45.8718739,11.369863,88.630137,4.2465753,95.7534247,0.6506849,99.3493151,11.369863,88.630137
16,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,4654.0,276.0,4095.0,283.0,21.0,4350.0,283.0,14.0,4357.0,283.0,9.0,4361.0,284.0,31.0,4339.0,284.0,6.3143445,93.6856555,0.4804393,99.5195607,0.3202928,99.6797072,0.2059497,99.7940503,0.7093822,99.2906178
17,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Rural,4654.0,276.0,4095.0,283.0,21.0,4350.0,283.0,14.0,4357.0,283.0,9.0,4361.0,284.0,31.0,4339.0,284.0,6.3143445,93.6856555,0.4804393,99.5195607,0.3202928,99.6797072,0.2059497,99.7940503,0.7093822,99.2906178
