N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Tiene,NÚMERO DE VIVIENDAS | 2001 | No tiene,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Tiene,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Tiene,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
1,País,,,,Bolivia,1977665,1273176,704489,2803982,2307319,496663,3623711,3242577,381134,64.3777384,35.6222616,82.2872258,17.7127742,89.4822186,10.5177814
2,País,,,,Urbana,1210962,1083652,127310,1826480,1745404,81076,2386919,2331594,55325,89.4868708,10.5131292,95.5610792,4.4389208,97.6821585,2.3178415
3,País,,,,Rural,766703,189524,577179,977502,561915,415587,1236792,910983,325809,24.7193503,75.2806497,57.4847929,42.5152071,73.6569286,26.3430714
4,Departamento,Chuquisaca,,,Chuquisaca,118918,56065,62853,150081,103796,46285,184969,160229,24740,47.1459325,52.8540675,69.1599869,30.8400131,86.6247858,13.3752142
5,Departamento,Chuquisaca,,,Urbana,50517,46010,4507,74401,72113,2288,102961,101687,1274,91.0782509,8.9217491,96.9247725,3.0752275,98.7626383,1.2373617
6,Departamento,Chuquisaca,,,Rural,68401,10055,58346,75680,31683,43997,82008,58542,23466,14.7000775,85.2999225,41.8644292,58.1355708,71.3857185,28.6142815
7,Provincia,Chuquisaca,Oropeza,,Oropeza,56073,43372,12701,77255,67367,9888,100241,94248,5993,77.3491698,22.6508302,87.2008284,12.7991716,94.0214084,5.9785916
8,Provincia,Chuquisaca,Oropeza,,Urbana,44815,41142,3673,63108,61475,1633,84913,84025,888,91.8040835,8.1959165,97.4123724,2.5876276,98.9542237,1.0457763
9,Provincia,Chuquisaca,Oropeza,,Rural,11258,2230,9028,14147,5892,8255,15328,10223,5105,19.8081364,80.1918636,41.648406,58.351594,66.6949374,33.3050626
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,49756,42047,7709,69949,64598,5351,92531,89370,3161,84.5063912,15.4936088,92.3501408,7.6498592,96.5838476,3.4161524
11,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Urbana,44815,41142,3673,63108,61475,1633,84913,84025,888,91.8040835,8.1959165,97.4123724,2.5876276,98.9542237,1.0457763
12,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Rural,4941,905,4036,6841,3123,3718,7618,5345,2273,18.3161303,81.6838697,45.6512206,54.3487794,70.1627724,29.8372276
13,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,2204,1168,1036,2646,2024,622,3056,2705,351,52.9945554,47.0054446,76.4928193,23.5071807,88.5143979,11.4856021
14,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Urbana,,,,,,,,,,,,,,,
15,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Rural,2204,1168,1036,2646,2024,622,3056,2705,351,52.9945554,47.0054446,76.4928193,23.5071807,88.5143979,11.4856021
16,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,4113,157,3956,4660,745,3915,4654,2173,2481,3.8171651,96.1828349,15.9871245,84.0128755,46.6910185,53.3089815
17,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Urbana,,,,,,,,,,,,,,,
18,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Rural,4113,157,3956,4660,745,3915,4654,2173,2481,3.8171651,96.1828349,15.9871245,84.0128755,46.6910185,53.3089815
19,Provincia,Chuquisaca,Azurduy,,Azurduy,5611,534,5077,5956,1638,4318,7048,4497,2551,9.5170201,90.4829799,27.501679,72.498321,63.8053348,36.1946652
20,Provincia,Chuquisaca,Azurduy,,Urbana,,,,,,,,,,,,,,,
21,Provincia,Chuquisaca,Azurduy,,Rural,5611,534,5077,5956,1638,4318,7048,4497,2551,9.5170201,90.4829799,27.501679,72.498321,63.8053348,36.1946652
22,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Azurduy,2329,225,2104,2538,499,2039,2450,1355,1095,9.6607986,90.3392014,19.6611505,80.3388495,55.3061224,44.6938776
23,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Urbana,,,,,,,,,,,,,,,
24,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Rural,2329,225,2104,2538,499,2039,2450,1355,1095,9.6607986,90.3392014,19.6611505,80.3388495,55.3061224,44.6938776
25,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Tarvita,3282,309,2973,3418,1139,2279,4598,3142,1456,9.4149909,90.5850091,33.323581,66.676419,68.3340583,31.6659417
26,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Urbana,,,,,,,,,,,,,,,
