N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Leña,"NÚMERO DE VIVIENDAS | 2001 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2001 | Kerosén,NÚMERO DE VIVIENDAS | 2001 | Gas,NÚMERO DE VIVIENDAS | 2001 | Electricidad,NÚMERO DE VIVIENDAS | 2001 | Otro,NÚMERO DE VIVIENDAS | 2001 | No utiliza,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Leña,"NÚMERO DE VIVIENDAS | 2012 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2012 | Energía solar,NÚMERO DE VIVIENDAS | 2012 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2012 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2012 | Electricidad,NÚMERO DE VIVIENDAS | 2012 | Otro,NÚMERO DE VIVIENDAS | 2012 | No cocina,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Leña,"NÚMERO DE VIVIENDAS | 2024 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2024 | Energía solar,NÚMERO DE VIVIENDAS | 2024 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2024 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2024 | Electricidad,NÚMERO DE VIVIENDAS | 2024 | Otro,NÚMERO DE VIVIENDAS | 2024 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2001 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2001 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2001 | Kerosén,DISTRIBUCIÓN PORCENTUAL | 2001 | Gas,DISTRIBUCIÓN PORCENTUAL | 2001 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2001 | Otro,DISTRIBUCIÓN PORCENTUAL | 2001 | No utiliza,DISTRIBUCIÓN PORCENTUAL | 2012 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2012 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2012 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2012 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2012 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2012 | Otro,DISTRIBUCIÓN PORCENTUAL | 2012 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2024 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2024 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2024 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2024 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2024 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2024 | Otro,DISTRIBUCIÓN PORCENTUAL | 2024 | No cocina
1,País,,,,Bolivia,1977665,673667,83608,18123,1154351,17330,1634,28952,2803982,664304,56472,1088,312869,1698602,17739,3613,49295,3623711,629156,25568,584,911065,1983377,13447,2808,57706,34.063757,4.2276119,0.9163837,58.3693902,0.8762859,0.0826227,1.4639486,23.6914502,2.013993,0.038802,11.1580246,60.5782063,0.632636,0.1288525,1.7580355,17.3622013,0.705575,0.0161161,25.1417677,54.7333107,0.3710837,0.0774896,1.5924559
2,País,,,,Urbana,1210962,98056,4140,15010,1050270,16632,1062,25792,1826480,55724,908,128,309858,1401453,14989,2385,41035,2386919,38249,575,264,889461,1402522,11911,1576,42361,8.0973639,0.341877,1.2395104,86.7302194,1.3734535,0.0876989,2.1298769,3.0508957,0.0497131,0.007008,16.9647628,76.7297206,0.8206496,0.130579,2.2466712,1.6024423,0.0240896,0.0110603,37.2639792,58.7586759,0.4990115,0.0660265,1.7747146
3,País,,,,Rural,766703,575611,79468,3113,104081,698,572,3160,977502,608580,55564,960,3011,297149,2750,1228,8260,1236792,590907,24993,320,21604,580855,1536,1232,15345,75.0761377,10.3649001,0.4060242,13.5751393,0.0910392,0.0746052,0.4121544,62.2586961,5.684285,0.0982095,0.3080301,30.3988125,0.2813293,0.1256263,0.8450111,47.7773951,2.0207925,0.0258734,1.7467771,46.9646472,0.1241923,0.0996125,1.2407098
4,Departamento,Chuquisaca,,,Chuquisaca,118918,66812,214,198,50143,149,90,1312,150081,61270,116,71,20512,65679,344,104,1985,184969,56017,338,29,46397,79350,315,66,2457,56.1832523,0.1799559,0.1665013,42.1660304,0.1252964,0.0756824,1.1032813,40.8246214,0.0772916,0.0473078,13.6672863,43.7623683,0.2292096,0.0692959,1.3226191,30.2845342,0.1827333,0.0156783,25.0836627,42.8990804,0.1702988,0.0356817,1.3283307
5,Departamento,Chuquisaca,,,Urbana,50517,3951,83,99,45094,133,48,1109,74401,1841,5,6,20292,50536,211,57,1453,102961,1673,20,14,43277,55930,242,37,1768,7.8211295,0.1643011,0.1959736,89.2649999,0.2632777,0.0950175,2.1953006,2.4744291,0.0067203,0.0080644,27.273827,67.9238182,0.2835983,0.0766119,1.9529307,1.6248871,0.0194248,0.0135974,42.03242,54.3215392,0.2350405,0.0359359,1.717155
6,Departamento,Chuquisaca,,,Rural,68401,62861,131,99,5049,16,42,203,75680,59429,111,65,220,15143,133,47,532,82008,54344,318,15,3120,23420,73,29,689,91.9007032,0.1915177,0.1447347,7.381471,0.0233915,0.0614026,0.2967793,78.5266913,0.1466702,0.0858879,0.2906977,20.0092495,0.17574,0.0621036,0.7029598,66.2667057,0.387767,0.0182909,3.8045069,28.5581894,0.0890157,0.0353624,0.8401619
7,Provincia,Chuquisaca,Oropeza,,Oropeza,56073,13092,88,106,41619,133,52,983,77255,11696,18,28,18371,45563,229,59,1291,100241,10682,65,20,39880,47836,218,38,1502,23.3481355,0.1569383,0.1890393,74.222888,0.2371908,0.0927363,1.7530719,15.1394732,0.0232995,0.0362436,23.7796906,58.9774125,0.2964209,0.0763705,1.6710892,10.6563183,0.0648437,0.0199519,39.7841203,47.7209924,0.2174759,0.0379086,1.4983889
8,Provincia,Chuquisaca,Oropeza,,Urbana,44815,2674,76,92,40836,127,46,964,63108,875,3,3,18336,42500,186,41,1164,84913,863,16,14,39128,43311,206,31,1344,5.9667522,0.1695861,0.2052884,91.1212764,0.2833873,0.1026442,2.1510655,1.386512,0.0047538,0.0047538,29.0549534,67.3448691,0.2947328,0.064968,1.8444571,1.0163344,0.0188428,0.0164875,46.0801055,51.0063241,0.2426013,0.036508,1.5827965
9,Provincia,Chuquisaca,Oropeza,,Rural,11258,10418,12,14,783,6,6,19,14147,10821,15,25,35,3063,43,18,127,15328,9819,49,6,752,4525,12,7,158,92.5386392,0.1065909,0.124356,6.9550542,0.0532954,0.0532954,0.1687689,76.4897151,0.1060295,0.1767159,0.2474023,21.6512335,0.3039514,0.1272355,0.8977168,64.059238,0.3196764,0.0391441,4.9060543,29.5211378,0.0782881,0.0456681,1.0307933
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,49756,7355,78,98,41076,129,51,969,69949,6054,14,4,18371,44005,213,54,1234,92531,5763,30,19,39356,45703,213,36,1411,14.7821368,0.156765,0.1969612,82.5548678,0.2592652,0.1025002,1.9475038,8.6548771,0.0200146,0.0057185,26.2634205,62.9101202,0.3045076,0.0771991,1.7641424,6.228183,0.0324216,0.0205337,42.5327728,49.3920956,0.2301931,0.0389059,1.5248944
