N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE PERSONAS(1) | 2001 | Total,NÚMERO DE PERSONAS(1) | 2001 | Tiene,NÚMERO DE PERSONAS(1) | 2001 | No tiene,NÚMERO DE PERSONAS(1) | 2012 | Total,NÚMERO DE PERSONAS(1) | 2012 | Tiene,NÚMERO DE PERSONAS(1) | 2012 | No tiene,NÚMERO DE PERSONAS(1) | 2024 | Total,NÚMERO DE PERSONAS(1) | 2024 | Tiene,NÚMERO DE PERSONAS(1) | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
1,País,,,,Bolivia,8090732,5350841,2739891,9827089,8389588,1437501,11134130,10268528,865602,66.1354374,33.8645626,85.3720568,14.6279432,92.225688,7.774312
2,País,,,,Urbana,5046158,4556730,489428,6632775,6410133,222642,7673112,7555049,118063,90.3009775,9.6990225,96.6433054,3.3566946,98.4613414,1.5386586
3,País,,,,Rural,3044574,794111,2250463,3194314,1979455,1214859,3461018,2713479,747539,26.082828,73.917172,61.9680783,38.0319217,78.4011814,21.5988186
4,Departamento,Chuquisaca,,,Chuquisaca,517211,235014,282197,565214,387703,177511,592741,520597,72144,45.4387088,54.5612912,68.5940193,31.4059807,87.8287481,12.1712519
5,Departamento,Chuquisaca,,,Urbana,208286,190542,17744,273313,265846,7467,326910,323792,3118,91.4809445,8.5190555,97.2679675,2.7320325,99.0462207,0.9537793
6,Departamento,Chuquisaca,,,Rural,308925,44472,264453,291901,121857,170044,265831,196805,69026,14.3957271,85.6042729,41.7460029,58.2539971,74.0338787,25.9661213
7,Provincia,Chuquisaca,Oropeza,,Oropeza,231990,180779,51211,279678,247442,32236,312402,297446,14956,77.9253416,22.0746584,88.4738878,11.5261122,95.2125787,4.7874213
8,Provincia,Chuquisaca,Oropeza,,Urbana,185221,170633,14588,232014,226795,5219,269301,267257,2044,92.1240032,7.8759968,97.7505668,2.2494332,99.240998,0.759002
9,Provincia,Chuquisaca,Oropeza,,Rural,46769,10146,36623,47664,20647,27017,43101,30189,12912,21.693857,78.306143,43.317808,56.682192,70.0424584,29.9575416
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,205945,174853,31092,254279,237959,16320,289815,282579,7236,84.9027653,15.0972347,93.581853,6.418147,97.5032348,2.4967652
11,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Urbana,185221,170633,14588,232014,226795,5219,269301,267257,2044,92.1240032,7.8759968,97.7505668,2.2494332,99.240998,0.759002
